geo_description,label,year,description,estimate,moe,se,cv
United States,HD01_VD02,2006,Estimate; Total (dollars):,27239,45.28,23.1,0.08
Randolph ,HD01_VD02,2006,Estimate; Total (dollars):,23832,2101.79,1072.34,4.5
Robeson ,HD01_VD02,2006,Estimate; Total (dollars):,20316,1606.13,819.45,4.03
Rockingham ,HD01_VD02,2006,Estimate; Total (dollars):,23040,2773.79,1415.2,6.14
Rowan ,HD01_VD02,2006,Estimate; Total (dollars):,25075,1587.06,809.72,3.23
Surry ,HD01_VD02,2006,Estimate; Total (dollars):,23283,2730.89,1393.31,5.98
Union ,HD01_VD02,2006,Estimate; Total (dollars):,28382,2088.68,1065.65,3.75
Wake ,HD01_VD02,2006,Estimate; Total (dollars):,31964,605.28,308.82,0.97
Wayne ,HD01_VD02,2006,Estimate; Total (dollars):,22252,1262.98,644.38,2.9
Wilkes ,HD01_VD02,2006,Estimate; Total (dollars):,22117,1937.36,988.45,4.47
Wilson ,HD01_VD02,2006,Estimate; Total (dollars):,25186,1817.02,927.05,3.68
United States,HD01_VD04,2006,Estimate; Male -- - Total (dollars),32396,54.81,27.96,0.09
North Carolina,HD01_VD04,2006,Estimate; Male -- - Total (dollars),29826,450.38,229.79,0.77
Alamance ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),28064,3761.53,1919.15,6.84
Brunswick ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),26177,4111.83,2097.87,8.01
Buncombe ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),27497,2559.32,1305.78,4.75
Burke ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),24190,2803.57,1430.39,5.91
Cabarrus ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),32088,2541.45,1296.66,4.04
Caldwell ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),27038,2309.11,1178.12,4.36
Catawba ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),26523,2932.26,1496.05,5.64
Cleveland ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),29075,3939.06,2009.72,6.91
Craven ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),28820,5970.55,3046.2,10.57
Cumberland ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),31754,1280.85,653.49,2.06
Davidson ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),29365,2828.6,1443.16,4.91
Durham ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),28229,1719.32,877.2,3.11
Forsyth ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),30178,1904,971.43,3.22
Gaston ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),31897,2017.19,1029.18,3.23
Guilford ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),31040,1112.85,567.78,1.83
Harnett ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),27030,3065.7,1564.13,5.79
Henderson ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),29105,4520.51,2306.38,7.92
Iredell ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),31661,1634.72,834.04,2.63
Johnston ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),32815,3892.6,1986.02,6.05
Lincoln ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),30257,3632.85,1853.49,6.13
Mecklenburg ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),33347,1920.68,979.94,2.94
Moore ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),29837,4028.43,2055.32,6.89
Nash ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),27817,5412.94,2761.7,9.93
New Hanover ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),30791,1471.49,750.76,2.44
Onslow ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),22272,971.06,495.44,2.22
Orange ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),28625,4895.83,2497.87,8.73
Pitt ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),30448,2288.85,1167.78,3.84
Randolph ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),29723,3249.19,1657.75,5.58
Robeson ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),22225,3883.06,1981.15,8.91
Rockingham ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),26084,2082.72,1062.61,4.07
Rowan ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),29558,1620.43,826.75,2.8
Surry ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),26717,4167.83,2126.44,7.96
Union ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),36738,1358.3,693.01,1.89
Wake ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),38011,2480.68,1265.65,3.33
Wayne ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),25944,2166.13,1105.17,4.26
Wilkes ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),27521,3414.81,1742.25,6.33
Wilson ,HD01_VD04,2006,Estimate; Male -- - Total (dollars),27854,3332.6,1700.31,6.1
United States,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",42210,60.77,31.01,0.07
North Carolina,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",37545,667.23,340.42,0.91
Alamance ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",35823,3066.89,1564.74,4.37
Brunswick ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",39346,6691.4,3413.98,8.68
Buncombe ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",36036,2343.66,1195.74,3.32
Burke ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",30644,2602.21,1327.66,4.33
Cabarrus ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",41027,2199.49,1122.19,2.74
Caldwell ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",30947,2267.4,1156.84,3.74
Catawba ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",33918,4220.26,2153.19,6.35
Cleveland ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",34826,5018.55,2560.48,7.35
Craven ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",38640,4690.89,2393.31,6.19
Cumberland ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",37077,1645.45,839.52,2.26
Davidson ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",38473,3956.94,2018.85,5.25
Durham ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",40457,2897.7,1478.42,3.65
Forsyth ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",40854,1575.15,803.65,1.97
Gaston ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",39226,2902.47,1480.85,3.78
Guilford ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",40360,1718.13,876.6,2.17
Harnett ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",35716,2243.57,1144.68,3.2
Henderson ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",34524,5359.32,2734.35,7.92
Iredell ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",38615,4242.89,2164.74,5.61
Johnston ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",40159,2505.7,1278.42,3.18
Lincoln ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",36616,2642.72,1348.33,3.68
Mecklenburg ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",46303,1404.77,716.72,1.55
Moore ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",36974,5529.7,2821.28,7.63
Nash ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",36926,3106.21,1584.8,4.29
New Hanover ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",42019,2673.7,1364.13,3.25
Onslow ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",24417,1727.66,881.46,3.61
Orange ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",51436,5974.13,3048.03,5.93
Pitt ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",36521,2265.02,1155.62,3.16
Randolph ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",34535,4628.94,2361.7,6.84
Robeson ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",32159,6913.02,3527.05,10.97
Rockingham ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",35119,5406.98,2758.66,7.86
Rowan ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",36796,1268.94,647.42,1.76
Surry ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",35641,1762.21,899.09,2.52
Union ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",43827,5329.53,2719.15,6.2
Wake ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",51295,1140.26,581.77,1.13
Wayne ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",35293,3672.17,1873.56,5.31
Wilkes ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",31396,2654.64,1354.41,4.31
Wilson ,HD01_VD05,2006,"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)",33735,3837.79,1958.06,5.8
United States,HD01_VD06,2006,Estimate; Male -- - Other (dollars),11924,48.85,24.92,0.21
North Carolina,HD01_VD06,2006,Estimate; Male -- - Other (dollars),11091,332.43,169.61,1.53
Alamance ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),11566,2120.85,1082.07,9.36
Brunswick ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),13979,7359.83,3755.02,26.86
Buncombe ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),10441,1752.68,894.22,8.56
Burke ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),7244,2418.72,1234.04,17.04
Cabarrus ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),13136,1513.19,772.04,5.88
Caldwell ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),15901,6343.49,3236.47,20.35
Catawba ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),11438,2516.43,1283.89,11.22
Cleveland ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),10950,3840.17,1959.27,17.89
Craven ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),10785,2074.38,1058.36,9.81
Cumberland ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),11264,2204.26,1124.62,9.98
Davidson ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),11654,2417.53,1233.43,10.58
Durham ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),10703,2332.94,1190.28,11.12
Forsyth ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),11312,1366.64,697.27,6.16
Gaston ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),11877,2841.7,1449.85,12.21
Guilford ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),11540,980.6,500.31,4.34
Harnett ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),12868,3120.51,1592.1,12.37
Henderson ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),10287,3126.47,1595.14,15.51
Iredell ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),10530,2733.28,1394.53,13.24
Johnston ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),10294,2861.96,1460.18,14.18
Lincoln ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),10774,2779.74,1418.23,13.16
Mecklenburg ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),11825,880.51,449.24,3.8
Moore ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),7237,2651.06,1352.58,18.69
Nash ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),9845,2260.26,1153.19,11.71
New Hanover ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),11188,1861.11,949.55,8.49
Onslow ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),13787,2672.51,1363.53,9.89
Orange ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),8579,2672.51,1363.53,15.89
Pitt ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),8815,3075.23,1568.99,17.8
Randolph ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),11721,2649.87,1351.97,11.53
Robeson ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),11492,2281.7,1164.13,10.13
Rockingham ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),11908,2866.72,1462.61,12.28
Rowan ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),11573,2467.57,1258.96,10.88
Surry ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),10583,3170.55,1617.63,15.29
Union ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),12510,3356.43,1712.46,13.69
Wake ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),12208,1072.34,547.11,4.48
Wayne ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),9195,2728.51,1392.1,15.14
Wilkes ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),11398,4122.55,2103.34,18.45
Wilson ,HD01_VD06,2006,Estimate; Male -- - Other (dollars),12609,4059.4,2071.12,16.43
United States,HD01_VD08,2006,Estimate; Female -- - Total (dollars),22097,45.28,23.1,0.1
North Carolina,HD01_VD08,2006,Estimate; Female -- - Total (dollars),20945,232.34,118.54,0.57
Alamance ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),17648,2921.53,1490.58,8.45
Brunswick ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),19090,4746.89,2421.88,12.69
Buncombe ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),20144,2032.68,1037.08,5.15
Burke ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),19389,2042.21,1041.94,5.37
Cabarrus ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),23293,2253.11,1149.55,4.94
Caldwell ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),20426,3103.83,1583.59,7.75
Catawba ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),21272,1614.47,823.71,3.87
Cleveland ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),22895,2340.09,1193.92,5.21
Craven ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),19888,2247.15,1146.51,5.76
Cumberland ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),18778,1279.66,652.89,3.48
Davidson ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),19864,2193.53,1119.15,5.63
Durham ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),25838,2354.38,1201.21,4.65
Forsyth ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),22455,1663.32,848.63,3.78
Gaston ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),21178,2050.55,1046.2,4.94
Guilford ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),22488,1136.68,579.94,2.58
Harnett ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),18969,2278.13,1162.31,6.13
Henderson ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),17232,3641.19,1857.75,10.78
Iredell ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),20841,1271.32,648.63,3.11
Johnston ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),22628,2997.79,1529.48,6.76
Lincoln ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),20644,2677.28,1365.96,6.62
Mecklenburg ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),26009,960.34,489.97,1.88
Moore ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),19408,4849.36,2474.16,12.75
Nash ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),23279,2602.21,1327.66,5.7
New Hanover ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),20706,1152.17,587.84,2.84
Onslow ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),17311,2542.64,1297.27,7.49
Orange ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),19889,2845.28,1451.67,7.3
Pitt ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),17486,2036.26,1038.91,5.94
Randolph ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),19248,2545.02,1298.48,6.75
Robeson ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),16450,2038.64,1040.12,6.32
Rockingham ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),20965,1598.98,815.81,3.89
Rowan ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),18467,3000.17,1530.7,8.29
Surry ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),21653,2141.11,1092.4,5.05
Union ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),20143,2006.47,1023.71,5.08
Wake ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),26232,1103.32,562.92,2.15
Wayne ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),18045,2398.47,1223.71,6.78
Wilkes ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),17089,1949.28,994.53,5.82
Wilson ,HD01_VD08,2006,Estimate; Female -- - Total (dollars),19247,4888.68,2494.22,12.96
United States,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",32649,110.81,56.54,0.17
North Carolina,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",30600,264.51,134.95,0.44
Alamance ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",27524,3012.09,1536.78,5.58
Brunswick ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",33726,4037.96,2060.18,6.11
Buncombe ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",30833,1562.04,796.96,2.58
Burke ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",28054,4746.89,2421.88,8.63
Cabarrus ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",33199,2515.23,1283.28,3.87
Caldwell ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",29866,4114.21,2099.09,7.03
Catawba ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",28059,2939.4,1499.69,5.34
Cleveland ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",30052,2674.89,1364.74,4.54
Craven ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",25174,2570.04,1311.24,5.21
Cumberland ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",27364,1990.98,1015.81,3.71
Davidson ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",29371,1805.11,920.97,3.14
Durham ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",37579,3105.02,1584.19,4.22
Forsyth ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",32546,1726.47,880.85,2.71
Gaston ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",29374,2321.02,1184.19,4.03
Guilford ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",31201,1004.43,512.46,1.64
Harnett ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",27541,2821.45,1439.52,5.23
Henderson ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",26902,2288.85,1167.78,4.34
Iredell ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",30562,1198.64,611.55,2
Johnston ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",30677,1434.55,731.91,2.39
Lincoln ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",27479,5927.66,3024.32,11.01
Mecklenburg ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",35858,1192.68,608.51,1.7
Moore ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",26668,4354.89,2221.88,8.33
Nash ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",30876,1588.26,810.34,2.62
New Hanover ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",31164,1273.7,649.85,2.09
Onslow ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",25753,2317.45,1182.37,4.59
Orange ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",41987,4066.55,2074.77,4.94
Pitt ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",30102,5017.36,2559.88,8.5
Randolph ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",26544,2498.55,1274.77,4.8
Robeson ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",24504,2816.68,1437.08,5.86
Rockingham ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",29120,3699.57,1887.54,6.48
Rowan ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",30802,1638.3,835.87,2.71
Surry ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",25986,1906.38,972.64,3.74
Union ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",30725,2213.79,1129.48,3.68
Wake ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",40200,1522.72,776.9,1.93
Wayne ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",26062,1781.28,908.82,3.49
Wilkes ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",24607,3222.98,1644.38,6.68
Wilson ,HD01_VD09,2006,"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)",28834,6347.06,3238.3,11.23
United States,HD01_VD10,2006,Estimate; Female -- - Other (dollars),10336,38.13,19.45,0.19
North Carolina,HD01_VD10,2006,Estimate; Female -- - Other (dollars),9738,293.11,149.55,1.54
Alamance ,HD01_VD10,2006,Estimate; Female -- - Other (dollars),7555,2491.4,1271.12,16.82
Brunswick ,HD01_VD10,2006,Estimate; Female -- - Other (dollars),8310,1454.81,742.25,8.93
Buncombe ,HD01_VD10,2006,Estimate; Female -- - Other (dollars),10498,1491.74,761.09,7.25
Burke ,HD01_VD10,2006,Estimate; Female -- - Other (dollars),9257,2842.89,1450.45,15.67
Cabarrus ,HD01_VD10,2006,Estimate; Female -- - Other (dollars),11757,1347.57,687.54,5.85
Caldwell ,HD01_VD10,2006,Estimate; Female -- - Other (dollars),8775,3475.57,1773.25,20.21
Catawba ,HD01_VD10,2006,Estimate; Female -- - Other (dollars),11232,1562.04,796.96,7.1
Cleveland ,HD01_VD10,2006,Estimate; Female -- - Other (dollars),10918,2198.3,1121.58,10.27
Craven ,HD01_VD10,2006,Estimate; Female -- - Other (dollars),8696,1609.7,821.28,9.44
Cumberland ,HD01_VD10,2006,Estimate; Female -- - Other (dollars),8895,1776.51,906.38,10.19
Davidson ,HD01_VD10,2006,Estimate; Female -- - Other (dollars),10129,1463.15,746.51,7.37
Durham ,HD01_VD10,2006,Estimate; Female -- - Other (dollars),10680,1411.91,720.36,6.74
Forsyth ,HD01_VD10,2006,Estimate; Female -- - Other (dollars),10071,1297.53,662.01,6.57
Gaston ,HD01_VD10,2006,Estimate; Female -- - Other (dollars),7709,1883.74,961.09,12.47
Guilford ,HD01_VD10,2006,Estimate; Female -- - Other (dollars),10052,1118.81,570.82,5.68
