year,characteristics,item,subcategory,expense
2008,Two people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,350
2008,Three people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,469
2008,Four people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,390
2008,Five or more people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,473
2008,One person consumer unit,Other apparel products and services,Apparel and services,142
2008,Two people in consumer unit,Other apparel products and services,Apparel and services,237
2008,Three people in consumer unit,Other apparel products and services,Apparel and services,243
2008,Four people in consumer unit,Other apparel products and services,Apparel and services,268
2008,Five or more people in consumer unit,Other apparel products and services,Apparel and services,230
2008,One person consumer unit,"Apparel, Women and girls",Apparel and services,382
2008,Two people in consumer unit,"Apparel, Women and girls",Apparel and services,714
2008,Three people in consumer unit,"Apparel, Women and girls",Apparel and services,912
2008,Four people in consumer unit,"Apparel, Women and girls",Apparel and services,908
2008,Five or more people in consumer unit,"Apparel, Women and girls",Apparel and services,1115
2008,One person consumer unit,"Apparel, Women, 16 and over",Apparel and services,365
2008,Two people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,658
2008,Three people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,771
2008,Four people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,661
2008,Five or more people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,693
2009,One person consumer unit,Apparel and services,Apparel and services,1009
2009,Two people in consumer unit,Apparel and services,Apparel and services,1621
2009,Three people in consumer unit,Apparel and services,Apparel and services,2118
2009,Four people in consumer unit,Apparel and services,Apparel and services,2662
2009,Five or more people in consumer unit,Apparel and services,Apparel and services,2865
2009,One person consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,9
2009,Two people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,32
2009,Three people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,92
2009,Four people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,197
2009,Five or more people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,240
2009,One person consumer unit,Footwear,Apparel and services,191
2009,Two people in consumer unit,Footwear,Apparel and services,308
2009,Three people in consumer unit,Footwear,Apparel and services,386
2009,Four people in consumer unit,Footwear,Apparel and services,500
2009,Five or more people in consumer unit,Footwear,Apparel and services,674
2009,One person consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,20
2009,Two people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,54
2009,Three people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,168
2009,Four people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,302
2009,Five or more people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,389
2009,One person consumer unit,"Apparel, Children under 2",Apparel and services,21
2009,Two people in consumer unit,"Apparel, Children under 2",Apparel and services,47
2009,Three people in consumer unit,"Apparel, Children under 2",Apparel and services,149
2009,Four people in consumer unit,"Apparel, Children under 2",Apparel and services,171
2009,Five or more people in consumer unit,"Apparel, Children under 2",Apparel and services,193
2009,One person consumer unit,"Apparel, Men and boys",Apparel and services,227
2009,Two people in consumer unit,"Apparel, Men and boys",Apparel and services,330
2009,Three people in consumer unit,"Apparel, Men and boys",Apparel and services,435
2009,Four people in consumer unit,"Apparel, Men and boys",Apparel and services,554
2009,Five or more people in consumer unit,"Apparel, Men and boys",Apparel and services,571
2009,One person consumer unit,"Apparel, Men, 16 and over",Apparel and services,218
2009,Two people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,299
2009,Three people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,343
2009,Four people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,361
2009,Five or more people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,335
2009,One person consumer unit,Other apparel products and services,Apparel and services,170
2009,Two people in consumer unit,Other apparel products and services,Apparel and services,255
2009,Three people in consumer unit,Other apparel products and services,Apparel and services,246
2009,Four people in consumer unit,Other apparel products and services,Apparel and services,331
2009,Five or more people in consumer unit,Other apparel products and services,Apparel and services,385
2009,One person consumer unit,"Apparel, Women and girls",Apparel and services,401
2009,Two people in consumer unit,"Apparel, Women and girls",Apparel and services,683
2009,Three people in consumer unit,"Apparel, Women and girls",Apparel and services,900
2009,Four people in consumer unit,"Apparel, Women and girls",Apparel and services,1101
2009,Five or more people in consumer unit,"Apparel, Women and girls",Apparel and services,1041
2009,One person consumer unit,"Apparel, Women, 16 and over",Apparel and services,380
2009,Two people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,628
2009,Three people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,730
2009,Four people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,803
2009,Five or more people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,656
2010,One person consumer unit,Apparel and services,Apparel and services,712
2010,Two people in consumer unit,Apparel and services,Apparel and services,1510
2010,Three people in consumer unit,Apparel and services,Apparel and services,1851
2010,Four people in consumer unit,Apparel and services,Apparel and services,2228
2010,Five or more people in consumer unit,Apparel and services,Apparel and services,2293
2010,One person consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,9
2010,Two people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,25
2010,Three people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,76
2010,Four people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,163
2010,Five or more people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,212
2010,One person consumer unit,Footwear,Apparel and services,147
2010,Two people in consumer unit,Footwear,Apparel and services,266
2010,Three people in consumer unit,Footwear,Apparel and services,328
2010,Four people in consumer unit,Footwear,Apparel and services,437
2010,Five or more people in consumer unit,Footwear,Apparel and services,569
2010,One person consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,14
2010,Two people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,41
2010,Three people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,130
2010,Four people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,249
2010,Five or more people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,318
2010,One person consumer unit,"Apparel, Children under 2",Apparel and services,17
2010,Two people in consumer unit,"Apparel, Children under 2",Apparel and services,48
2010,Three people in consumer unit,"Apparel, Children under 2",Apparel and services,171
2010,Four people in consumer unit,"Apparel, Children under 2",Apparel and services,169
2010,Five or more people in consumer unit,"Apparel, Children under 2",Apparel and services,198
2010,One person consumer unit,"Apparel, Men and boys",Apparel and services,149
2010,Two people in consumer unit,"Apparel, Men and boys",Apparel and services,297
2010,Three people in consumer unit,"Apparel, Men and boys",Apparel and services,375
2010,Four people in consumer unit,"Apparel, Men and boys",Apparel and services,459
2010,Five or more people in consumer unit,"Apparel, Men and boys",Apparel and services,494
2010,One person consumer unit,"Apparel, Men, 16 and over",Apparel and services,139
2010,Two people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,270
2010,Three people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,299
2010,Four people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,300
2010,Five or more people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,289
2010,One person consumer unit,Other apparel products and services,Apparel and services,109
2010,Two people in consumer unit,Other apparel products and services,Apparel and services,277
2010,Three people in consumer unit,Other apparel products and services,Apparel and services,187
2010,Four people in consumer unit,Other apparel products and services,Apparel and services,204
2010,Five or more people in consumer unit,Other apparel products and services,Apparel and services,160
2010,One person consumer unit,"Apparel, Women and girls",Apparel and services,282
2010,Two people in consumer unit,"Apparel, Women and girls",Apparel and services,598
2010,Three people in consumer unit,"Apparel, Women and girls",Apparel and services,803
2010,Four people in consumer unit,"Apparel, Women and girls",Apparel and services,980
2010,Five or more people in consumer unit,"Apparel, Women and girls",Apparel and services,911
2010,One person consumer unit,"Apparel, Women, 16 and over",Apparel and services,265
2010,Two people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,551
2010,Three people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,673
2010,Four people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,740
2010,Five or more people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,609
2011,One person consumer unit,Apparel and services,Apparel and services,948
2011,Two people in consumer unit,Apparel and services,Apparel and services,1517
2011,Three people in consumer unit,Apparel and services,Apparel and services,1871
2011,Four people in consumer unit,Apparel and services,Apparel and services,2231
2011,Five or more people in consumer unit,Apparel and services,Apparel and services,2638
2011,One person consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,12
2011,Two people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,23
2011,Three people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,88
2011,Four people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,167
2011,Five or more people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,216
2011,One person consumer unit,Footwear,Apparel and services,154
2011,Two people in consumer unit,Footwear,Apparel and services,289
2011,Three people in consumer unit,Footwear,Apparel and services,346
2011,Four people in consumer unit,Footwear,Apparel and services,483
2011,Five or more people in consumer unit,Footwear,Apparel and services,523
2011,One person consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,29
2011,Two people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,50
2011,Three people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,112
2011,Four people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,264
2011,Five or more people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,303
2011,One person consumer unit,"Apparel, Children under 2",Apparel and services,16
2011,Two people in consumer unit,"Apparel, Children under 2",Apparel and services,32
2011,Three people in consumer unit,"Apparel, Children under 2",Apparel and services,129
2011,Four people in consumer unit,"Apparel, Children under 2",Apparel and services,133
2011,Five or more people in consumer unit,"Apparel, Children under 2",Apparel and services,189
2011,One person consumer unit,"Apparel, Men and boys",Apparel and services,243
2011,Two people in consumer unit,"Apparel, Men and boys",Apparel and services,336
2011,Three people in consumer unit,"Apparel, Men and boys",Apparel and services,444
2011,Four people in consumer unit,"Apparel, Men and boys",Apparel and services,514
2011,Five or more people in consumer unit,"Apparel, Men and boys",Apparel and services,753
2011,One person consumer unit,"Apparel, Men, 16 and over",Apparel and services,235
2011,Two people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,319
2011,Three people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,356
2011,Four people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,337
2011,Five or more people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,526
2011,One person consumer unit,Other apparel products and services,Apparel and services,118
2011,Two people in consumer unit,Other apparel products and services,Apparel and services,225
2011,Three people in consumer unit,Other apparel products and services,Apparel and services,224
2011,Four people in consumer unit,Other apparel products and services,Apparel and services,239
2011,Five or more people in consumer unit,Other apparel products and services,Apparel and services,219
2011,One person consumer unit,"Apparel, Women and girls",Apparel and services,413
2011,Two people in consumer unit,"Apparel, Women and girls",Apparel and services,625
2011,Three people in consumer unit,"Apparel, Women and girls",Apparel and services,732
2011,Four people in consumer unit,"Apparel, Women and girls",Apparel and services,869
2011,Five or more people in consumer unit,"Apparel, Women and girls",Apparel and services,976
2011,One person consumer unit,"Apparel, Women, 16 and over",Apparel and services,382
2011,Two people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,574
2011,Three people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,619
2011,Four people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,606
2011,Five or more people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,677
2012,One person consumer unit,Apparel and services,Apparel and services,828
2012,Two people in consumer unit,Apparel and services,Apparel and services,1618
2012,Three people in consumer unit,Apparel and services,Apparel and services,1994
2012,Four people in consumer unit,Apparel and services,Apparel and services,2519
2012,Five or more people in consumer unit,Apparel and services,Apparel and services,2587
2012,One person consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,13
2012,Two people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,30
2012,Three people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,85
2012,Four people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,234
2012,Five or more people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,282
2012,One person consumer unit,Footwear,Apparel and services,147
2012,Two people in consumer unit,Footwear,Apparel and services,330
2012,Three people in consumer unit,Footwear,Apparel and services,443
2012,Four people in consumer unit,Footwear,Apparel and services,541
2012,Five or more people in consumer unit,Footwear,Apparel and services,624
2012,One person consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,14
2012,Two people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,66
2012,Three people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,149
2012,Four people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,283
2012,Five or more people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,343
2012,One person consumer unit,"Apparel, Children under 2",Apparel and services,9
2012,Two people in consumer unit,"Apparel, Children under 2",Apparel and services,30
2012,Three people in consumer unit,"Apparel, Children under 2",Apparel and services,127
2012,Four people in consumer unit,"Apparel, Children under 2",Apparel and services,146
2012,Five or more people in consumer unit,"Apparel, Children under 2",Apparel and services,169
2012,One person consumer unit,"Apparel, Men and boys",Apparel and services,192
2012,Two people in consumer unit,"Apparel, Men and boys",Apparel and services,333
2012,Three people in consumer unit,"Apparel, Men and boys",Apparel and services,411
2012,Four people in consumer unit,"Apparel, Men and boys",Apparel and services,569
2012,Five or more people in consumer unit,"Apparel, Men and boys",Apparel and services,678
2012,One person consumer unit,"Apparel, Men, 16 and over",Apparel and services,175
2012,Two people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,298
2012,Three people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,324
2012,Four people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,342
2012,Five or more people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,405
2012,One person consumer unit,Other apparel products and services,Apparel and services,151
2012,Two people in consumer unit,Other apparel products and services,Apparel and services,228
2012,Three people in consumer unit,Other apparel products and services,Apparel and services,236
2012,Four people in consumer unit,Other apparel products and services,Apparel and services,277
2012,Five or more people in consumer unit,Other apparel products and services,Apparel and services,211
2012,One person consumer unit,"Apparel, Women and girls",Apparel and services,324
2012,Two people in consumer unit,"Apparel, Women and girls",Apparel and services,696
2012,Three people in consumer unit,"Apparel, Women and girls",Apparel and services,788
2012,Four people in consumer unit,"Apparel, Women and girls",Apparel and services,994
2012,Five or more people in consumer unit,"Apparel, Women and girls",Apparel and services,914
2012,One person consumer unit,"Apparel, Women, 16 and over",Apparel and services,306
2012,Two people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,624
2012,Three people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,639
2012,Four people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,718
2012,Five or more people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,584
2013,One person consumer unit,Apparel and services,Apparel and services,780
2013,Two people in consumer unit,Apparel and services,Apparel and services,1379
2013,Three people in consumer unit,Apparel and services,Apparel and services,1788
2013,Four people in consumer unit,Apparel and services,Apparel and services,2252
2013,Five or more people in consumer unit,Apparel and services,Apparel and services,2140
2013,One person consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,14
2013,Two people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,21
2013,Three people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,74
2013,Four people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,187
2013,Five or more people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,223
2013,One person consumer unit,Footwear,Apparel and services,120
2013,Two people in consumer unit,Footwear,Apparel and services,224
2013,Three people in consumer unit,Footwear,Apparel and services,369
2013,Four people in consumer unit,Footwear,Apparel and services,446
2013,Five or more people in consumer unit,Footwear,Apparel and services,458
2013,One person consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,16
2013,Two people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,50
2013,Three people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,124
2013,Four people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,274
2013,Five or more people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,311
2013,One person consumer unit,"Apparel, Children under 2",Apparel and services,15
2013,Two people in consumer unit,"Apparel, Children under 2",Apparel and services,28
2013,Three people in consumer unit,"Apparel, Children under 2",Apparel and services,130
2013,Four people in consumer unit,"Apparel, Children under 2",Apparel and services,143
2013,Five or more people in consumer unit,"Apparel, Children under 2",Apparel and services,177
2013,One person consumer unit,"Apparel, Men and boys",Apparel and services,192
2013,Two people in consumer unit,"Apparel, Men and boys",Apparel and services,310
2013,Three people in consumer unit,"Apparel, Men and boys",Apparel and services,392
2013,Four people in consumer unit,"Apparel, Men and boys",Apparel and services,616
2013,Five or more people in consumer unit,"Apparel, Men and boys",Apparel and services,514
2013,One person consumer unit,"Apparel, Men, 16 and over",Apparel and services,178
2013,Two people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,286
2013,Three people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,320
2013,Four people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,434
2013,Five or more people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,298
2013,One person consumer unit,Other apparel products and services,Apparel and services,118
2013,Two people in consumer unit,Other apparel products and services,Apparel and services,211
2013,Three people in consumer unit,Other apparel products and services,Apparel and services,202
2013,Four people in consumer unit,Other apparel products and services,Apparel and services,206
2013,Five or more people in consumer unit,Other apparel products and services,Apparel and services,165
2013,One person consumer unit,"Apparel, Women and girls",Apparel and services,333
2013,Two people in consumer unit,"Apparel, Women and girls",Apparel and services,604
2013,Three people in consumer unit,"Apparel, Women and girls",Apparel and services,693
2013,Four people in consumer unit,"Apparel, Women and girls",Apparel and services,846
2013,Five or more people in consumer unit,"Apparel, Women and girls",Apparel and services,829
2013,One person consumer unit,"Apparel, Women, 16 and over",Apparel and services,316
2013,Two people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,552
2013,Three people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,569
2013,Four people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,578
2013,Five or more people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,525
2014,One person consumer unit,Apparel and services,Apparel and services,715
2014,Two people in consumer unit,Apparel and services,Apparel and services,1563
2014,Three people in consumer unit,Apparel and services,Apparel and services,2037
2014,Four people in consumer unit,Apparel and services,Apparel and services,2399
2014,Five or more people in consumer unit,Apparel and services,Apparel and services,2538
2014,One person consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,9
2014,Two people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,34
2014,Three people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,106
