geo_description,label,year,description,estimate,moe,se,cv
United States,HD01_VD01,2006,Estimate; Total:,225633342,31848.51,16249.24,0.01
Guilford ,HD01_VD06,2006,Estimate; Male: - 18 to 24 years: - High school graduate (includes equivalency),7201,1341.62,684.5,9.51
United States,HD01_VD07,2006,"Estimate; Male: - 18 to 24 years: - Some college, no degree",4929672,37430.64,19097.27,0.39
North Carolina,HD01_VD07,2006,"Estimate; Male: - 18 to 24 years: - Some college, no degree",134711,7206.13,3676.6,2.73
Durham ,HD01_VD07,2006,"Estimate; Male: - 18 to 24 years: - Some college, no degree",5425,1093.79,558.06,10.29
Forsyth ,HD01_VD07,2006,"Estimate; Male: - 18 to 24 years: - Some college, no degree",4002,1084.26,553.19,13.82
Guilford ,HD01_VD07,2006,"Estimate; Male: - 18 to 24 years: - Some college, no degree",9084,1521.53,776.29,8.55
United States,HD01_VD08,2006,Estimate; Male: - 18 to 24 years: - Associate's degree,641453,15664.51,7992.1,1.25
North Carolina,HD01_VD08,2006,Estimate; Male: - 18 to 24 years: - Associate's degree,16091,2698.72,1376.9,8.56
Durham ,HD01_VD08,2006,Estimate; Male: - 18 to 24 years: - Associate's degree,343,375.32,191.49,55.83
Forsyth ,HD01_VD08,2006,Estimate; Male: - 18 to 24 years: - Associate's degree,346,266.89,136.17,39.36
Guilford ,HD01_VD08,2006,Estimate; Male: - 18 to 24 years: - Associate's degree,480,496.85,253.49,52.81
United States,HD01_VD09,2006,Estimate; Male: - 18 to 24 years: - Bachelor's degree,976599,20221.96,10317.33,1.06
North Carolina,HD01_VD09,2006,Estimate; Male: - 18 to 24 years: - Bachelor's degree,28231,3588.77,1831.01,6.49
Durham ,HD01_VD09,2006,Estimate; Male: - 18 to 24 years: - Bachelor's degree,2138,942.47,480.85,22.49
Forsyth ,HD01_VD09,2006,Estimate; Male: - 18 to 24 years: - Bachelor's degree,1394,679.15,346.51,24.86
Guilford ,HD01_VD09,2006,Estimate; Male: - 18 to 24 years: - Bachelor's degree,1598,758.98,387.23,24.23
United States,HD01_VD10,2006,Estimate; Male: - 18 to 24 years: - Graduate or professional degree,63923,6237.45,3182.37,4.98
North Carolina,HD01_VD10,2006,Estimate; Male: - 18 to 24 years: - Graduate or professional degree,2024,981.79,500.91,24.75
Durham ,HD01_VD10,2006,Estimate; Male: - 18 to 24 years: - Graduate or professional degree,304,380.09,193.92,63.79
Forsyth ,HD01_VD10,2006,Estimate; Male: - 18 to 24 years: - Graduate or professional degree,52,102.47,52.28,100.54
Guilford ,HD01_VD10,2006,Estimate; Male: - 18 to 24 years: - Graduate or professional degree,269,403.91,206.08,76.61
United States,HD01_VD11,2006,Estimate; Male: - 25 to 34 years:,20249512,31464.85,16053.49,0.08
North Carolina,HD01_VD11,2006,Estimate; Male: - 25 to 34 years:,603919,6861.79,3500.91,0.58
Durham ,HD01_VD11,2006,Estimate; Male: - 25 to 34 years:,20457,366.98,187.23,0.92
Forsyth ,HD01_VD11,2006,Estimate; Male: - 25 to 34 years:,21730,336,171.43,0.79
Guilford ,HD01_VD11,2006,Estimate; Male: - 25 to 34 years:,28915,590.98,301.52,1.04
United States,HD01_VD12,2006,Estimate; Male: - 25 to 34 years: - Less than 9th grade,1108701,21842.38,11144.07,1.01
North Carolina,HD01_VD12,2006,Estimate; Male: - 25 to 34 years: - Less than 9th grade,43569,4880.34,2489.97,5.72
Durham ,HD01_VD12,2006,Estimate; Male: - 25 to 34 years: - Less than 9th grade,2574,1040.17,530.7,20.62
Forsyth ,HD01_VD12,2006,Estimate; Male: - 25 to 34 years: - Less than 9th grade,2027,1068.77,545.29,26.9
Guilford ,HD01_VD12,2006,Estimate; Male: - 25 to 34 years: - Less than 9th grade,2192,825.7,421.28,19.22
United States,HD01_VD13,2006,"Estimate; Male: - 25 to 34 years: - 9th to 12th grade, no diploma",2178986,35569.53,18147.72,0.83
North Carolina,HD01_VD13,2006,"Estimate; Male: - 25 to 34 years: - 9th to 12th grade, no diploma",75966,6491.23,3311.85,4.36
Durham ,HD01_VD13,2006,"Estimate; Male: - 25 to 34 years: - 9th to 12th grade, no diploma",2128,1276.09,651.07,30.6
Forsyth ,HD01_VD13,2006,"Estimate; Male: - 25 to 34 years: - 9th to 12th grade, no diploma",2789,1185.53,604.86,21.69
Guilford ,HD01_VD13,2006,"Estimate; Male: - 25 to 34 years: - 9th to 12th grade, no diploma",2584,863.83,440.73,17.06
United States,HD01_VD14,2006,Estimate; Male: - 25 to 34 years: - High school graduate (includes equivalency),6233048,47839.49,24407.9,0.39
North Carolina,HD01_VD14,2006,Estimate; Male: - 25 to 34 years: - High school graduate (includes equivalency),184167,9013.62,4598.79,2.5
Durham ,HD01_VD14,2006,Estimate; Male: - 25 to 34 years: - High school graduate (includes equivalency),4865,1570.38,801.21,16.47
Forsyth ,HD01_VD14,2006,Estimate; Male: - 25 to 34 years: - High school graduate (includes equivalency),5243,1409.53,719.15,13.72
Guilford ,HD01_VD14,2006,Estimate; Male: - 25 to 34 years: - High school graduate (includes equivalency),6035,1622.81,827.96,13.72
United States,HD01_VD15,2006,"Estimate; Male: - 25 to 34 years: - Some college, no degree",4078675,41942.81,21399.39,0.52
North Carolina,HD01_VD15,2006,"Estimate; Male: - 25 to 34 years: - Some college, no degree",115352,5888.34,3004.26,2.6
Durham ,HD01_VD15,2006,"Estimate; Male: - 25 to 34 years: - Some college, no degree",2810,1165.28,594.53,21.16
Forsyth ,HD01_VD15,2006,"Estimate; Male: - 25 to 34 years: - Some college, no degree",4037,1285.62,655.93,16.25
Guilford ,HD01_VD15,2006,"Estimate; Male: - 25 to 34 years: - Some college, no degree",7884,1635.91,834.65,10.59
United States,HD01_VD16,2006,Estimate; Male: - 25 to 34 years: - Associate's degree,1463533,21886.47,11166.57,0.76
North Carolina,HD01_VD16,2006,Estimate; Male: - 25 to 34 years: - Associate's degree,40883,4790.98,2444.38,5.98
Durham ,HD01_VD16,2006,Estimate; Male: - 25 to 34 years: - Associate's degree,1056,664.85,339.21,32.12
Forsyth ,HD01_VD16,2006,Estimate; Male: - 25 to 34 years: - Associate's degree,1573,890.04,454.1,28.87
Guilford ,HD01_VD16,2006,Estimate; Male: - 25 to 34 years: - Associate's degree,1626,733.96,374.47,23.03
United States,HD01_VD17,2006,Estimate; Male: - 25 to 34 years: - Bachelor's degree,3818398,37176.85,18967.78,0.5
North Carolina,HD01_VD17,2006,Estimate; Male: - 25 to 34 years: - Bachelor's degree,106505,6454.3,3293.01,3.09
Durham ,HD01_VD17,2006,Estimate; Male: - 25 to 34 years: - Bachelor's degree,4114,1024.68,522.8,12.71
Forsyth ,HD01_VD17,2006,Estimate; Male: - 25 to 34 years: - Bachelor's degree,4746,1142.64,582.98,12.28
Guilford ,HD01_VD17,2006,Estimate; Male: - 25 to 34 years: - Bachelor's degree,6632,1444.09,736.78,11.11
United States,HD01_VD18,2006,Estimate; Male: - 25 to 34 years: - Graduate or professional degree,1368171,25644.43,13083.89,0.96
North Carolina,HD01_VD18,2006,Estimate; Male: - 25 to 34 years: - Graduate or professional degree,37477,4220.26,2153.19,5.75
Durham ,HD01_VD18,2006,Estimate; Male: - 25 to 34 years: - Graduate or professional degree,2910,972.26,496.05,17.05
Forsyth ,HD01_VD18,2006,Estimate; Male: - 25 to 34 years: - Graduate or professional degree,1315,571.91,291.79,22.19
Guilford ,HD01_VD18,2006,Estimate; Male: - 25 to 34 years: - Graduate or professional degree,1962,700.6,357.45,18.22
United States,HD01_VD19,2006,Estimate; Male: - 35 to 44 years:,21948874,23366.3,11921.58,0.05
North Carolina,HD01_VD19,2006,Estimate; Male: - 35 to 44 years:,660435,5746.55,2931.91,0.44
Durham ,HD01_VD19,2006,Estimate; Male: - 35 to 44 years:,20111,749.45,382.37,1.9
Forsyth ,HD01_VD19,2006,Estimate; Male: - 35 to 44 years:,24571,823.32,420.06,1.71
Guilford ,HD01_VD19,2006,Estimate; Male: - 35 to 44 years:,33392,786.38,401.21,1.2
United States,HD01_VD20,2006,Estimate; Male: - 35 to 44 years: - Less than 9th grade,1147819,23201.87,11837.69,1.03
North Carolina,HD01_VD20,2006,Estimate; Male: - 35 to 44 years: - Less than 9th grade,33582,4327.49,2207.9,6.57
Durham ,HD01_VD20,2006,Estimate; Male: - 35 to 44 years: - Less than 9th grade,616,489.7,249.85,40.56
Forsyth ,HD01_VD20,2006,Estimate; Male: - 35 to 44 years: - Less than 9th grade,1125,749.45,382.37,33.99
Guilford ,HD01_VD20,2006,Estimate; Male: - 35 to 44 years: - Less than 9th grade,880,534.98,272.95,31.02
United States,HD01_VD21,2006,"Estimate; Male: - 35 to 44 years: - 9th to 12th grade, no diploma",2045271,29252.26,14924.62,0.73
North Carolina,HD01_VD21,2006,"Estimate; Male: - 35 to 44 years: - 9th to 12th grade, no diploma",70997,5841.87,2980.55,4.2
Durham ,HD01_VD21,2006,"Estimate; Male: - 35 to 44 years: - 9th to 12th grade, no diploma",2861,918.64,468.69,16.38
Forsyth ,HD01_VD21,2006,"Estimate; Male: - 35 to 44 years: - 9th to 12th grade, no diploma",1834,1013.96,517.33,28.21
Guilford ,HD01_VD21,2006,"Estimate; Male: - 35 to 44 years: - 9th to 12th grade, no diploma",2732,1123.57,573.25,20.98
United States,HD01_VD22,2006,Estimate; Male: - 35 to 44 years: - High school graduate (includes equivalency),6804052,47781.11,24378.12,0.36
North Carolina,HD01_VD22,2006,Estimate; Male: - 35 to 44 years: - High school graduate (includes equivalency),210486,9626.04,4911.24,2.33
Durham ,HD01_VD22,2006,Estimate; Male: - 35 to 44 years: - High school graduate (includes equivalency),5182,1298.72,662.61,12.79
Forsyth ,HD01_VD22,2006,Estimate; Male: - 35 to 44 years: - High school graduate (includes equivalency),7959,1352.34,689.97,8.67
Guilford ,HD01_VD22,2006,Estimate; Male: - 35 to 44 years: - High school graduate (includes equivalency),8753,1513.19,772.04,8.82
United States,HD01_VD23,2006,"Estimate; Male: - 35 to 44 years: - Some college, no degree",4054421,38414.81,19599.39,0.48
North Carolina,HD01_VD23,2006,"Estimate; Male: - 35 to 44 years: - Some college, no degree",123765,6246.98,3187.23,2.58
Durham ,HD01_VD23,2006,"Estimate; Male: - 35 to 44 years: - Some college, no degree",3158,1335.66,681.46,21.58
Forsyth ,HD01_VD23,2006,"Estimate; Male: - 35 to 44 years: - Some college, no degree",3881,1097.36,559.88,14.43
Guilford ,HD01_VD23,2006,"Estimate; Male: - 35 to 44 years: - Some college, no degree",8259,1348.77,688.15,8.33
United States,HD01_VD24,2006,Estimate; Male: - 35 to 44 years: - Associate's degree,1655229,23489.02,11984.19,0.72
North Carolina,HD01_VD24,2006,Estimate; Male: - 35 to 44 years: - Associate's degree,52914,4684.94,2390.28,4.52
Durham ,HD01_VD24,2006,Estimate; Male: - 35 to 44 years: - Associate's degree,792,512.34,261.4,33.01
Forsyth ,HD01_VD24,2006,Estimate; Male: - 35 to 44 years: - Associate's degree,2259,769.7,392.7,17.38
Guilford ,HD01_VD24,2006,Estimate; Male: - 35 to 44 years: - Associate's degree,1725,695.83,355.02,20.58
United States,HD01_VD25,2006,Estimate; Male: - 35 to 44 years: - Bachelor's degree,4019304,38585.19,19686.32,0.49
North Carolina,HD01_VD25,2006,Estimate; Male: - 35 to 44 years: - Bachelor's degree,115708,6549.62,3341.64,2.89
Durham ,HD01_VD25,2006,Estimate; Male: - 35 to 44 years: - Bachelor's degree,3609,1128.34,575.68,15.95
Forsyth ,HD01_VD25,2006,Estimate; Male: - 35 to 44 years: - Bachelor's degree,4964,1208.17,616.41,12.42
Guilford ,HD01_VD25,2006,Estimate; Male: - 35 to 44 years: - Bachelor's degree,7593,1495.32,762.92,10.05
United States,HD01_VD26,2006,Estimate; Male: - 35 to 44 years: - Graduate or professional degree,2222778,25133.28,12823.1,0.58
North Carolina,HD01_VD26,2006,Estimate; Male: - 35 to 44 years: - Graduate or professional degree,52983,3900.94,1990.28,3.76
Durham ,HD01_VD26,2006,Estimate; Male: - 35 to 44 years: - Graduate or professional degree,3893,1040.17,530.7,13.63
Forsyth ,HD01_VD26,2006,Estimate; Male: - 35 to 44 years: - Graduate or professional degree,2549,816.17,416.41,16.34
Guilford ,HD01_VD26,2006,Estimate; Male: - 35 to 44 years: - Graduate or professional degree,3450,985.36,502.73,14.57
United States,HD01_VD27,2006,Estimate; Male: - 45 to 64 years:,36554880,25829.11,13178.12,0.04
North Carolina,HD01_VD27,2006,Estimate; Male: - 45 to 64 years:,1082775,5106.72,2605.47,0.24
Durham ,HD01_VD27,2006,Estimate; Male: - 45 to 64 years:,26022,812.6,414.59,1.59
Forsyth ,HD01_VD27,2006,Estimate; Male: - 45 to 64 years:,39908,776.85,396.35,0.99
Guilford ,HD01_VD27,2006,Estimate; Male: - 45 to 64 years:,56180,1092.6,557.45,0.99
United States,HD01_VD28,2006,Estimate; Male: - 45 to 64 years: - Less than 9th grade,2011030,25354.89,12936.17,0.64
North Carolina,HD01_VD28,2006,Estimate; Male: - 45 to 64 years: - Less than 9th grade,56724,4749.28,2423.1,4.27
Durham ,HD01_VD28,2006,Estimate; Male: - 45 to 64 years: - Less than 9th grade,755,644.6,328.88,43.56
Forsyth ,HD01_VD28,2006,Estimate; Male: - 45 to 64 years: - Less than 9th grade,1314,770.89,393.31,29.93
Guilford ,HD01_VD28,2006,Estimate; Male: - 45 to 64 years: - Less than 9th grade,1889,901.96,460.18,24.36
United States,HD01_VD29,2006,"Estimate; Male: - 45 to 64 years: - 9th to 12th grade, no diploma",3018550,25830.3,13178.72,0.44
North Carolina,HD01_VD29,2006,"Estimate; Male: - 45 to 64 years: - 9th to 12th grade, no diploma",124322,6257.7,3192.7,2.57
Durham ,HD01_VD29,2006,"Estimate; Male: - 45 to 64 years: - 9th to 12th grade, no diploma",2716,876.94,447.42,16.47
Forsyth ,HD01_VD29,2006,"Estimate; Male: - 45 to 64 years: - 9th to 12th grade, no diploma",4216,1483.4,756.84,17.95
Guilford ,HD01_VD29,2006,"Estimate; Male: - 45 to 64 years: - 9th to 12th grade, no diploma",5247,1268.94,647.42,12.34
United States,HD01_VD30,2006,Estimate; Male: - 45 to 64 years: - High school graduate (includes equivalency),10673228,47156.77,24059.58,0.23
North Carolina,HD01_VD30,2006,Estimate; Male: - 45 to 64 years: - High school graduate (includes equivalency),327960,9458.04,4825.53,1.47
Durham ,HD01_VD30,2006,Estimate; Male: - 45 to 64 years: - High school graduate (includes equivalency),6416,1433.36,731.31,11.4
Forsyth ,HD01_VD30,2006,Estimate; Male: - 45 to 64 years: - High school graduate (includes equivalency),10299,1485.79,758.06,7.36
Guilford ,HD01_VD30,2006,Estimate; Male: - 45 to 64 years: - High school graduate (includes equivalency),14065,1682.38,858.36,6.1
United States,HD01_VD31,2006,"Estimate; Male: - 45 to 64 years: - Some college, no degree",7149087,45762.72,23348.33,0.33
North Carolina,HD01_VD31,2006,"Estimate; Male: - 45 to 64 years: - Some college, no degree",198045,7496.85,3824.92,1.93
Durham ,HD01_VD31,2006,"Estimate; Male: - 45 to 64 years: - Some college, no degree",3610,862.64,440.12,12.19
Forsyth ,HD01_VD31,2006,"Estimate; Male: - 45 to 64 years: - Some college, no degree",6511,1261.79,643.77,9.89
Guilford ,HD01_VD31,2006,"Estimate; Male: - 45 to 64 years: - Some college, no degree",11608,1855.15,946.51,8.15
United States,HD01_VD32,2006,Estimate; Male: - 45 to 64 years: - Associate's degree,2672267,28543.32,14562.92,0.54
North Carolina,HD01_VD32,2006,Estimate; Male: - 45 to 64 years: - Associate's degree,87307,5920.51,3020.67,3.46
Durham ,HD01_VD32,2006,Estimate; Male: - 45 to 64 years: - Associate's degree,1425,512.34,261.4,18.34
Forsyth ,HD01_VD32,2006,Estimate; Male: - 45 to 64 years: - Associate's degree,2558,847.15,432.22,16.9
Guilford ,HD01_VD32,2006,Estimate; Male: - 45 to 64 years: - Associate's degree,4100,1073.53,547.72,13.36
United States,HD01_VD33,2006,Estimate; Male: - 45 to 64 years: - Bachelor's degree,6432329,42178.72,21519.76,0.33
North Carolina,HD01_VD33,2006,Estimate; Male: - 45 to 64 years: - Bachelor's degree,175855,7166.81,3656.54,2.08
Durham ,HD01_VD33,2006,Estimate; Male: - 45 to 64 years: - Bachelor's degree,5751,1108.09,565.35,9.83
Forsyth ,HD01_VD33,2006,Estimate; Male: - 45 to 64 years: - Bachelor's degree,10026,1447.66,738.6,7.37
Guilford ,HD01_VD33,2006,Estimate; Male: - 45 to 64 years: - Bachelor's degree,12097,1444.09,736.78,6.09
United States,HD01_VD34,2006,Estimate; Male: - 45 to 64 years: - Graduate or professional degree,4598389,34781.96,17745.9,0.39
North Carolina,HD01_VD34,2006,Estimate; Male: - 45 to 64 years: - Graduate or professional degree,112562,5361.7,2735.56,2.43
Durham ,HD01_VD34,2006,Estimate; Male: - 45 to 64 years: - Graduate or professional degree,5349,1013.96,517.33,9.67
Forsyth ,HD01_VD34,2006,Estimate; Male: - 45 to 64 years: - Graduate or professional degree,4984,962.72,491.18,9.86
Guilford ,HD01_VD34,2006,Estimate; Male: - 45 to 64 years: - Graduate or professional degree,7174,1193.87,609.12,8.49
United States,HD01_VD35,2006,Estimate; Male: - 65 years and over:,15606675,12136.51,6192.1,0.04
North Carolina,HD01_VD35,2006,Estimate; Male: - 65 years and over:,439396,2511.66,1281.46,0.29
Durham ,HD01_VD35,2006,Estimate; Male: - 65 years and over:,8920,187.06,95.44,1.07
Forsyth ,HD01_VD35,2006,Estimate; Male: - 65 years and over:,16458,268.09,136.78,0.83
Guilford ,HD01_VD35,2006,Estimate; Male: - 65 years and over:,22153,782.81,399.39,1.8
United States,HD01_VD36,2006,Estimate; Male: - 65 years and over: - Less than 9th grade,2071420,22000.85,11224.92,0.54
North Carolina,HD01_VD36,2006,Estimate; Male: - 65 years and over: - Less than 9th grade,70850,4114.21,2099.09,2.96
Durham ,HD01_VD36,2006,Estimate; Male: - 65 years and over: - Less than 9th grade,1402,558.81,285.11,20.34
Forsyth ,HD01_VD36,2006,Estimate; Male: - 65 years and over: - Less than 9th grade,1486,600.51,306.38,20.62
Guilford ,HD01_VD36,2006,Estimate; Male: - 65 years and over: - Less than 9th grade,2725,812.6,414.59,15.21
United States,HD01_VD37,2006,"Estimate; Male: - 65 years and over: - 9th to 12th grade, no diploma",2008840,19772.77,10088.15,0.5
North Carolina,HD01_VD37,2006,"Estimate; Male: - 65 years and over: - 9th to 12th grade, no diploma",67490,3617.36,1845.59,2.73
Durham ,HD01_VD37,2006,"Estimate; Male: - 65 years and over: - 9th to 12th grade, no diploma",1033,427.74,218.23,21.13
Forsyth ,HD01_VD37,2006,"Estimate; Male: - 65 years and over: - 9th to 12th grade, no diploma",2967,792.34,404.26,13.63
Guilford ,HD01_VD37,2006,"Estimate; Male: - 65 years and over: - 9th to 12th grade, no diploma",3463,806.64,411.55,11.88
United States,HD01_VD38,2006,Estimate; Male: - 65 years and over: - High school graduate (includes equivalency),4603518,27481.7,14021.28,0.3
North Carolina,HD01_VD38,2006,Estimate; Male: - 65 years and over: - High school graduate (includes equivalency),118254,5156.77,2631.01,2.22
Durham ,HD01_VD38,2006,Estimate; Male: - 65 years and over: - High school graduate (includes equivalency),2367,656.51,334.95,14.15
Forsyth ,HD01_VD38,2006,Estimate; Male: - 65 years and over: - High school graduate (includes equivalency),3681,919.83,469.3,12.75
Guilford ,HD01_VD38,2006,Estimate; Male: - 65 years and over: - High school graduate (includes equivalency),5059,898.38,458.36,9.06
United States,HD01_VD39,2006,"Estimate; Male: - 65 years and over: - Some college, no degree",2537139,22820.6,11643.16,0.46
North Carolina,HD01_VD39,2006,"Estimate; Male: - 65 years and over: - Some college, no degree",67061,3899.74,1989.66,2.97
Durham ,HD01_VD39,2006,"Estimate; Male: - 65 years and over: - Some college, no degree",1115,477.79,243.77,21.86
Forsyth ,HD01_VD39,2006,"Estimate; Male: - 65 years and over: - Some college, no degree",3042,867.4,442.55,14.55
Guilford ,HD01_VD39,2006,"Estimate; Male: - 65 years and over: - Some college, no degree",3486,929.36,474.16,13.6
United States,HD01_VD40,2006,Estimate; Male: - 65 years and over: - Associate's degree,545345,11184.51,5706.38,1.05
North Carolina,HD01_VD40,2006,Estimate; Male: - 65 years and over: - Associate's degree,16117,1944.51,992.1,6.16
Durham ,HD01_VD40,2006,Estimate; Male: - 65 years and over: - Associate's degree,281,229.96,117.33,41.75
Forsyth ,HD01_VD40,2006,Estimate; Male: - 65 years and over: - Associate's degree,510,328.85,167.78,32.9
Guilford ,HD01_VD40,2006,Estimate; Male: - 65 years and over: - Associate's degree,407,287.15,146.51,36
United States,HD01_VD41,2006,Estimate; Male: - 65 years and over: - Bachelor's degree,2031268,24830.64,12668.69,0.62
North Carolina,HD01_VD41,2006,Estimate; Male: - 65 years and over: - Bachelor's degree,54689,2994.21,1527.66,2.79
Durham ,HD01_VD41,2006,Estimate; Male: - 65 years and over: - Bachelor's degree,1162,415.83,212.16,18.26
Forsyth ,HD01_VD41,2006,Estimate; Male: - 65 years and over: - Bachelor's degree,2325,636.26,324.62,13.96
Guilford ,HD01_VD41,2006,Estimate; Male: - 65 years and over: - Bachelor's degree,4113,962.72,491.18,11.94
United States,HD01_VD42,2006,Estimate; Male: - 65 years and over: - Graduate or professional degree,1809145,19179.4,9785.41,0.54
North Carolina,HD01_VD42,2006,Estimate; Male: - 65 years and over: - Graduate or professional degree,44935,3081.19,1572.04,3.5
Durham ,HD01_VD42,2006,Estimate; Male: - 65 years and over: - Graduate or professional degree,1560,523.06,266.87,17.11
Forsyth ,HD01_VD42,2006,Estimate; Male: - 65 years and over: - Graduate or professional degree,2447,641.02,327.05,13.37
Guilford ,HD01_VD42,2006,Estimate; Male: - 65 years and over: - Graduate or professional degree,2900,760.17,387.84,13.37
United States,HD01_VD43,2006,Estimate; Female:,115947357,21937.7,11192.7,0.01
North Carolina,HD01_VD43,2006,Estimate; Female:,3468789,3274.21,1670.52,0.05
Durham ,HD01_VD43,2006,Estimate; Female:,97560,362.21,184.8,0.19
Forsyth ,HD01_VD43,2006,Estimate; Female:,133094,580.26,296.05,0.22
Guilford ,HD01_VD43,2006,Estimate; Female:,181605,732.77,373.86,0.21
United States,HD01_VD44,2006,Estimate; Female: - 18 to 24 years:,14374474,28127.49,14350.76,0.1
North Carolina,HD01_VD44,2006,Estimate; Female: - 18 to 24 years:,410079,5411.74,2761.09,0.67
Durham ,HD01_VD44,2006,Estimate; Female: - 18 to 24 years:,12728,327.66,167.17,1.31
Forsyth ,HD01_VD44,2006,Estimate; Female: - 18 to 24 years:,15711,193.02,98.48,0.63
Guilford ,HD01_VD44,2006,Estimate; Female: - 18 to 24 years:,25270,728,371.43,1.47
United States,HD01_VD45,2006,Estimate; Female: - 18 to 24 years: - Less than 9th grade,305868,12782.3,6521.58,2.13
North Carolina,HD01_VD45,2006,Estimate; Female: - 18 to 24 years: - Less than 9th grade,11613,2677.28,1365.96,11.76
Durham ,HD01_VD45,2006,Estimate; Female: - 18 to 24 years: - Less than 9th grade,200,209.7,106.99,53.49
Forsyth ,HD01_VD45,2006,Estimate; Female: - 18 to 24 years: - Less than 9th grade,683,533.79,272.34,39.87
Guilford ,HD01_VD45,2006,Estimate; Female: - 18 to 24 years: - Less than 9th grade,904,677.96,345.9,38.26
United States,HD01_VD46,2006,"Estimate; Female: - 18 to 24 years: - 9th to 12th grade, no diploma",1842900,25767.15,13146.51,0.71
North Carolina,HD01_VD46,2006,"Estimate; Female: - 18 to 24 years: - 9th to 12th grade, no diploma",49331,3886.64,1982.98,4.02
Durham ,HD01_VD46,2006,"Estimate; Female: - 18 to 24 years: - 9th to 12th grade, no diploma",1115,508.77,259.58,23.28
Forsyth ,HD01_VD46,2006,"Estimate; Female: - 18 to 24 years: - 9th to 12th grade, no diploma",1958,879.32,448.63,22.91
Guilford ,HD01_VD46,2006,"Estimate; Female: - 18 to 24 years: - 9th to 12th grade, no diploma",2070,924.6,471.73,22.79
United States,HD01_VD47,2006,Estimate; Female: - 18 to 24 years: - High school graduate (includes equivalency),4535950,39587.23,20197.57,0.45
North Carolina,HD01_VD47,2006,Estimate; Female: - 18 to 24 years: - High school graduate (includes equivalency),129585,5851.4,2985.41,2.3
Durham ,HD01_VD47,2006,Estimate; Female: - 18 to 24 years: - High school graduate (includes equivalency),1880,850.72,434.04,23.09
Forsyth ,HD01_VD47,2006,Estimate; Female: - 18 to 24 years: - High school graduate (includes equivalency),5427,1286.81,656.54,12.1
Guilford ,HD01_VD47,2006,Estimate; Female: - 18 to 24 years: - High school graduate (includes equivalency),7501,1454.81,742.25,9.9
