year1,county1,group1,year2,county2,group2,Yes1,No1,Rate1,Yes2,No2,Rate2,Significant,Narrative
2017-18,Forsyth,female,2015-16,Forsyth,female,1187,937,0.5588512241054614,1102,917,0.5458147597820703,FALSE,female in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to female in Forsyth 2015-16
2017-18,Forsyth,female,2014-15,Forsyth,female,1187,937,0.5588512241054614,1209,823,0.59498031496063,TRUE,female in Forsyth 2017-18 has a lower 3rd Grade Reading Score than female in Forsyth 2014-15
2017-18,Forsyth,female,2013-14,Forsyth,female,1187,937,0.5588512241054614,1179,751,0.6108808290155441,TRUE,female in Forsyth 2017-18 has a lower 3rd Grade Reading Score than female in Forsyth 2013-14
2017-18,Forsyth,female,2017-18,Forsyth,male,1187,937,0.5588512241054614,1058,1170,0.4748653500897666,TRUE,female in Forsyth 2017-18 has a higher 3rd Grade Reading Score than male in Forsyth 2017-18
2017-18,Forsyth,female,2017-18,Durham,female,1187,937,0.5588512241054614,582,694,0.4561128526645768,TRUE,female in Forsyth 2017-18 has a higher 3rd Grade Reading Score than female in Durham 2017-18
2017-18,Forsyth,female,2017-18,Guilford,female,1187,937,0.5588512241054614,1526,1243,0.5511014806789455,FALSE,female in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to female in Guilford 2017-18
2017-18,Forsyth,eds,2016-17,Forsyth,eds,802,1389,0.36604290278411683,854,1467,0.36794485135717364,FALSE,eds in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to eds in Forsyth 2016-17
2017-18,Forsyth,eds,2015-16,Forsyth,eds,802,1389,0.36604290278411683,843,1436,0.36989907854322074,FALSE,eds in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to eds in Forsyth 2015-16
2017-18,Forsyth,eds,2014-15,Forsyth,eds,802,1389,0.36604290278411683,1121,1580,0.4150314698259904,TRUE,eds in Forsyth 2017-18 has a lower 3rd Grade Reading Score than eds in Forsyth 2014-15
2017-18,Forsyth,eds,2013-14,Forsyth,eds,802,1389,0.36604290278411683,1036,1402,0.4249384741591468,TRUE,eds in Forsyth 2017-18 has a lower 3rd Grade Reading Score than eds in Forsyth 2013-14
2017-18,Forsyth,eds,2017-18,Forsyth,not_eds,802,1389,0.36604290278411683,1444,717,0.6682091624248033,TRUE,eds in Forsyth 2017-18 has a lower 3rd Grade Reading Score than not_eds in Forsyth 2017-18
2017-18,Forsyth,eds,2017-18,Durham,eds,802,1389,0.36604290278411683,450,1010,0.3082191780821918,TRUE,eds in Forsyth 2017-18 has a higher 3rd Grade Reading Score than eds in Durham 2017-18
2017-18,Forsyth,eds,2017-18,Guilford,eds,802,1389,0.36604290278411683,1109,1825,0.3779822767552829,FALSE,eds in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to eds in Guilford 2017-18
2017-18,Forsyth,not_eds,2016-17,Forsyth,not_eds,1444,717,0.6682091624248033,1453,594,0.709819247679531,TRUE,not_eds in Forsyth 2017-18 has a lower 3rd Grade Reading Score than not_eds in Forsyth 2016-17
2017-18,Forsyth,not_eds,2015-16,Forsyth,not_eds,1444,717,0.6682091624248033,1385,625,0.6890547263681592,FALSE,not_eds in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to not_eds in Forsyth 2015-16
2017-18,Forsyth,not_eds,2014-15,Forsyth,not_eds,1444,717,0.6682091624248033,1203,248,0.8290833907649897,TRUE,not_eds in Forsyth 2017-18 has a lower 3rd Grade Reading Score than not_eds in Forsyth 2014-15
2017-18,Forsyth,not_eds,2013-14,Forsyth,not_eds,1444,717,0.6682091624248033,1295,280,0.8222222222222222,TRUE,not_eds in Forsyth 2017-18 has a lower 3rd Grade Reading Score than not_eds in Forsyth 2013-14
2017-18,Forsyth,not_eds,2017-18,Forsyth,eds,1444,717,0.6682091624248033,802,1389,0.36604290278411683,TRUE,not_eds in Forsyth 2017-18 has a higher 3rd Grade Reading Score than eds in Forsyth 2017-18
2017-18,Forsyth,not_eds,2017-18,Durham,not_eds,1444,717,0.6682091624248033,668,451,0.5969615728328865,TRUE,not_eds in Forsyth 2017-18 has a higher 3rd Grade Reading Score than not_eds in Durham 2017-18
2017-18,Forsyth,not_eds,2017-18,Guilford,not_eds,1444,717,0.6682091624248033,1770,895,0.6641651031894934,FALSE,not_eds in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to not_eds in Guilford 2017-18
2017-18,Forsyth,ALL,2016-17,Forsyth,ALL,2246,2106,0.5160845588235294,2306,2062,0.5279304029304029,FALSE,ALL in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to ALL in Forsyth 2016-17
2017-18,Forsyth,ALL,2015-16,Forsyth,ALL,2246,2106,0.5160845588235294,2226,2063,0.5190020983912333,FALSE,ALL in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to ALL in Forsyth 2015-16
2017-18,Forsyth,ALL,2014-15,Forsyth,ALL,2246,2106,0.5160845588235294,2325,1827,0.559971098265896,TRUE,ALL in Forsyth 2017-18 has a lower 3rd Grade Reading Score than ALL in Forsyth 2014-15
2017-18,Forsyth,ALL,2013-14,Forsyth,ALL,2246,2106,0.5160845588235294,2328,1685,0.5801146274607526,TRUE,ALL in Forsyth 2017-18 has a lower 3rd Grade Reading Score than ALL in Forsyth 2013-14
2017-18,Forsyth,ALL,2017-18,Durham,ALL,2246,2106,0.5160845588235294,1117,1462,0.433113609926328,TRUE,ALL in Forsyth 2017-18 has a higher 3rd Grade Reading Score than ALL in Durham 2017-18
2017-18,Forsyth,ALL,2017-18,Guilford,ALL,2246,2106,0.5160845588235294,2878,2721,0.5140203607787105,FALSE,ALL in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to ALL in Guilford 2017-18
2016-17,Forsyth,black,2017-18,Forsyth,black,494,798,0.38235294117647056,463,772,0.3748987854251012,FALSE,black in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to black in Forsyth 2017-18
2016-17,Forsyth,black,2015-16,Forsyth,black,494,798,0.38235294117647056,460,759,0.37735849056603776,FALSE,black in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to black in Forsyth 2015-16
2016-17,Forsyth,black,2014-15,Forsyth,black,494,798,0.38235294117647056,508,658,0.43567753001715265,TRUE,black in Forsyth 2016-17 has a lower 3rd Grade Reading Score than black in Forsyth 2014-15
2016-17,Forsyth,black,2013-14,Forsyth,black,494,798,0.38235294117647056,495,646,0.43382997370727433,TRUE,black in Forsyth 2016-17 has a lower 3rd Grade Reading Score than black in Forsyth 2013-14
2016-17,Forsyth,black,2016-17,Forsyth,white,494,798,0.38235294117647056,1252,384,0.7652811735941321,TRUE,black in Forsyth 2016-17 has a lower 3rd Grade Reading Score than white in Forsyth 2016-17
2016-17,Forsyth,black,2016-17,Forsyth,hispanic,494,798,0.38235294117647056,380,780,0.3275862068965517,TRUE,black in Forsyth 2016-17 has a higher 3rd Grade Reading Score than hispanic in Forsyth 2016-17
2016-17,Forsyth,black,2016-17,Durham,black,494,798,0.38235294117647056,433,753,0.3650927487352445,FALSE,black in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to black in Durham 2016-17
2016-17,Forsyth,black,2016-17,Guilford,black,494,798,0.38235294117647056,947,1386,0.40591513073296187,FALSE,black in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to black in Guilford 2016-17
2016-17,Forsyth,white,2017-18,Forsyth,white,1252,384,0.7652811735941321,1179,418,0.7382592360676268,FALSE,white in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to white in Forsyth 2017-18
2016-17,Forsyth,white,2015-16,Forsyth,white,1252,384,0.7652811735941321,1169,355,0.7670603674540682,FALSE,white in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to white in Forsyth 2015-16
2016-17,Forsyth,white,2014-15,Forsyth,white,1252,384,0.7652811735941321,1218,353,0.7753023551877785,FALSE,white in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to white in Forsyth 2014-15
2016-17,Forsyth,white,2013-14,Forsyth,white,1252,384,0.7652811735941321,1279,352,0.7841814837522992,FALSE,white in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to white in Forsyth 2013-14
2016-17,Forsyth,white,2016-17,Forsyth,black,1252,384,0.7652811735941321,494,798,0.38235294117647056,TRUE,white in Forsyth 2016-17 has a higher 3rd Grade Reading Score than black in Forsyth 2016-17
2016-17,Forsyth,white,2016-17,Forsyth,hispanic,1252,384,0.7652811735941321,380,780,0.3275862068965517,TRUE,white in Forsyth 2016-17 has a higher 3rd Grade Reading Score than hispanic in Forsyth 2016-17
2016-17,Forsyth,white,2016-17,Durham,white,1252,384,0.7652811735941321,386,94,0.8041666666666667,FALSE,white in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to white in Durham 2016-17
2016-17,Forsyth,white,2016-17,Guilford,white,1252,384,0.7652811735941321,1241,425,0.7448979591836735,FALSE,white in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to white in Guilford 2016-17
2016-17,Forsyth,hispanic,2017-18,Forsyth,hispanic,380,780,0.3275862068965517,409,798,0.3388566694283347,FALSE,hispanic in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to hispanic in Forsyth 2017-18
2016-17,Forsyth,hispanic,2015-16,Forsyth,hispanic,380,780,0.3275862068965517,400,845,0.321285140562249,FALSE,hispanic in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to hispanic in Forsyth 2015-16
2016-17,Forsyth,hispanic,2014-15,Forsyth,hispanic,380,780,0.3275862068965517,400,733,0.353045013239188,FALSE,hispanic in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to hispanic in Forsyth 2014-15
2016-17,Forsyth,hispanic,2013-14,Forsyth,hispanic,380,780,0.3275862068965517,373,619,0.37600806451612906,TRUE,hispanic in Forsyth 2016-17 has a lower 3rd Grade Reading Score than hispanic in Forsyth 2013-14
2016-17,Forsyth,hispanic,2016-17,Forsyth,black,380,780,0.3275862068965517,494,798,0.38235294117647056,TRUE,hispanic in Forsyth 2016-17 has a lower 3rd Grade Reading Score than black in Forsyth 2016-17
2016-17,Forsyth,hispanic,2016-17,Forsyth,white,380,780,0.3275862068965517,1252,384,0.7652811735941321,TRUE,hispanic in Forsyth 2016-17 has a lower 3rd Grade Reading Score than white in Forsyth 2016-17
2016-17,Forsyth,hispanic,2016-17,Durham,hispanic,380,780,0.3275862068965517,299,587,0.33747178329571104,FALSE,hispanic in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to hispanic in Durham 2016-17
2016-17,Forsyth,hispanic,2016-17,Guilford,hispanic,380,780,0.3275862068965517,416,560,0.4262295081967213,TRUE,hispanic in Forsyth 2016-17 has a lower 3rd Grade Reading Score than hispanic in Guilford 2016-17
2016-17,Forsyth,male,2017-18,Forsyth,male,1095,1139,0.4901521933751119,1058,1170,0.4748653500897666,FALSE,male in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to male in Forsyth 2017-18
2016-17,Forsyth,male,2015-16,Forsyth,male,1095,1139,0.4901521933751119,1124,1146,0.4951541850220264,FALSE,male in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to male in Forsyth 2015-16
2016-17,Forsyth,male,2014-15,Forsyth,male,1095,1139,0.4901521933751119,1115,1005,0.5259433962264151,TRUE,male in Forsyth 2016-17 has a lower 3rd Grade Reading Score than male in Forsyth 2014-15
2016-17,Forsyth,male,2013-14,Forsyth,male,1095,1139,0.4901521933751119,1150,933,0.5520883341334614,TRUE,male in Forsyth 2016-17 has a lower 3rd Grade Reading Score than male in Forsyth 2013-14
2016-17,Forsyth,male,2016-17,Forsyth,female,1095,1139,0.4901521933751119,1212,922,0.5679475164011246,TRUE,male in Forsyth 2016-17 has a lower 3rd Grade Reading Score than female in Forsyth 2016-17
2016-17,Forsyth,male,2016-17,Durham,male,1095,1139,0.4901521933751119,575,831,0.4089615931721195,TRUE,male in Forsyth 2016-17 has a higher 3rd Grade Reading Score than male in Durham 2016-17
2016-17,Forsyth,male,2016-17,Guilford,male,1095,1139,0.4901521933751119,1442,1424,0.5031402651779484,FALSE,male in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to male in Guilford 2016-17
2016-17,Forsyth,female,2017-18,Forsyth,female,1212,922,0.5679475164011246,1187,937,0.5588512241054614,FALSE,female in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to female in Forsyth 2017-18
2016-17,Forsyth,female,2015-16,Forsyth,female,1212,922,0.5679475164011246,1102,917,0.5458147597820703,FALSE,female in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to female in Forsyth 2015-16
2016-17,Forsyth,female,2014-15,Forsyth,female,1212,922,0.5679475164011246,1209,823,0.59498031496063,FALSE,female in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to female in Forsyth 2014-15
2016-17,Forsyth,female,2013-14,Forsyth,female,1212,922,0.5679475164011246,1179,751,0.6108808290155441,TRUE,female in Forsyth 2016-17 has a lower 3rd Grade Reading Score than female in Forsyth 2013-14
2016-17,Forsyth,female,2016-17,Forsyth,male,1212,922,0.5679475164011246,1095,1139,0.4901521933751119,TRUE,female in Forsyth 2016-17 has a higher 3rd Grade Reading Score than male in Forsyth 2016-17
2016-17,Forsyth,female,2016-17,Durham,female,1212,922,0.5679475164011246,627,665,0.4852941176470588,TRUE,female in Forsyth 2016-17 has a higher 3rd Grade Reading Score than female in Durham 2016-17
2016-17,Forsyth,female,2016-17,Guilford,female,1212,922,0.5679475164011246,1550,1189,0.5658999634903249,FALSE,female in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to female in Guilford 2016-17
2016-17,Forsyth,eds,2017-18,Forsyth,eds,854,1467,0.36794485135717364,802,1389,0.36604290278411683,FALSE,eds in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to eds in Forsyth 2017-18
2016-17,Forsyth,eds,2015-16,Forsyth,eds,854,1467,0.36794485135717364,843,1436,0.36989907854322074,FALSE,eds in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to eds in Forsyth 2015-16
2016-17,Forsyth,eds,2014-15,Forsyth,eds,854,1467,0.36794485135717364,1121,1580,0.4150314698259904,TRUE,eds in Forsyth 2016-17 has a lower 3rd Grade Reading Score than eds in Forsyth 2014-15
2016-17,Forsyth,eds,2013-14,Forsyth,eds,854,1467,0.36794485135717364,1036,1402,0.4249384741591468,TRUE,eds in Forsyth 2016-17 has a lower 3rd Grade Reading Score than eds in Forsyth 2013-14
2016-17,Forsyth,eds,2016-17,Forsyth,not_eds,854,1467,0.36794485135717364,1453,594,0.709819247679531,TRUE,eds in Forsyth 2016-17 has a lower 3rd Grade Reading Score than not_eds in Forsyth 2016-17
2016-17,Forsyth,eds,2016-17,Durham,eds,854,1467,0.36794485135717364,573,1159,0.33083140877598155,TRUE,eds in Forsyth 2016-17 has a higher 3rd Grade Reading Score than eds in Durham 2016-17
2016-17,Forsyth,eds,2016-17,Guilford,eds,854,1467,0.36794485135717364,1207,1803,0.4009966777408638,TRUE,eds in Forsyth 2016-17 has a lower 3rd Grade Reading Score than eds in Guilford 2016-17
2016-17,Forsyth,not_eds,2017-18,Forsyth,not_eds,1453,594,0.709819247679531,1444,717,0.6682091624248033,TRUE,not_eds in Forsyth 2016-17 has a higher 3rd Grade Reading Score than not_eds in Forsyth 2017-18
2016-17,Forsyth,not_eds,2015-16,Forsyth,not_eds,1453,594,0.709819247679531,1385,625,0.6890547263681592,FALSE,not_eds in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to not_eds in Forsyth 2015-16
2016-17,Forsyth,not_eds,2014-15,Forsyth,not_eds,1453,594,0.709819247679531,1203,248,0.8290833907649897,TRUE,not_eds in Forsyth 2016-17 has a lower 3rd Grade Reading Score than not_eds in Forsyth 2014-15
2016-17,Forsyth,not_eds,2013-14,Forsyth,not_eds,1453,594,0.709819247679531,1295,280,0.8222222222222222,TRUE,not_eds in Forsyth 2016-17 has a lower 3rd Grade Reading Score than not_eds in Forsyth 2013-14
2016-17,Forsyth,not_eds,2016-17,Forsyth,eds,1453,594,0.709819247679531,854,1467,0.36794485135717364,TRUE,not_eds in Forsyth 2016-17 has a higher 3rd Grade Reading Score than eds in Forsyth 2016-17
2016-17,Forsyth,not_eds,2016-17,Durham,not_eds,1453,594,0.709819247679531,628,338,0.650103519668737,TRUE,not_eds in Forsyth 2016-17 has a higher 3rd Grade Reading Score than not_eds in Durham 2016-17
2016-17,Forsyth,not_eds,2016-17,Guilford,not_eds,1453,594,0.709819247679531,1785,810,0.6878612716763006,FALSE,not_eds in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to not_eds in Guilford 2016-17
2016-17,Forsyth,ALL,2017-18,Forsyth,ALL,2306,2062,0.5279304029304029,2246,2106,0.5160845588235294,FALSE,ALL in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to ALL in Forsyth 2017-18
2016-17,Forsyth,ALL,2015-16,Forsyth,ALL,2306,2062,0.5279304029304029,2226,2063,0.5190020983912333,FALSE,ALL in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to ALL in Forsyth 2015-16
2016-17,Forsyth,ALL,2014-15,Forsyth,ALL,2306,2062,0.5279304029304029,2325,1827,0.559971098265896,TRUE,ALL in Forsyth 2016-17 has a lower 3rd Grade Reading Score than ALL in Forsyth 2014-15
2016-17,Forsyth,ALL,2013-14,Forsyth,ALL,2306,2062,0.5279304029304029,2328,1685,0.5801146274607526,TRUE,ALL in Forsyth 2016-17 has a lower 3rd Grade Reading Score than ALL in Forsyth 2013-14
2016-17,Forsyth,ALL,2016-17,Durham,ALL,2306,2062,0.5279304029304029,1203,1495,0.4458858413639733,TRUE,ALL in Forsyth 2016-17 has a higher 3rd Grade Reading Score than ALL in Durham 2016-17
2016-17,Forsyth,ALL,2016-17,Guilford,ALL,2306,2062,0.5279304029304029,2993,2612,0.5339875111507583,FALSE,ALL in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to ALL in Guilford 2016-17
2015-16,Forsyth,black,2017-18,Forsyth,black,460,759,0.37735849056603776,463,772,0.3748987854251012,FALSE,black in Forsyth 2015-16 has a similar 3rd Grade Reading Score compared to black in Forsyth 2017-18
2015-16,Forsyth,black,2016-17,Forsyth,black,460,759,0.37735849056603776,494,798,0.38235294117647056,FALSE,black in Forsyth 2015-16 has a similar 3rd Grade Reading Score compared to black in Forsyth 2016-17
2015-16,Forsyth,black,2014-15,Forsyth,black,460,759,0.37735849056603776,508,658,0.43567753001715265,TRUE,black in Forsyth 2015-16 has a lower 3rd Grade Reading Score than black in Forsyth 2014-15
2015-16,Forsyth,black,2013-14,Forsyth,black,460,759,0.37735849056603776,495,646,0.43382997370727433,TRUE,black in Forsyth 2015-16 has a lower 3rd Grade Reading Score than black in Forsyth 2013-14
2015-16,Forsyth,black,2015-16,Forsyth,white,460,759,0.37735849056603776,1169,355,0.7670603674540682,TRUE,black in Forsyth 2015-16 has a lower 3rd Grade Reading Score than white in Forsyth 2015-16
2015-16,Forsyth,black,2015-16,Forsyth,hispanic,460,759,0.37735849056603776,400,845,0.321285140562249,TRUE,black in Forsyth 2015-16 has a higher 3rd Grade Reading Score than hispanic in Forsyth 2015-16
2015-16,Forsyth,black,2015-16,Durham,black,460,759,0.37735849056603776,431,719,0.37478260869565216,FALSE,black in Forsyth 2015-16 has a similar 3rd Grade Reading Score compared to black in Durham 2015-16
2015-16,Forsyth,black,2015-16,Guilford,black,460,759,0.37735849056603776,936,1309,0.41692650334075726,TRUE,black in Forsyth 2015-16 has a lower 3rd Grade Reading Score than black in Guilford 2015-16
2015-16,Forsyth,white,2017-18,Forsyth,white,1169,355,0.7670603674540682,1179,418,0.7382592360676268,FALSE,white in Forsyth 2015-16 has a similar 3rd Grade Reading Score compared to white in Forsyth 2017-18
2015-16,Forsyth,white,2016-17,Forsyth,white,1169,355,0.7670603674540682,1252,384,0.7652811735941321,FALSE,white in Forsyth 2015-16 has a similar 3rd Grade Reading Score compared to white in Forsyth 2016-17
2015-16,Forsyth,white,2014-15,Forsyth,white,1169,355,0.7670603674540682,1218,353,0.7753023551877785,FALSE,white in Forsyth 2015-16 has a similar 3rd Grade Reading Score compared to white in Forsyth 2014-15
2015-16,Forsyth,white,2013-14,Forsyth,white,1169,355,0.7670603674540682,1279,352,0.7841814837522992,FALSE,white in Forsyth 2015-16 has a similar 3rd Grade Reading Score compared to white in Forsyth 2013-14
2015-16,Forsyth,white,2015-16,Forsyth,black,1169,355,0.7670603674540682,460,759,0.37735849056603776,TRUE,white in Forsyth 2015-16 has a higher 3rd Grade Reading Score than black in Forsyth 2015-16
2015-16,Forsyth,white,2015-16,Forsyth,hispanic,1169,355,0.7670603674540682,400,845,0.321285140562249,TRUE,white in Forsyth 2015-16 has a higher 3rd Grade Reading Score than hispanic in Forsyth 2015-16
2015-16,Forsyth,white,2015-16,Durham,white,1169,355,0.7670603674540682,384,95,0.8016701461377871,FALSE,white in Forsyth 2015-16 has a similar 3rd Grade Reading Score compared to white in Durham 2015-16
