,year1,county1,group1,year2,county2,group2,Yes1,No1,Rate1,Yes2,No2,Rate2,Significant,Narrative
20,2017-18,Forsyth,hispanic,2013-14,Forsyth,hispanic,409,798,0.338856669,373,619,0.376008065,FALSE,hispanic in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to hispanic in Forsyth 2013-14
21,2017-18,Forsyth,hispanic,2017-18,Forsyth,black,409,798,0.338856669,463,772,0.374898785,FALSE,hispanic in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to black in Forsyth 2017-18
22,2017-18,Forsyth,hispanic,2017-18,Forsyth,white,409,798,0.338856669,1179,418,0.738259236,TRUE,hispanic in Forsyth 2017-18 has a lower 3rd Grade Reading Score than white in Forsyth 2017-18
23,2017-18,Forsyth,hispanic,2017-18,Durham,hispanic,409,798,0.338856669,275,580,0.321637427,FALSE,hispanic in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to hispanic in Durham 2017-18
24,2017-18,Forsyth,hispanic,2017-18,Guilford,hispanic,409,798,0.338856669,367,596,0.381100727,TRUE,hispanic in Forsyth 2017-18 has a lower 3rd Grade Reading Score than hispanic in Guilford 2017-18
25,2017-18,Forsyth,male,2016-17,Forsyth,male,1058,1170,0.47486535,1095,1139,0.490152193,FALSE,male in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to male in Forsyth 2016-17
26,2017-18,Forsyth,male,2015-16,Forsyth,male,1058,1170,0.47486535,1124,1146,0.495154185,FALSE,male in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to male in Forsyth 2015-16
27,2017-18,Forsyth,male,2014-15,Forsyth,male,1058,1170,0.47486535,1115,1005,0.525943396,TRUE,male in Forsyth 2017-18 has a lower 3rd Grade Reading Score than male in Forsyth 2014-15
28,2017-18,Forsyth,male,2013-14,Forsyth,male,1058,1170,0.47486535,1150,933,0.552088334,TRUE,male in Forsyth 2017-18 has a lower 3rd Grade Reading Score than male in Forsyth 2013-14
29,2017-18,Forsyth,male,2017-18,Forsyth,female,1058,1170,0.47486535,1187,937,0.558851224,TRUE,male in Forsyth 2017-18 has a lower 3rd Grade Reading Score than female in Forsyth 2017-18
30,2017-18,Forsyth,male,2017-18,Durham,male,1058,1170,0.47486535,536,767,0.411358404,TRUE,male in Forsyth 2017-18 has a higher 3rd Grade Reading Score than male in Durham 2017-18
31,2017-18,Forsyth,male,2017-18,Guilford,male,1058,1170,0.47486535,1353,1477,0.478091873,FALSE,male in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to male in Guilford 2017-18
32,2017-18,Forsyth,female,2016-17,Forsyth,female,1187,937,0.558851224,1212,922,0.567947516,FALSE,female in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to female in Forsyth 2016-17
33,2017-18,Forsyth,female,2015-16,Forsyth,female,1187,937,0.558851224,1102,917,0.54581476,FALSE,female in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to female in Forsyth 2015-16
34,2017-18,Forsyth,female,2014-15,Forsyth,female,1187,937,0.558851224,1209,823,0.594980315,TRUE,female in Forsyth 2017-18 has a lower 3rd Grade Reading Score than female in Forsyth 2014-15
35,2017-18,Forsyth,female,2013-14,Forsyth,female,1187,937,0.558851224,1179,751,0.610880829,TRUE,female in Forsyth 2017-18 has a lower 3rd Grade Reading Score than female in Forsyth 2013-14
36,2017-18,Forsyth,female,2017-18,Forsyth,male,1187,937,0.558851224,1058,1170,0.47486535,TRUE,female in Forsyth 2017-18 has a higher 3rd Grade Reading Score than male in Forsyth 2017-18
37,2017-18,Forsyth,female,2017-18,Durham,female,1187,937,0.558851224,582,694,0.456112853,TRUE,female in Forsyth 2017-18 has a higher 3rd Grade Reading Score than female in Durham 2017-18
38,2017-18,Forsyth,female,2017-18,Guilford,female,1187,937,0.558851224,1526,1243,0.551101481,FALSE,female in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to female in Guilford 2017-18
39,2017-18,Forsyth,eds,2016-17,Forsyth,eds,802,1389,0.366042903,854,1467,0.367944851,FALSE,eds in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to eds in Forsyth 2016-17
40,2017-18,Forsyth,eds,2015-16,Forsyth,eds,802,1389,0.366042903,843,1436,0.369899079,FALSE,eds in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to eds in Forsyth 2015-16
41,2017-18,Forsyth,eds,2014-15,Forsyth,eds,802,1389,0.366042903,1121,1580,0.41503147,TRUE,eds in Forsyth 2017-18 has a lower 3rd Grade Reading Score than eds in Forsyth 2014-15
42,2017-18,Forsyth,eds,2013-14,Forsyth,eds,802,1389,0.366042903,1036,1402,0.424938474,TRUE,eds in Forsyth 2017-18 has a lower 3rd Grade Reading Score than eds in Forsyth 2013-14
43,2017-18,Forsyth,eds,2017-18,Forsyth,not_eds,802,1389,0.366042903,1444,717,0.668209162,TRUE,eds in Forsyth 2017-18 has a lower 3rd Grade Reading Score than not_eds in Forsyth 2017-18
44,2017-18,Forsyth,eds,2017-18,Durham,eds,802,1389,0.366042903,450,1010,0.308219178,TRUE,eds in Forsyth 2017-18 has a higher 3rd Grade Reading Score than eds in Durham 2017-18
45,2017-18,Forsyth,eds,2017-18,Guilford,eds,802,1389,0.366042903,1109,1825,0.377982277,FALSE,eds in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to eds in Guilford 2017-18
46,2017-18,Forsyth,not_eds,2016-17,Forsyth,not_eds,1444,717,0.668209162,1453,594,0.709819248,TRUE,not_eds in Forsyth 2017-18 has a lower 3rd Grade Reading Score than not_eds in Forsyth 2016-17
47,2017-18,Forsyth,not_eds,2015-16,Forsyth,not_eds,1444,717,0.668209162,1385,625,0.689054726,FALSE,not_eds in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to not_eds in Forsyth 2015-16
48,2017-18,Forsyth,not_eds,2014-15,Forsyth,not_eds,1444,717,0.668209162,1203,248,0.829083391,TRUE,not_eds in Forsyth 2017-18 has a lower 3rd Grade Reading Score than not_eds in Forsyth 2014-15
49,2017-18,Forsyth,not_eds,2013-14,Forsyth,not_eds,1444,717,0.668209162,1295,280,0.822222222,TRUE,not_eds in Forsyth 2017-18 has a lower 3rd Grade Reading Score than not_eds in Forsyth 2013-14
50,2017-18,Forsyth,not_eds,2017-18,Forsyth,eds,1444,717,0.668209162,802,1389,0.366042903,TRUE,not_eds in Forsyth 2017-18 has a higher 3rd Grade Reading Score than eds in Forsyth 2017-18
51,2017-18,Forsyth,not_eds,2017-18,Durham,not_eds,1444,717,0.668209162,668,451,0.596961573,TRUE,not_eds in Forsyth 2017-18 has a higher 3rd Grade Reading Score than not_eds in Durham 2017-18
52,2017-18,Forsyth,not_eds,2017-18,Guilford,not_eds,1444,717,0.668209162,1770,895,0.664165103,FALSE,not_eds in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to not_eds in Guilford 2017-18
53,2017-18,Forsyth,ALL,2016-17,Forsyth,ALL,2246,2106,0.516084559,2306,2062,0.527930403,FALSE,ALL in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to ALL in Forsyth 2016-17
54,2017-18,Forsyth,ALL,2015-16,Forsyth,ALL,2246,2106,0.516084559,2226,2063,0.519002098,FALSE,ALL in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to ALL in Forsyth 2015-16
55,2017-18,Forsyth,ALL,2014-15,Forsyth,ALL,2246,2106,0.516084559,2325,1827,0.559971098,TRUE,ALL in Forsyth 2017-18 has a lower 3rd Grade Reading Score than ALL in Forsyth 2014-15
56,2017-18,Forsyth,ALL,2013-14,Forsyth,ALL,2246,2106,0.516084559,2328,1685,0.580114627,TRUE,ALL in Forsyth 2017-18 has a lower 3rd Grade Reading Score than ALL in Forsyth 2013-14
57,2017-18,Forsyth,ALL,2017-18,Durham,ALL,2246,2106,0.516084559,1117,1462,0.43311361,TRUE,ALL in Forsyth 2017-18 has a higher 3rd Grade Reading Score than ALL in Durham 2017-18
58,2017-18,Forsyth,ALL,2017-18,Guilford,ALL,2246,2106,0.516084559,2878,2721,0.514020361,FALSE,ALL in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to ALL in Guilford 2017-18
59,2016-17,Forsyth,black,2017-18,Forsyth,black,494,798,0.382352941,463,772,0.374898785,FALSE,black in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to black in Forsyth 2017-18
60,2016-17,Forsyth,black,2015-16,Forsyth,black,494,798,0.382352941,460,759,0.377358491,FALSE,black in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to black in Forsyth 2015-16
61,2016-17,Forsyth,black,2014-15,Forsyth,black,494,798,0.382352941,508,658,0.43567753,TRUE,black in Forsyth 2016-17 has a lower 3rd Grade Reading Score than black in Forsyth 2014-15
62,2016-17,Forsyth,black,2013-14,Forsyth,black,494,798,0.382352941,495,646,0.433829974,TRUE,black in Forsyth 2016-17 has a lower 3rd Grade Reading Score than black in Forsyth 2013-14
63,2016-17,Forsyth,black,2016-17,Forsyth,white,494,798,0.382352941,1252,384,0.765281174,TRUE,black in Forsyth 2016-17 has a lower 3rd Grade Reading Score than white in Forsyth 2016-17
64,2016-17,Forsyth,black,2016-17,Forsyth,hispanic,494,798,0.382352941,380,780,0.327586207,TRUE,black in Forsyth 2016-17 has a higher 3rd Grade Reading Score than hispanic in Forsyth 2016-17
65,2016-17,Forsyth,black,2016-17,Durham,black,494,798,0.382352941,433,753,0.365092749,FALSE,black in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to black in Durham 2016-17
66,2016-17,Forsyth,black,2016-17,Guilford,black,494,798,0.382352941,947,1386,0.405915131,FALSE,black in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to black in Guilford 2016-17
67,2016-17,Forsyth,white,2017-18,Forsyth,white,1252,384,0.765281174,1179,418,0.738259236,FALSE,white in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to white in Forsyth 2017-18
68,2016-17,Forsyth,white,2015-16,Forsyth,white,1252,384,0.765281174,1169,355,0.767060367,FALSE,white in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to white in Forsyth 2015-16
69,2016-17,Forsyth,white,2014-15,Forsyth,white,1252,384,0.765281174,1218,353,0.775302355,FALSE,white in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to white in Forsyth 2014-15
70,2016-17,Forsyth,white,2013-14,Forsyth,white,1252,384,0.765281174,1279,352,0.784181484,FALSE,white in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to white in Forsyth 2013-14
71,2016-17,Forsyth,white,2016-17,Forsyth,black,1252,384,0.765281174,494,798,0.382352941,TRUE,white in Forsyth 2016-17 has a higher 3rd Grade Reading Score than black in Forsyth 2016-17
72,2016-17,Forsyth,white,2016-17,Forsyth,hispanic,1252,384,0.765281174,380,780,0.327586207,TRUE,white in Forsyth 2016-17 has a higher 3rd Grade Reading Score than hispanic in Forsyth 2016-17
73,2016-17,Forsyth,white,2016-17,Durham,white,1252,384,0.765281174,386,94,0.804166667,FALSE,white in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to white in Durham 2016-17
74,2016-17,Forsyth,white,2016-17,Guilford,white,1252,384,0.765281174,1241,425,0.744897959,FALSE,white in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to white in Guilford 2016-17
75,2016-17,Forsyth,hispanic,2017-18,Forsyth,hispanic,380,780,0.327586207,409,798,0.338856669,FALSE,hispanic in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to hispanic in Forsyth 2017-18
76,2016-17,Forsyth,hispanic,2015-16,Forsyth,hispanic,380,780,0.327586207,400,845,0.321285141,FALSE,hispanic in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to hispanic in Forsyth 2015-16
77,2016-17,Forsyth,hispanic,2014-15,Forsyth,hispanic,380,780,0.327586207,400,733,0.353045013,FALSE,hispanic in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to hispanic in Forsyth 2014-15
78,2016-17,Forsyth,hispanic,2013-14,Forsyth,hispanic,380,780,0.327586207,373,619,0.376008065,TRUE,hispanic in Forsyth 2016-17 has a lower 3rd Grade Reading Score than hispanic in Forsyth 2013-14
79,2016-17,Forsyth,hispanic,2016-17,Forsyth,black,380,780,0.327586207,494,798,0.382352941,TRUE,hispanic in Forsyth 2016-17 has a lower 3rd Grade Reading Score than black in Forsyth 2016-17
80,2016-17,Forsyth,hispanic,2016-17,Forsyth,white,380,780,0.327586207,1252,384,0.765281174,TRUE,hispanic in Forsyth 2016-17 has a lower 3rd Grade Reading Score than white in Forsyth 2016-17
81,2016-17,Forsyth,hispanic,2016-17,Durham,hispanic,380,780,0.327586207,299,587,0.337471783,FALSE,hispanic in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to hispanic in Durham 2016-17
82,2016-17,Forsyth,hispanic,2016-17,Guilford,hispanic,380,780,0.327586207,416,560,0.426229508,TRUE,hispanic in Forsyth 2016-17 has a lower 3rd Grade Reading Score than hispanic in Guilford 2016-17
83,2016-17,Forsyth,male,2017-18,Forsyth,male,1095,1139,0.490152193,1058,1170,0.47486535,FALSE,male in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to male in Forsyth 2017-18
84,2016-17,Forsyth,male,2015-16,Forsyth,male,1095,1139,0.490152193,1124,1146,0.495154185,FALSE,male in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to male in Forsyth 2015-16
85,2016-17,Forsyth,male,2014-15,Forsyth,male,1095,1139,0.490152193,1115,1005,0.525943396,TRUE,male in Forsyth 2016-17 has a lower 3rd Grade Reading Score than male in Forsyth 2014-15
86,2016-17,Forsyth,male,2013-14,Forsyth,male,1095,1139,0.490152193,1150,933,0.552088334,TRUE,male in Forsyth 2016-17 has a lower 3rd Grade Reading Score than male in Forsyth 2013-14
87,2016-17,Forsyth,male,2016-17,Forsyth,female,1095,1139,0.490152193,1212,922,0.567947516,TRUE,male in Forsyth 2016-17 has a lower 3rd Grade Reading Score than female in Forsyth 2016-17
88,2016-17,Forsyth,male,2016-17,Durham,male,1095,1139,0.490152193,575,831,0.408961593,TRUE,male in Forsyth 2016-17 has a higher 3rd Grade Reading Score than male in Durham 2016-17
89,2016-17,Forsyth,male,2016-17,Guilford,male,1095,1139,0.490152193,1442,1424,0.503140265,FALSE,male in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to male in Guilford 2016-17
90,2016-17,Forsyth,female,2017-18,Forsyth,female,1212,922,0.567947516,1187,937,0.558851224,FALSE,female in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to female in Forsyth 2017-18
91,2016-17,Forsyth,female,2015-16,Forsyth,female,1212,922,0.567947516,1102,917,0.54581476,FALSE,female in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to female in Forsyth 2015-16
92,2016-17,Forsyth,female,2014-15,Forsyth,female,1212,922,0.567947516,1209,823,0.594980315,FALSE,female in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to female in Forsyth 2014-15
93,2016-17,Forsyth,female,2013-14,Forsyth,female,1212,922,0.567947516,1179,751,0.610880829,TRUE,female in Forsyth 2016-17 has a lower 3rd Grade Reading Score than female in Forsyth 2013-14
94,2016-17,Forsyth,female,2016-17,Forsyth,male,1212,922,0.567947516,1095,1139,0.490152193,TRUE,female in Forsyth 2016-17 has a higher 3rd Grade Reading Score than male in Forsyth 2016-17
95,2016-17,Forsyth,female,2016-17,Durham,female,1212,922,0.567947516,627,665,0.485294118,TRUE,female in Forsyth 2016-17 has a higher 3rd Grade Reading Score than female in Durham 2016-17
96,2016-17,Forsyth,female,2016-17,Guilford,female,1212,922,0.567947516,1550,1189,0.565899963,FALSE,female in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to female in Guilford 2016-17
97,2016-17,Forsyth,eds,2017-18,Forsyth,eds,854,1467,0.367944851,802,1389,0.366042903,FALSE,eds in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to eds in Forsyth 2017-18
98,2016-17,Forsyth,eds,2015-16,Forsyth,eds,854,1467,0.367944851,843,1436,0.369899079,FALSE,eds in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to eds in Forsyth 2015-16
99,2016-17,Forsyth,eds,2014-15,Forsyth,eds,854,1467,0.367944851,1121,1580,0.41503147,TRUE,eds in Forsyth 2016-17 has a lower 3rd Grade Reading Score than eds in Forsyth 2014-15
100,2016-17,Forsyth,eds,2013-14,Forsyth,eds,854,1467,0.367944851,1036,1402,0.424938474,TRUE,eds in Forsyth 2016-17 has a lower 3rd Grade Reading Score than eds in Forsyth 2013-14
101,2016-17,Forsyth,eds,2016-17,Forsyth,not_eds,854,1467,0.367944851,1453,594,0.709819248,TRUE,eds in Forsyth 2016-17 has a lower 3rd Grade Reading Score than not_eds in Forsyth 2016-17
102,2016-17,Forsyth,eds,2016-17,Durham,eds,854,1467,0.367944851,573,1159,0.330831409,TRUE,eds in Forsyth 2016-17 has a higher 3rd Grade Reading Score than eds in Durham 2016-17
103,2016-17,Forsyth,eds,2016-17,Guilford,eds,854,1467,0.367944851,1207,1803,0.400996678,TRUE,eds in Forsyth 2016-17 has a lower 3rd Grade Reading Score than eds in Guilford 2016-17
104,2016-17,Forsyth,not_eds,2017-18,Forsyth,not_eds,1453,594,0.709819248,1444,717,0.668209162,TRUE,not_eds in Forsyth 2016-17 has a higher 3rd Grade Reading Score than not_eds in Forsyth 2017-18
105,2016-17,Forsyth,not_eds,2015-16,Forsyth,not_eds,1453,594,0.709819248,1385,625,0.689054726,FALSE,not_eds in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to not_eds in Forsyth 2015-16
106,2016-17,Forsyth,not_eds,2014-15,Forsyth,not_eds,1453,594,0.709819248,1203,248,0.829083391,TRUE,not_eds in Forsyth 2016-17 has a lower 3rd Grade Reading Score than not_eds in Forsyth 2014-15
107,2016-17,Forsyth,not_eds,2013-14,Forsyth,not_eds,1453,594,0.709819248,1295,280,0.822222222,TRUE,not_eds in Forsyth 2016-17 has a lower 3rd Grade Reading Score than not_eds in Forsyth 2013-14
108,2016-17,Forsyth,not_eds,2016-17,Forsyth,eds,1453,594,0.709819248,854,1467,0.367944851,TRUE,not_eds in Forsyth 2016-17 has a higher 3rd Grade Reading Score than eds in Forsyth 2016-17
109,2016-17,Forsyth,not_eds,2016-17,Durham,not_eds,1453,594,0.709819248,628,338,0.65010352,TRUE,not_eds in Forsyth 2016-17 has a higher 3rd Grade Reading Score than not_eds in Durham 2016-17
110,2016-17,Forsyth,not_eds,2016-17,Guilford,not_eds,1453,594,0.709819248,1785,810,0.687861272,FALSE,not_eds in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to not_eds in Guilford 2016-17
111,2016-17,Forsyth,ALL,2017-18,Forsyth,ALL,2306,2062,0.527930403,2246,2106,0.516084559,FALSE,ALL in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to ALL in Forsyth 2017-18
112,2016-17,Forsyth,ALL,2015-16,Forsyth,ALL,2306,2062,0.527930403,2226,2063,0.519002098,FALSE,ALL in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to ALL in Forsyth 2015-16
113,2016-17,Forsyth,ALL,2014-15,Forsyth,ALL,2306,2062,0.527930403,2325,1827,0.559971098,TRUE,ALL in Forsyth 2016-17 has a lower 3rd Grade Reading Score than ALL in Forsyth 2014-15
114,2016-17,Forsyth,ALL,2013-14,Forsyth,ALL,2306,2062,0.527930403,2328,1685,0.580114627,TRUE,ALL in Forsyth 2016-17 has a lower 3rd Grade Reading Score than ALL in Forsyth 2013-14
115,2016-17,Forsyth,ALL,2016-17,Durham,ALL,2306,2062,0.527930403,1203,1495,0.445885841,TRUE,ALL in Forsyth 2016-17 has a higher 3rd Grade Reading Score than ALL in Durham 2016-17
116,2016-17,Forsyth,ALL,2016-17,Guilford,ALL,2306,2062,0.527930403,2993,2612,0.533987511,FALSE,ALL in Forsyth 2016-17 has a similar 3rd Grade Reading Score compared to ALL in Guilford 2016-17
117,2015-16,Forsyth,black,2017-18,Forsyth,black,460,759,0.377358491,463,772,0.374898785,FALSE,black in Forsyth 2015-16 has a similar 3rd Grade Reading Score compared to black in Forsyth 2017-18
118,2015-16,Forsyth,black,2016-17,Forsyth,black,460,759,0.377358491,494,798,0.382352941,FALSE,black in Forsyth 2015-16 has a similar 3rd Grade Reading Score compared to black in Forsyth 2016-17
119,2015-16,Forsyth,black,2014-15,Forsyth,black,460,759,0.377358491,508,658,0.43567753,TRUE,black in Forsyth 2015-16 has a lower 3rd Grade Reading Score than black in Forsyth 2014-15
120,2015-16,Forsyth,black,2013-14,Forsyth,black,460,759,0.377358491,495,646,0.433829974,TRUE,black in Forsyth 2015-16 has a lower 3rd Grade Reading Score than black in Forsyth 2013-14
121,2015-16,Forsyth,black,2015-16,Forsyth,white,460,759,0.377358491,1169,355,0.767060367,TRUE,black in Forsyth 2015-16 has a lower 3rd Grade Reading Score than white in Forsyth 2015-16
122,2015-16,Forsyth,black,2015-16,Forsyth,hispanic,460,759,0.377358491,400,845,0.321285141,TRUE,black in Forsyth 2015-16 has a higher 3rd Grade Reading Score than hispanic in Forsyth 2015-16
123,2015-16,Forsyth,black,2015-16,Durham,black,460,759,0.377358491,431,719,0.374782609,FALSE,black in Forsyth 2015-16 has a similar 3rd Grade Reading Score compared to black in Durham 2015-16
124,2015-16,Forsyth,black,2015-16,Guilford,black,460,759,0.377358491,936,1309,0.416926503,TRUE,black in Forsyth 2015-16 has a lower 3rd Grade Reading Score than black in Guilford 2015-16
125,2015-16,Forsyth,white,2017-18,Forsyth,white,1169,355,0.767060367,1179,418,0.738259236,FALSE,white in Forsyth 2015-16 has a similar 3rd Grade Reading Score compared to white in Forsyth 2017-18
126,2015-16,Forsyth,white,2016-17,Forsyth,white,1169,355,0.767060367,1252,384,0.765281174,FALSE,white in Forsyth 2015-16 has a similar 3rd Grade Reading Score compared to white in Forsyth 2016-17
127,2015-16,Forsyth,white,2014-15,Forsyth,white,1169,355,0.767060367,1218,353,0.775302355,FALSE,white in Forsyth 2015-16 has a similar 3rd Grade Reading Score compared to white in Forsyth 2014-15
128,2015-16,Forsyth,white,2013-14,Forsyth,white,1169,355,0.767060367,1279,352,0.784181484,FALSE,white in Forsyth 2015-16 has a similar 3rd Grade Reading Score compared to white in Forsyth 2013-14
129,2015-16,Forsyth,white,2015-16,Forsyth,black,1169,355,0.767060367,460,759,0.377358491,TRUE,white in Forsyth 2015-16 has a higher 3rd Grade Reading Score than black in Forsyth 2015-16
130,2015-16,Forsyth,white,2015-16,Forsyth,hispanic,1169,355,0.767060367,400,845,0.321285141,TRUE,white in Forsyth 2015-16 has a higher 3rd Grade Reading Score than hispanic in Forsyth 2015-16
131,2015-16,Forsyth,white,2015-16,Durham,white,1169,355,0.767060367,384,95,0.801670146,FALSE,white in Forsyth 2015-16 has a similar 3rd Grade Reading Score compared to white in Durham 2015-16
132,2015-16,Forsyth,white,2015-16,Guilford,white,1169,355,0.767060367,1284,382,0.770708283,FALSE,white in Forsyth 2015-16 has a similar 3rd Grade Reading Score compared to white in Guilford 2015-16
133,2015-16,Forsyth,hispanic,2017-18,Forsyth,hispanic,400,845,0.321285141,409,798,0.338856669,FALSE,hispanic in Forsyth 2015-16 has a similar 3rd Grade Reading Score compared to hispanic in Forsyth 2017-18
134,2015-16,Forsyth,hispanic,2016-17,Forsyth,hispanic,400,845,0.321285141,380,780,0.327586207,FALSE,hispanic in Forsyth 2015-16 has a similar 3rd Grade Reading Score compared to hispanic in Forsyth 2016-17
135,2015-16,Forsyth,hispanic,2014-15,Forsyth,hispanic,400,845,0.321285141,400,733,0.353045013,FALSE,hispanic in Forsyth 2015-16 has a similar 3rd Grade Reading Score compared to hispanic in Forsyth 2014-15
136,2015-16,Forsyth,hispanic,2013-14,Forsyth,hispanic,400,845,0.321285141,373,619,0.376008065,TRUE,hispanic in Forsyth 2015-16 has a lower 3rd Grade Reading Score than hispanic in Forsyth 2013-14
