year,geo_description,subtype,total,estimate,geo_area,grads,non_grads,level,se,moe,cv,type
2017-2018,Mount Tabor High School,Total,388,0.93,school,362,26,2017-2018 Mount Tabor ALL,0.01,0.02,1.36,Total
2017-2018,North Forsyth High School,Total,335,0.78,school,260,75,2017-2018 North Forsyth ALL,0.02,0.04,2.94,Total
2017-2018,Parkland High School,Total,437,0.74,school,325,112,2017-2018 Parkland ALL,0.02,0.04,2.81,Total
2017-2018,R. J. Reynolds High School,Total,518,0.87,school,452,66,2017-2018 R. J. Reynolds ALL,0.01,0.03,1.68,Total
2017-2018,Robert B. Gelnn High School,Total,423,0.8,school,340,83,2017-2018 Robert B. Gelnn ALL,0.02,0.04,2.4,Total
2017-2018,Ronald W. Reagan High School,Total,477,0.95,school,453,24,2017-2018 Ronald W. Reagan ALL,0.01,0.02,1.05,Total
2017-2018,Walkertown High School,Total,217,0.84,school,183,34,2017-2018 Walkertown ALL,0.02,0.05,2.93,Total
2017-2018,West Forsyth High School,Total,603,0.92,school,554,49,2017-2018 West Forsyth ALL,0.01,0.02,1.21,Total
2012-2013,North Carolina,Total,109795,0.82,state,90581,19214,2012-2013 NC ALL,0,0,0.14,Total
2012-2013,North Carolina,African American,30764,0.78,state,23842,6922,2012-2013 NC B,0,0,0.31,Race/Ethnicity
2012-2013,North Carolina,Economically Disadvantages,47663,0.76,state,36272,11391,2012-2013 NC EDS,0,0,0.26,Economic Status
2012-2013,North Carolina,Female,53466,0.87,state,46302,7164,2012-2013 NC F,0,0,0.17,Gender
2012-2013,North Carolina,Hispanic/Latino,11158,0.75,state,8391,2767,2012-2013 NC H,0,0.01,0.54,Race/Ethnicity
2012-2013,North Carolina,Male,56329,0.79,state,44275,12054,2012-2013 NC M,0,0,0.22,Gender
2012-2013,North Carolina,Not Economically Disadvantaged,62132,0.87,state,54309,7823,2012-2013 NC NON_EDS,0,0,0.15,Economic Status
2012-2013,North Carolina,"White, non-Hispanic",60031,0.86,state,51747,8284,2012-2013 NC W,0,0,0.16,Race/Ethnicity
2013-2014,North Carolina,Total,109714,0.84,state,92050,17664,2013-2014 NC ALL,0,0,0.13,Total
2013-2014,North Carolina,African American,29949,0.8,state,23929,6020,2013-2014 NC B,0,0,0.29,Race/Ethnicity
2013-2014,North Carolina,Economically Disadvantages,47828,0.78,state,37306,10522,2013-2014 NC EDS,0,0,0.24,Economic Status
2013-2014,North Carolina,Female,53868,0.88,state,47188,6680,2013-2014 NC F,0,0,0.16,Gender
2013-2014,North Carolina,Hispanic/Latino,12008,0.77,state,9294,2714,2013-2014 NC H,0,0.01,0.49,Race/Ethnicity
2013-2014,North Carolina,Male,55846,0.8,state,44844,11002,2013-2014 NC M,0,0,0.21,Gender
2013-2014,North Carolina,Not Economically Disadvantaged,61886,0.88,state,54744,7142,2013-2014 NC NON_EDS,0,0,0.15,Economic Status
2013-2014,North Carolina,"White, non-Hispanic",59493,0.87,state,51818,7675,2013-2014 NC W,0,0,0.16,Race/Ethnicity
2014-2015,North Carolina,Total,110473,0.86,state,94565,15908,2014-2015 NC ALL,0,0,0.12,Total
2014-2015,North Carolina,African American,30202,0.82,state,24826,5376,2014-2015 NC B,0,0,0.27,Race/Ethnicity
2014-2015,North Carolina,Economically Disadvantages,44047,0.8,state,35061,8986,2014-2015 NC EDS,0,0,0.24,Economic Status
2014-2015,North Carolina,Female,54179,0.89,state,48273,5906,2014-2015 NC F,0,0,0.15,Gender
2014-2015,North Carolina,Hispanic/Latino,12578,0.8,state,10062,2516,2014-2015 NC H,0,0.01,0.45,Race/Ethnicity
2014-2015,North Carolina,Male,56294,0.82,state,46274,10020,2014-2015 NC M,0,0,0.2,Gender
2014-2015,North Carolina,Not Economically Disadvantaged,66426,0.9,state,59504,6922,2014-2015 NC NON_EDS,0,0,0.13,Economic Status
2014-2015,North Carolina,"White, non-Hispanic",59300,0.88,state,52362,6938,2014-2015 NC W,0,0,0.15,Race/Ethnicity
2015-2016,North Carolina,Total,113726,0.86,state,97691,16035,2015-2016 NC ALL,0,0,0.12,Total
2015-2016,North Carolina,African American,30240,0.83,state,25069,5171,2015-2016 NC B,0,0,0.26,Race/Ethnicity
2015-2016,North Carolina,Economically Disadvantages,45392,0.81,state,36586,8806,2015-2016 NC EDS,0,0,0.23,Economic Status
2015-2016,North Carolina,Female,55662,0.89,state,49595,6067,2015-2016 NC F,0,0,0.15,Gender
2015-2016,North Carolina,Hispanic/Latino,13808,0.8,state,11060,2748,2015-2016 NC H,0,0.01,0.42,Race/Ethnicity
2015-2016,North Carolina,Male,58064,0.83,state,48077,9987,2015-2016 NC M,0,0,0.19,Gender
2015-2016,North Carolina,Not Economically Disadvantaged,68334,0.89,state,61105,7229,2015-2016 NC NON_EDS,0,0,0.13,Economic Status
2015-2016,North Carolina,"White, non-Hispanic",60649,0.89,state,53735,6914,2015-2016 NC W,0,0,0.15,Race/Ethnicity
2016-2017,North Carolina,Total,115730,0.86,state,100106,15624,2016-2017 NC ALL,0,0,0.12,Total
2016-2017,North Carolina,African American,30855,0.84,state,25887,4968,2016-2017 NC B,0,0,0.25,Race/Ethnicity
2016-2017,North Carolina,Economically Disadvantages,46465,0.82,state,38008,8457,2016-2017 NC EDS,0,0,0.22,Economic Status
2016-2017,North Carolina,Female,56844,0.9,state,50989,5855,2016-2017 NC F,0,0,0.14,Gender
2016-2017,North Carolina,Hispanic/Latino,15279,0.8,state,12300,2979,2016-2017 NC H,0,0.01,0.4,Race/Ethnicity
2016-2017,North Carolina,Male,58885,0.84,state,49169,9716,2016-2017 NC M,0,0,0.18,Gender
2016-2017,North Carolina,Not Economically Disadvantaged,69265,0.9,state,62098,7167,2016-2017 NC NON_EDS,0,0,0.13,Economic Status
2016-2017,North Carolina,"White, non-Hispanic",60630,0.89,state,54143,6487,2016-2017 NC W,0,0,0.14,Race/Ethnicity
2017-2018,North Carolina,Total,120079,0.86,state,103628,16451,2017-2018 NC ALL,0,0,0.11,Total
2017-2018,North Carolina,African American,31747,0.83,state,26414,5333,2017-2018 NC B,0,0,0.25,Race/Ethnicity
2017-2018,North Carolina,Economically Disadvantages,43880,0.8,state,35236,8644,2017-2018 NC EDS,0,0,0.24,Economic Status
2017-2018,North Carolina,Female,58705,0.9,state,52600,6105,2017-2018 NC F,0,0,0.14,Gender
2017-2018,North Carolina,Hispanic/Latino,17504,0.8,state,13986,3518,2017-2018 NC H,0,0.01,0.38,Race/Ethnicity
2017-2018,North Carolina,Male,61374,0.83,state,51063,10311,2017-2018 NC M,0,0,0.18,Gender
2017-2018,North Carolina,Not Economically Disadvantaged,76199,0.9,state,68392,7807,2017-2018 NC NON_EDS,0,0,0.12,Economic Status
2017-2018,North Carolina,"White, non-Hispanic",61271,0.9,state,54899,6372,2017-2018 NC W,0,0,0.14,Race/Ethnicity
