geo_description,label,year,description,estimate,moe,se,cv
Forsyth ,HC01_EST_VC01,2006,Total; Estimate; Total population,332355,NA,NA,NA
Forsyth ,HC01_EST_VC14,2006,Total; Estimate; Total population - AGE - 55 to 59 years,6.8,0.48,0.24,3.53
Forsyth ,HC02_EST_VC14,2006,Male; Estimate; Total population - AGE - 55 to 59 years,6.9,0.71,0.36,5.22
Forsyth ,HC03_EST_VC14,2006,Female; Estimate; Total population - AGE - 55 to 59 years,6.8,0.6,0.31,4.56
Forsyth ,HC01_EST_VC15,2006,Total; Estimate; Total population - AGE - 60 to 64 years,4.2,0.48,0.24,5.71
Forsyth ,HC02_EST_VC15,2006,Male; Estimate; Total population - AGE - 60 to 64 years,3.9,0.6,0.31,7.95
Forsyth ,HC03_EST_VC15,2006,Female; Estimate; Total population - AGE - 60 to 64 years,4.4,0.6,0.31,7.05
Forsyth ,HC01_EST_VC16,2006,Total; Estimate; Total population - AGE - 65 to 69 years,3.6,0.48,0.24,6.67
Forsyth ,HC02_EST_VC16,2006,Male; Estimate; Total population - AGE - 65 to 69 years,3.1,0.48,0.24,7.74
Forsyth ,HC03_EST_VC16,2006,Female; Estimate; Total population - AGE - 65 to 69 years,4,0.71,0.36,9
Forsyth ,HC01_EST_VC17,2006,Total; Estimate; Total population - AGE - 70 to 74 years,3.1,0.36,0.18,5.81
Forsyth ,HC02_EST_VC17,2006,Male; Estimate; Total population - AGE - 70 to 74 years,2.8,0.48,0.24,8.57
Forsyth ,HC03_EST_VC17,2006,Female; Estimate; Total population - AGE - 70 to 74 years,3.3,0.48,0.24,7.27
Forsyth ,HC01_EST_VC18,2006,Total; Estimate; Total population - AGE - 75 to 79 years,2.7,0.36,0.18,6.67
Forsyth ,HC02_EST_VC18,2006,Male; Estimate; Total population - AGE - 75 to 79 years,2.5,0.48,0.24,9.6
Forsyth ,HC03_EST_VC18,2006,Female; Estimate; Total population - AGE - 75 to 79 years,2.9,0.48,0.24,8.28
Forsyth ,HC01_EST_VC19,2006,Total; Estimate; Total population - AGE - 80 to 84 years,1.7,0.36,0.18,10.59
Forsyth ,HC02_EST_VC19,2006,Male; Estimate; Total population - AGE - 80 to 84 years,1.3,0.36,0.18,13.85
Forsyth ,HC03_EST_VC19,2006,Female; Estimate; Total population - AGE - 80 to 84 years,2.1,0.48,0.24,11.43
Forsyth ,HC01_EST_VC20,2006,Total; Estimate; Total population - AGE - 85 years and over,1.5,0.36,0.18,12
Forsyth ,HC02_EST_VC20,2006,Male; Estimate; Total population - AGE - 85 years and over,0.6,0.36,0.18,30
Forsyth ,HC03_EST_VC20,2006,Female; Estimate; Total population - AGE - 85 years and over,2.3,0.6,0.31,13.48
Forsyth ,HC01_EST_VC22,2006,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 5 to 14 years,13.3,0.12,0.06,0.45
Forsyth ,HC02_EST_VC22,2006,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 5 to 14 years,14.2,0.24,0.12,0.85
Forsyth ,HC03_EST_VC22,2006,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 5 to 14 years,12.5,0.12,0.06,0.48
Forsyth ,HC01_EST_VC23,2006,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 17 years,4,0.12,0.06,1.5
Forsyth ,HC02_EST_VC23,2006,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 17 years,4.3,0.12,0.06,1.4
Forsyth ,HC03_EST_VC23,2006,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 17 years,3.8,0.12,0.06,1.58
Forsyth ,HC01_EST_VC24,2006,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 18 to 24 years,9.4,0.12,0.06,0.64
Forsyth ,HC02_EST_VC24,2006,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 18 to 24 years,9.7,0.36,0.18,1.86
Forsyth ,HC03_EST_VC24,2006,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 18 to 24 years,9.1,0.12,0.06,0.66
Forsyth ,HC01_EST_VC25,2006,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 44 years,41.6,0.36,0.18,0.43
Forsyth ,HC02_EST_VC25,2006,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 44 years,43,0.48,0.24,0.56
Forsyth ,HC03_EST_VC25,2006,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 44 years,40.4,0.36,0.18,0.45
Forsyth ,HC01_EST_VC26,2006,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 16 years and over,78.2,0.24,0.12,0.15
Forsyth ,HC02_EST_VC26,2006,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 16 years and over,76.5,0.48,0.24,0.31
Forsyth ,HC03_EST_VC26,2006,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 16 years and over,79.8,0.36,0.18,0.23
Forsyth ,HC01_EST_VC27,2006,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 18 years and over,75.6,0.12,0.06,0.08
Forsyth ,HC02_EST_VC27,2006,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 18 years and over,74,0.24,0.12,0.16
Forsyth ,HC03_EST_VC27,2006,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 18 years and over,77.1,0.12,0.06,0.08
Forsyth ,HC01_EST_VC28,2006,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 60 years and over,16.7,0.48,0.24,1.44
Forsyth ,HC02_EST_VC28,2006,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 60 years and over,14.3,0.71,0.36,2.52
Forsyth ,HC03_EST_VC28,2006,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 60 years and over,19,0.71,0.36,1.89
Forsyth ,HC01_EST_VC29,2006,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 62 years and over,14.9,0.36,0.18,1.21
Forsyth ,HC02_EST_VC29,2006,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 62 years and over,12.7,0.48,0.24,1.89
Forsyth ,HC03_EST_VC29,2006,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 62 years and over,16.9,0.6,0.31,1.83
Forsyth ,HC01_EST_VC30,2006,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 65 years and over,12.6,0.12,0.06,0.48
Forsyth ,HC02_EST_VC30,2006,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 65 years and over,10.3,0.12,0.06,0.58
Forsyth ,HC03_EST_VC30,2006,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 65 years and over,14.6,0.36,0.18,1.23
Forsyth ,HC01_EST_VC31,2006,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 75 years and over,5.9,0.12,0.06,1.02
Forsyth ,HC02_EST_VC31,2006,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 75 years and over,4.4,0.12,0.06,1.36
Forsyth ,HC03_EST_VC31,2006,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 75 years and over,7.3,0.12,0.06,0.82
Forsyth ,HC01_EST_VC33,2006,Total; Estimate; Total population - SUMMARY INDICATORS - Median age (years),37,0.48,0.24,0.65
Forsyth ,HC02_EST_VC33,2006,Male; Estimate; Total population - SUMMARY INDICATORS - Median age (years),35.5,0.48,0.24,0.68
Forsyth ,HC03_EST_VC33,2006,Female; Estimate; Total population - SUMMARY INDICATORS - Median age (years),38.8,0.6,0.31,0.8
Forsyth ,HC01_EST_VC34,2006,Total; Estimate; Total population - SUMMARY INDICATORS - Sex ratio (males per 100 females),92.5,0.6,0.31,0.34
Forsyth ,HC02_EST_VC34,2006,Male; Estimate; Total population - SUMMARY INDICATORS - Sex ratio (males per 100 females),NA,NA,NA,NA
Forsyth ,HC03_EST_VC34,2006,Female; Estimate; Total population - SUMMARY INDICATORS - Sex ratio (males per 100 females),NA,NA,NA,NA
Forsyth ,HC01_EST_VC35,2006,Total; Estimate; Total population - SUMMARY INDICATORS - Age dependency ratio,58.6,0.6,0.31,0.53
Forsyth ,HC02_EST_VC35,2006,Male; Estimate; Total population - SUMMARY INDICATORS - Age dependency ratio,NA,NA,NA,NA
Forsyth ,HC03_EST_VC35,2006,Female; Estimate; Total population - SUMMARY INDICATORS - Age dependency ratio,NA,NA,NA,NA
Forsyth ,HC01_EST_VC36,2006,Total; Estimate; Total population - SUMMARY INDICATORS - Old-age dependency ratio,19.9,0.36,0.18,0.9
Forsyth ,HC02_EST_VC36,2006,Male; Estimate; Total population - SUMMARY INDICATORS - Old-age dependency ratio,NA,NA,NA,NA
Forsyth ,HC03_EST_VC36,2006,Female; Estimate; Total population - SUMMARY INDICATORS - Old-age dependency ratio,NA,NA,NA,NA
Forsyth ,HC01_EST_VC37,2006,Total; Estimate; Total population - SUMMARY INDICATORS - Child dependency ratio,38.7,0.36,0.18,0.47
Forsyth ,HC02_EST_VC37,2006,Male; Estimate; Total population - SUMMARY INDICATORS - Child dependency ratio,NA,NA,NA,NA
Forsyth ,HC03_EST_VC37,2006,Female; Estimate; Total population - SUMMARY INDICATORS - Child dependency ratio,NA,NA,NA,NA
Forsyth ,HC01_EST_VC39,2006,Total; Estimate; Total population - PERCENT IMPUTED - Sex,0.2,NA,NA,NA
Forsyth ,HC02_EST_VC39,2006,Male; Estimate; Total population - PERCENT IMPUTED - Sex,NA,NA,NA,NA
Forsyth ,HC03_EST_VC39,2006,Female; Estimate; Total population - PERCENT IMPUTED - Sex,NA,NA,NA,NA
Forsyth ,HC01_EST_VC40,2006,Total; Estimate; Total population - PERCENT IMPUTED - Age,0.5,NA,NA,NA
Forsyth ,HC02_EST_VC40,2006,Male; Estimate; Total population - PERCENT IMPUTED - Age,NA,NA,NA,NA
Forsyth ,HC03_EST_VC40,2006,Female; Estimate; Total population - PERCENT IMPUTED - Age,NA,NA,NA,NA
Forsyth ,HC01_EST_VC01,2007,Total; Estimate; Total population,338774,NA,NA,NA
Forsyth ,HC02_EST_VC01,2007,Male; Estimate; Total population,162476,683.91,348.93,0.21
Forsyth ,HC03_EST_VC01,2007,Female; Estimate; Total population,176298,683.91,348.93,0.2
Forsyth ,HC01_EST_VC03,2007,Total; Estimate; Total population - AGE - Under 5 years,7.4,0.12,0.06,0.81
Forsyth ,HC02_EST_VC03,2007,Male; Estimate; Total population - AGE - Under 5 years,7.7,0.12,0.06,0.78
Forsyth ,HC03_EST_VC03,2007,Female; Estimate; Total population - AGE - Under 5 years,7.1,0.36,0.18,2.54
Forsyth ,HC01_EST_VC04,2007,Total; Estimate; Total population - AGE - 5 to 9 years,6.9,0.71,0.36,5.22
Forsyth ,HC02_EST_VC04,2007,Male; Estimate; Total population - AGE - 5 to 9 years,7.4,1.07,0.55,7.43
Forsyth ,HC03_EST_VC04,2007,Female; Estimate; Total population - AGE - 5 to 9 years,6.4,0.95,0.48,7.5
Forsyth ,HC01_EST_VC05,2007,Total; Estimate; Total population - AGE - 10 to 14 years,6.3,0.83,0.42,6.67
Forsyth ,HC02_EST_VC05,2007,Male; Estimate; Total population - AGE - 10 to 14 years,6.7,0.95,0.48,7.16
Forsyth ,HC03_EST_VC05,2007,Female; Estimate; Total population - AGE - 10 to 14 years,5.9,1.07,0.55,9.32
Forsyth ,HC01_EST_VC06,2007,Total; Estimate; Total population - AGE - 15 to 19 years,7,0.24,0.12,1.71
Forsyth ,HC02_EST_VC06,2007,Male; Estimate; Total population - AGE - 15 to 19 years,7.3,0.36,0.18,2.47
Forsyth ,HC03_EST_VC06,2007,Female; Estimate; Total population - AGE - 15 to 19 years,6.8,0.48,0.24,3.53
Forsyth ,HC01_EST_VC07,2007,Total; Estimate; Total population - AGE - 20 to 24 years,6.5,0.36,0.18,2.77
Forsyth ,HC02_EST_VC07,2007,Male; Estimate; Total population - AGE - 20 to 24 years,6.5,0.24,0.12,1.85
Forsyth ,HC03_EST_VC07,2007,Female; Estimate; Total population - AGE - 20 to 24 years,6.4,0.48,0.24,3.75
Forsyth ,HC01_EST_VC08,2007,Total; Estimate; Total population - AGE - 25 to 29 years,6.1,0.12,0.06,0.98
Forsyth ,HC02_EST_VC08,2007,Male; Estimate; Total population - AGE - 25 to 29 years,6.4,0.24,0.12,1.88
Forsyth ,HC03_EST_VC08,2007,Female; Estimate; Total population - AGE - 25 to 29 years,5.8,0.12,0.06,1.03
Forsyth ,HC01_EST_VC09,2007,Total; Estimate; Total population - AGE - 30 to 34 years,6.6,0.24,0.12,1.82
Forsyth ,HC02_EST_VC09,2007,Male; Estimate; Total population - AGE - 30 to 34 years,6.9,0.36,0.18,2.61
Forsyth ,HC03_EST_VC09,2007,Female; Estimate; Total population - AGE - 30 to 34 years,6.4,0.36,0.18,2.81
Forsyth ,HC01_EST_VC10,2007,Total; Estimate; Total population - AGE - 35 to 39 years,7,0.71,0.36,5.14
Forsyth ,HC02_EST_VC10,2007,Male; Estimate; Total population - AGE - 35 to 39 years,6.5,0.95,0.48,7.38
Forsyth ,HC03_EST_VC10,2007,Female; Estimate; Total population - AGE - 35 to 39 years,7.5,0.95,0.48,6.4
Forsyth ,HC01_EST_VC11,2007,Total; Estimate; Total population - AGE - 40 to 44 years,7.6,0.71,0.36,4.74
Forsyth ,HC02_EST_VC11,2007,Male; Estimate; Total population - AGE - 40 to 44 years,8.4,0.95,0.48,5.71
Forsyth ,HC03_EST_VC11,2007,Female; Estimate; Total population - AGE - 40 to 44 years,6.9,0.83,0.42,6.09
Forsyth ,HC01_EST_VC12,2007,Total; Estimate; Total population - AGE - 45 to 49 years,7.6,0.24,0.12,1.58
Forsyth ,HC02_EST_VC12,2007,Male; Estimate; Total population - AGE - 45 to 49 years,7.5,0.24,0.12,1.6
Forsyth ,HC03_EST_VC12,2007,Female; Estimate; Total population - AGE - 45 to 49 years,7.7,0.48,0.24,3.12
Forsyth ,HC01_EST_VC13,2007,Total; Estimate; Total population - AGE - 50 to 54 years,7.1,0.24,0.12,1.69
Forsyth ,HC02_EST_VC13,2007,Male; Estimate; Total population - AGE - 50 to 54 years,6.9,0.24,0.12,1.74
Forsyth ,HC03_EST_VC13,2007,Female; Estimate; Total population - AGE - 50 to 54 years,7.2,0.24,0.12,1.67
Forsyth ,HC01_EST_VC14,2007,Total; Estimate; Total population - AGE - 55 to 59 years,6.2,0.6,0.31,5
Forsyth ,HC02_EST_VC14,2007,Male; Estimate; Total population - AGE - 55 to 59 years,6.2,0.83,0.42,6.77
Forsyth ,HC03_EST_VC14,2007,Female; Estimate; Total population - AGE - 55 to 59 years,6.1,0.71,0.36,5.9
Forsyth ,HC01_EST_VC15,2007,Total; Estimate; Total population - AGE - 60 to 64 years,5.4,0.6,0.31,5.74
Forsyth ,HC02_EST_VC15,2007,Male; Estimate; Total population - AGE - 60 to 64 years,5.2,0.83,0.42,8.08
Forsyth ,HC03_EST_VC15,2007,Female; Estimate; Total population - AGE - 60 to 64 years,5.6,0.71,0.36,6.43
Forsyth ,HC01_EST_VC16,2007,Total; Estimate; Total population - AGE - 65 to 69 years,3.8,0.48,0.24,6.32
Forsyth ,HC02_EST_VC16,2007,Male; Estimate; Total population - AGE - 65 to 69 years,4,0.48,0.24,6
Forsyth ,HC03_EST_VC16,2007,Female; Estimate; Total population - AGE - 65 to 69 years,3.7,0.6,0.31,8.38
Forsyth ,HC01_EST_VC17,2007,Total; Estimate; Total population - AGE - 70 to 74 years,2.6,0.48,0.24,9.23
Forsyth ,HC02_EST_VC17,2007,Male; Estimate; Total population - AGE - 70 to 74 years,2,0.48,0.24,12
Forsyth ,HC03_EST_VC17,2007,Female; Estimate; Total population - AGE - 70 to 74 years,3,0.6,0.31,10.33
Forsyth ,HC01_EST_VC18,2007,Total; Estimate; Total population - AGE - 75 to 79 years,2.5,0.36,0.18,7.2
Forsyth ,HC02_EST_VC18,2007,Male; Estimate; Total population - AGE - 75 to 79 years,1.9,0.36,0.18,9.47
Forsyth ,HC03_EST_VC18,2007,Female; Estimate; Total population - AGE - 75 to 79 years,3,0.48,0.24,8
Forsyth ,HC01_EST_VC19,2007,Total; Estimate; Total population - AGE - 80 to 84 years,2.1,0.24,0.12,5.71
Forsyth ,HC02_EST_VC19,2007,Male; Estimate; Total population - AGE - 80 to 84 years,1.5,0.36,0.18,12
Forsyth ,HC03_EST_VC19,2007,Female; Estimate; Total population - AGE - 80 to 84 years,2.6,0.36,0.18,6.92
Forsyth ,HC01_EST_VC20,2007,Total; Estimate; Total population - AGE - 85 years and over,1.4,0.24,0.12,8.57
Forsyth ,HC02_EST_VC20,2007,Male; Estimate; Total population - AGE - 85 years and over,1,0.36,0.18,18
Forsyth ,HC03_EST_VC20,2007,Female; Estimate; Total population - AGE - 85 years and over,1.8,0.36,0.18,10
Forsyth ,HC01_EST_VC22,2007,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 5 to 14 years,13.2,0.12,0.06,0.45
Forsyth ,HC02_EST_VC22,2007,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 5 to 14 years,14.1,0.36,0.18,1.28
Forsyth ,HC03_EST_VC22,2007,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 5 to 14 years,12.4,0.24,0.12,0.97
Forsyth ,HC01_EST_VC23,2007,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 17 years,4,0.12,0.06,1.5
Forsyth ,HC02_EST_VC23,2007,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 17 years,4.3,0.12,0.06,1.4
Forsyth ,HC03_EST_VC23,2007,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 17 years,3.8,0.12,0.06,1.58
Forsyth ,HC01_EST_VC24,2007,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 18 to 24 years,9.5,0.12,0.06,0.63
Forsyth ,HC02_EST_VC24,2007,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 18 to 24 years,9.5,0.24,0.12,1.26
Forsyth ,HC03_EST_VC24,2007,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 18 to 24 years,9.4,0.24,0.12,1.28
Forsyth ,HC01_EST_VC25,2007,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 44 years,40.8,0.24,0.12,0.29
Forsyth ,HC02_EST_VC25,2007,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 44 years,41.9,0.24,0.12,0.29
Forsyth ,HC03_EST_VC25,2007,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 44 years,39.8,0.48,0.24,0.6
Forsyth ,HC01_EST_VC26,2007,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 16 years and over,78.1,0.36,0.18,0.23
Forsyth ,HC02_EST_VC26,2007,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 16 years and over,76.8,0.48,0.24,0.31
Forsyth ,HC03_EST_VC26,2007,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 16 years and over,79.4,0.36,0.18,0.23
Forsyth ,HC01_EST_VC27,2007,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 18 years and over,75.4,0.12,0.06,0.08
Forsyth ,HC02_EST_VC27,2007,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 18 years and over,73.9,0.24,0.12,0.16
Forsyth ,HC03_EST_VC27,2007,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 18 years and over,76.8,0.12,0.06,0.08
Forsyth ,HC01_EST_VC28,2007,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 60 years and over,17.7,0.6,0.31,1.75
Forsyth ,HC02_EST_VC28,2007,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 60 years and over,15.6,0.83,0.42,2.69
Forsyth ,HC03_EST_VC28,2007,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 60 years and over,19.7,0.71,0.36,1.83
Forsyth ,HC01_EST_VC29,2007,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 62 years and over,15.6,0.48,0.24,1.54
Forsyth ,HC02_EST_VC29,2007,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 62 years and over,13.5,0.71,0.36,2.67
Forsyth ,HC03_EST_VC29,2007,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 62 years and over,17.4,0.71,0.36,2.07
Forsyth ,HC01_EST_VC30,2007,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 65 years and over,12.3,0.12,0.06,0.49
Forsyth ,HC02_EST_VC30,2007,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 65 years and over,10.4,0.24,0.12,1.15
Forsyth ,HC03_EST_VC30,2007,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 65 years and over,14.1,0.24,0.12,0.85
Forsyth ,HC01_EST_VC31,2007,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 75 years and over,5.9,0.12,0.06,1.02
Forsyth ,HC02_EST_VC31,2007,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 75 years and over,4.4,0.12,0.06,1.36
Forsyth ,HC03_EST_VC31,2007,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 75 years and over,7.4,0.24,0.12,1.62
Forsyth ,HC01_EST_VC33,2007,Total; Estimate; Total population - SUMMARY INDICATORS - Median age (years),37.3,0.48,0.24,0.64
Forsyth ,HC02_EST_VC33,2007,Male; Estimate; Total population - SUMMARY INDICATORS - Median age (years),35.9,0.48,0.24,0.67
Forsyth ,HC03_EST_VC33,2007,Female; Estimate; Total population - SUMMARY INDICATORS - Median age (years),38.8,0.6,0.31,0.8
Forsyth ,HC01_EST_VC34,2007,Total; Estimate; Total population - SUMMARY INDICATORS - Sex ratio (males per 100 females),92.2,0.71,0.36,0.39
Forsyth ,HC02_EST_VC34,2007,Male; Estimate; Total population - SUMMARY INDICATORS - Sex ratio (males per 100 females),NA,NA,NA,NA
Forsyth ,HC03_EST_VC34,2007,Female; Estimate; Total population - SUMMARY INDICATORS - Sex ratio (males per 100 females),NA,NA,NA,NA
Forsyth ,HC01_EST_VC35,2007,Total; Estimate; Total population - SUMMARY INDICATORS - Age dependency ratio,58.6,0.36,0.18,0.31
Forsyth ,HC02_EST_VC35,2007,Male; Estimate; Total population - SUMMARY INDICATORS - Age dependency ratio,NA,NA,NA,NA
Forsyth ,HC03_EST_VC35,2007,Female; Estimate; Total population - SUMMARY INDICATORS - Age dependency ratio,NA,NA,NA,NA
Forsyth ,HC01_EST_VC36,2007,Total; Estimate; Total population - SUMMARY INDICATORS - Old-age dependency ratio,19.6,0.36,0.18,0.92
Forsyth ,HC02_EST_VC36,2007,Male; Estimate; Total population - SUMMARY INDICATORS - Old-age dependency ratio,NA,NA,NA,NA
Forsyth ,HC03_EST_VC36,2007,Female; Estimate; Total population - SUMMARY INDICATORS - Old-age dependency ratio,NA,NA,NA,NA
Forsyth ,HC01_EST_VC37,2007,Total; Estimate; Total population - SUMMARY INDICATORS - Child dependency ratio,39.1,0.12,0.06,0.15
Forsyth ,HC02_EST_VC37,2007,Male; Estimate; Total population - SUMMARY INDICATORS - Child dependency ratio,NA,NA,NA,NA
Forsyth ,HC03_EST_VC37,2007,Female; Estimate; Total population - SUMMARY INDICATORS - Child dependency ratio,NA,NA,NA,NA
Forsyth ,HC01_EST_VC39,2007,Total; Estimate; Total population - PERCENT IMPUTED - Sex,0.4,NA,NA,NA
Forsyth ,HC02_EST_VC39,2007,Male; Estimate; Total population - PERCENT IMPUTED - Sex,NA,NA,NA,NA
