year,geo_description,subtype,quintile,estimate,type,se
2017,"Forsyth County, NC",45 to 64,4,0.2175964017333114,Age,0.01628532049980022
2017,"Forsyth County, NC",45 to 64,5,0.27283198946848775,Age,0.01607496881488337
2017,"Forsyth County, NC",65 and over,1,0.27282372287942286,Age,0.018477857471871657
2017,"Forsyth County, NC",65 and over,2,0.22720280091241843,Age,0.02326361718395358
2017,"Forsyth County, NC",65 and over,3,0.1787438332183969,Age,0.02067830793581878
2017,"Forsyth County, NC",65 and over,4,0.18327940162325607,Age,0.01702386740002919
2017,"Forsyth County, NC",65 and over,5,0.13795024136650574,Age,0.013921483053433216
2017,"Guilford County, NC",18 to 24,1,0.3517453011123897,Age,0.067489566779253
2017,"Guilford County, NC",18 to 24,2,0.3218258534714231,Age,0.06488965222465028
2017,"Guilford County, NC",18 to 24,3,0.24677151259429742,Age,0.06463291742757202
2017,"Guilford County, NC",18 to 24,4,0.05382943357626902,Age,0.035907131765688445
2017,"Guilford County, NC",18 to 24,5,0.025827899245620765,Age,0.02108439995938878
2017,"Guilford County, NC",25 to 44,1,0.19240468551816758,Age,0.017952686839335916
2017,"Guilford County, NC",25 to 44,2,0.2030291725733045,Age,0.026232955900900058
2017,"Guilford County, NC",25 to 44,3,0.20701335521898082,Age,0.030237378824948473
2017,"Guilford County, NC",25 to 44,4,0.2263075430873685,Age,0.01740139422058238
2017,"Guilford County, NC",25 to 44,5,0.1712452436021786,Age,0.016731074834711573
2017,"Guilford County, NC",45 to 64,1,0.1655268138801262,Age,0.014684183879443936
2017,"Guilford County, NC",45 to 64,2,0.15333753943217665,Age,0.02820072674094607
2017,"Guilford County, NC",45 to 64,3,0.20531230283911672,Age,0.02414606583468029
2017,"Guilford County, NC",45 to 64,4,0.2081261829652997,Age,0.017908186057562833
2017,"Guilford County, NC",45 to 64,5,0.26769716088328077,Age,0.011996909041013854
2017,"Guilford County, NC",65 and over,1,0.24339787836214444,Age,0.021748881737983797
2017,"Guilford County, NC",65 and over,2,0.2514812778694032,Age,0.02104797089191705
2017,"Guilford County, NC",65 and over,3,0.17866959868059373,Age,0.018333433110511357
2017,"Guilford County, NC",65 and over,4,0.18162197381548673,Age,0.016201108159456645
2017,"Guilford County, NC",65 and over,5,0.14482927127237188,Age,0.012155411122377162
2017,"Durham County, NC","White, non-Hispanic",1,0.10350801212646167,Race / Ethnicity,0.010966739002514726
2017,"Durham County, NC","White, non-Hispanic",2,0.12411300263184195,Race / Ethnicity,0.015953264877038572
2017,"Durham County, NC","White, non-Hispanic",3,0.24252923343438718,Race / Ethnicity,0.016951515768989574
2017,"Durham County, NC","White, non-Hispanic",4,0.2512742779091848,Race / Ethnicity,0.016201668660183063
2017,"Durham County, NC","White, non-Hispanic",5,0.27857547389812437,Race / Ethnicity,0.016076106031527444
2017,"Durham County, NC",African American,1,0.3075559078771696,Race / Ethnicity,0.02036338015731834
2017,"Durham County, NC",African American,2,0.27622246328437916,Race / Ethnicity,0.026005567961590766
2017,"Durham County, NC",African American,3,0.15848214285714285,Race / Ethnicity,0.021983159017822183
2017,"Durham County, NC",African American,4,0.15088868491321764,Race / Ethnicity,0.02337245844129244
2017,"Durham County, NC",African American,5,0.10685080106809079,Race / Ethnicity,0.018271584917870138
2017,"Durham County, NC",Hispanic/Latino,1,0.23446244477172312,Race / Ethnicity,0.05135427912317707
2017,"Durham County, NC",Hispanic/Latino,2,0.3209621993127148,Race / Ethnicity,0.06657136703490989
2017,"Durham County, NC",Hispanic/Latino,3,0.20157093765341189,Race / Ethnicity,0.05632545067617988
2017,"Durham County, NC",Hispanic/Latino,4,0.11831124202258222,Race / Ethnicity,0.050032893807780636
2017,"Durham County, NC",Hispanic/Latino,5,0.124693176239568,Race / Ethnicity,0.03936192427483814
2017,"Forsyth County, NC","White, non-Hispanic",1,0.15337610421863257,Race / Ethnicity,0.012339495161466185
2017,"Forsyth County, NC","White, non-Hispanic",2,0.1618721883952204,Race / Ethnicity,0.013773933778840104
2017,"Forsyth County, NC","White, non-Hispanic",3,0.18681582014443343,Race / Ethnicity,0.010785868401495478
2017,"Forsyth County, NC","White, non-Hispanic",4,0.22865358850632306,Race / Ethnicity,0.011473157022917936
2017,"Forsyth County, NC","White, non-Hispanic",5,0.26928229873539056,Race / Ethnicity,0.008880923789163074
2017,"Forsyth County, NC",African American,1,0.3106477323753929,Race / Ethnicity,0.025131598250334317
2017,"Forsyth County, NC",African American,2,0.2565671306690615,Race / Ethnicity,0.027535335090065782
2017,"Forsyth County, NC",African American,3,0.2264256847777279,Race / Ethnicity,0.02686340169294514
2017,"Forsyth County, NC",African American,4,0.1498372249663224,Race / Ethnicity,0.02268532469920241
2017,"Forsyth County, NC",African American,5,0.05652222721149529,Race / Ethnicity,0.014351772317361072
2017,"Forsyth County, NC",Hispanic/Latino,1,0.2765672933217966,Race / Ethnicity,0.05280214322369855
2017,"Forsyth County, NC",Hispanic/Latino,2,0.27058916070164396,Race / Ethnicity,0.05481496899761876
2017,"Forsyth County, NC",Hispanic/Latino,3,0.21426885864862738,Race / Ethnicity,0.04576097532880995
2017,"Forsyth County, NC",Hispanic/Latino,4,0.15197042397545818,Race / Ethnicity,0.04807874467549736
2017,"Forsyth County, NC",Hispanic/Latino,5,0.08660426335247384,Race / Ethnicity,0.028736093660704225
2017,"Guilford County, NC","White, non-Hispanic",1,0.14098151359091812,Race / Ethnicity,0.010408857317714992
2017,"Guilford County, NC","White, non-Hispanic",2,0.17453827109374326,Race / Ethnicity,0.014651601876931646
2017,"Guilford County, NC","White, non-Hispanic",3,0.2072323870155189,Race / Ethnicity,0.015975123682311524
2017,"Guilford County, NC","White, non-Hispanic",4,0.20231533000353683,Race / Ethnicity,0.01065930675763371
2017,"Guilford County, NC","White, non-Hispanic",5,0.27493249829628286,Race / Ethnicity,0.008502381099316532
2017,"Guilford County, NC",African American,1,0.30886530812819607,Race / Ethnicity,0.017631449163287072
2017,"Guilford County, NC",African American,2,0.21565134599732796,Race / Ethnicity,0.035180551850875326
2017,"Guilford County, NC",African American,3,0.20451788264561802,Race / Ethnicity,0.03291974741222383
2017,"Guilford County, NC",African American,4,0.19155699565411016,Race / Ethnicity,0.016315828418372966
2017,"Guilford County, NC",African American,5,0.07940846757474777,Race / Ethnicity,0.010908338322213846
2017,"Guilford County, NC",Hispanic/Latino,1,0.24529557118418552,Race / Ethnicity,0.05080458614194013
2017,"Guilford County, NC",Hispanic/Latino,2,0.24900209085725147,Race / Ethnicity,0.058612627254590814
2017,"Guilford County, NC",Hispanic/Latino,3,0.19121839954381295,Race / Ethnicity,0.06006812401487416
2017,"Guilford County, NC",Hispanic/Latino,4,0.2407337008173351,Race / Ethnicity,0.06436773712944474
2017,"Guilford County, NC",Hispanic/Latino,5,0.07375023759741493,Race / Ethnicity,0.05429524714156634
2017,North Carolina,18 to 24,1,0.38098645232904926,Age,0.016004808539913304
2017,North Carolina,18 to 24,2,0.2868749414895751,Age,0.015489118972313065
2017,North Carolina,18 to 24,3,0.1946023297179463,Age,0.01277788741621115
2017,North Carolina,18 to 24,4,0.109504767763765,Age,0.01148049736514095
2017,North Carolina,18 to 24,5,0.028031508699664316,Age,0.006370581537488926
2017,North Carolina,25 to 44,1,0.15614996238506987,Age,0.0040279845458902315
2017,North Carolina,25 to 44,2,0.19885392501565977,Age,0.00490020610367862
2017,North Carolina,25 to 44,3,0.21430673637757205,Age,0.00539691297854535
2017,North Carolina,25 to 44,4,0.2327813329220348,Age,0.005443876320085852
2017,North Carolina,25 to 44,5,0.19790804329966352,Age,0.004020188064596167
2017,North Carolina,45 to 64,1,0.1740699264266495,Age,0.0033294655859487485
2017,North Carolina,45 to 64,2,0.16436748582824506,Age,0.004275061688415709
2017,North Carolina,45 to 64,3,0.1845302883831862,Age,0.00507742155410529
2017,North Carolina,45 to 64,4,0.21416056282533186,Age,0.004311056209236434
2017,North Carolina,45 to 64,5,0.26287173653658735,Age,0.0041888702463787845
2017,North Carolina,65 and over,1,0.27328037152059464,Age,0.004039376062008703
2017,North Carolina,65 and over,2,0.24425333874935568,Age,0.004720661675780429
2017,North Carolina,65 and over,3,0.20047095558696143,Age,0.005188388577567721
2017,North Carolina,65 and over,4,0.15496047727207268,Age,0.004205005278284273
2017,North Carolina,65 and over,5,0.12703485687101557,Age,0.003434636443060081
2017,North Carolina,"White, non-Hispanic",1,0.16865332191096347,Race / Ethnicity,0.0026170462074287504
2017,North Carolina,"White, non-Hispanic",2,0.17967496769812252,Race / Ethnicity,0.0031417004531267213
2017,North Carolina,"White, non-Hispanic",3,0.19829526330766767,Race / Ethnicity,0.003946946388130855
2017,North Carolina,"White, non-Hispanic",4,0.21641774964949026,Race / Ethnicity,0.003580586663161057
2017,North Carolina,"White, non-Hispanic",5,0.23695869743375608,Race / Ethnicity,0.002658961229086845
2017,North Carolina,African American,1,0.297807352855788,Race / Ethnicity,0.005737515740109761
2017,North Carolina,African American,2,0.24280367546015832,Race / Ethnicity,0.0071223099147968314
2017,North Carolina,African American,3,0.20262449919677938,Race / Ethnicity,0.00712215146304189
2017,North Carolina,African American,4,0.15684455261578958,Race / Ethnicity,0.005846435963087024
2017,North Carolina,African American,5,0.0999199198714847,Race / Ethnicity,0.003740650821237363
2017,North Carolina,Hispanic/Latino,1,0.23199866777144157,Race / Ethnicity,0.010538216427598742
2017,North Carolina,Hispanic/Latino,2,0.2964614709752888,Race / Ethnicity,0.011650887488029981
2017,North Carolina,Hispanic/Latino,3,0.20884307322383064,Race / Ethnicity,0.011763187833344674
2017,North Carolina,Hispanic/Latino,4,0.17497684846712483,Race / Ethnicity,0.011161328961686276
2017,North Carolina,Hispanic/Latino,5,0.08771993956231418,Race / Ethnicity,0.007719184870167774
