name,label,concept,predicateType,group,limit,attributes,required
S0505_C03_028E,Foreign born; Born in Eastern Asia!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,int,S0505,0,"S0505_C03_028M,S0505_C03_028EA",NA
S1501_C04_054E,Percent Males!!Estimate!!Hispanic or Latino Origin!!Bachelor's degree or higher,EDUCATIONAL ATTAINMENT,int,S1501,0,"S1501_C04_054M,S1501_C04_054EA",NA
S0802_C01_071E,Total!!Estimate!!Workers 16 years and over who did not work at home!!TIME LEAVING HOME TO GO TO WORK!!12:00 a.m. to 4:59 a.m.,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS,int,S0802,0,"S0802_C01_071M,S0802_C01_071EA",NA
S2002_C01_047E,Median earnings (dollars)!!Total!!Estimate!!INDUSTRY!!Transportation and warehousing,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) OF WORKERS BY SEX AND WOMEN'S EARNINGS AS A PERCENTAGE OF MEN'S EARNINGS BY SELECTED CHARACTERISTICS,int,S2002,0,"S2002_C01_047M,S2002_C01_047EA",NA
S1501_C04_051E,Percent Males!!Estimate!!Two or more races!!Bachelor's degree or higher,EDUCATIONAL ATTAINMENT,int,S1501,0,"S1501_C04_051M,S1501_C04_051EA",NA
S0103PR_C01_094E,Total!!Estimate!!SELECTED CHARACTERISTICS!!1.01 or more occupants per room,POPULATION 65 YEARS AND OVER IN PUERTO RICO,int,S0103PR,0,"S0103PR_C01_094M,S0103PR_C01_094EA",NA
S2701_C04_006E,Uninsured!!Estimate!!AGE!!18 to 64 years!!18 to 24 years,SELECTED CHARACTERISTICS OF HEALTH INSURANCE COVERAGE IN THE UNITED STATES,int,S2701,0,"S2701_C04_006M,S2701_C04_006EA",NA
S1251_C03_011E,Married in the last 12 months!!Female!!Estimate!!PRESENCE OF OWN CHILD UNDER 18 YEARS!!Population in households!!With an own child of the householder under 18 years,CHARACTERISTICS OF PEOPLE WITH A MARITAL EVENT IN THE LAST 12 MONTHS,int,S1251,0,"S1251_C03_011M,S1251_C03_011EA",NA
S0503_C02_071E,Foreign born; Born in Europe!!Estimate!!OCCUPATION!!Sales and office occupations,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C02_071M,S0503_C02_071EA",NA
S2002_C01_046E,Median earnings (dollars)!!Total!!Estimate!!INDUSTRY!!Retail trade,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) OF WORKERS BY SEX AND WOMEN'S EARNINGS AS A PERCENTAGE OF MEN'S EARNINGS BY SELECTED CHARACTERISTICS,int,S2002,0,"S2002_C01_046M,S2002_C01_046EA",NA
S0103PR_C01_095E,Total!!Estimate!!Owner-occupied housing units,POPULATION 65 YEARS AND OVER IN PUERTO RICO,int,S0103PR,0,"S0103PR_C01_095M,S0103PR_C01_095EA",NA
S2701_C04_005E,Uninsured!!Estimate!!AGE!!18 to 64 years,SELECTED CHARACTERISTICS OF HEALTH INSURANCE COVERAGE IN THE UNITED STATES,int,S2701,0,"S2701_C04_005M,S2701_C04_005EA",NA
S1251_C03_012E,Married in the last 12 months!!Female!!Estimate!!HOUSING TENURE!!Population 15 years and over in occupied housing units,CHARACTERISTICS OF PEOPLE WITH A MARITAL EVENT IN THE LAST 12 MONTHS,int,S1251,0,"S1251_C03_012M,S1251_C03_012EA",NA
S0503_C02_072E,"Foreign born; Born in Europe!!Estimate!!OCCUPATION!!Natural resources, construction, and maintenance occupations",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C02_072M,S0503_C02_072EA",NA
S1501_C04_052E,Percent Males!!Estimate!!Hispanic or Latino Origin,EDUCATIONAL ATTAINMENT,int,S1501,0,"S1501_C04_052M,S1501_C04_052EA",NA
S2002_C01_041E,"Median earnings (dollars)!!Total!!Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting",MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) OF WORKERS BY SEX AND WOMEN'S EARNINGS AS A PERCENTAGE OF MEN'S EARNINGS BY SELECTED CHARACTERISTICS,int,S2002,0,"S2002_C01_041M,S2002_C01_041EA",NA
S2413_C02_021E,"Median earnings (dollars) for male!!Estimate!!Educational services, and health care and social assistance!!Educational services",INDUSTRY BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,int,S2413,0,"S2413_C02_021M,S2413_C02_021EA",NA
S1501_C04_057E,Percent Males!!Estimate!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree,EDUCATIONAL ATTAINMENT,int,S1501,0,"S1501_C04_057M,S1501_C04_057EA",NA
S0802_C01_074E,Total!!Estimate!!Workers 16 years and over who did not work at home!!TIME LEAVING HOME TO GO TO WORK!!6:00 a.m. to 6:29 a.m.,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS,int,S0802,0,"S0802_C01_074M,S0802_C01_074EA",NA
S2002_C01_040E,"Median earnings (dollars)!!Total!!Estimate!!Full-time, year-round civilian workers 16 years and over with earnings!!OCCUPATION!!Material moving occupations",MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) OF WORKERS BY SEX AND WOMEN'S EARNINGS AS A PERCENTAGE OF MEN'S EARNINGS BY SELECTED CHARACTERISTICS,int,S2002,0,"S2002_C01_040M,S2002_C01_040EA",NA
S0503_C02_077E,Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Wholesale trade,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C02_077M,S0503_C02_077EA",NA
S2405_C06_013E,"Production, transportation, and material moving occupations!!Estimate!!Other services, except public administration",INDUSTRY BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,int,S2405,0,"S2405_C06_013M,S2405_C06_013EA",NA
S2413_C02_020E,"Median earnings (dollars) for male!!Estimate!!Educational services, and health care and social assistance",INDUSTRY BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,int,S2413,0,"S2413_C02_020M,S2413_C02_020EA",NA
S1501_C04_058E,Percent Males!!Estimate!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher,EDUCATIONAL ATTAINMENT,int,S1501,0,"S1501_C04_058M,S1501_C04_058EA",NA
S0802_C01_075E,Total!!Estimate!!Workers 16 years and over who did not work at home!!TIME LEAVING HOME TO GO TO WORK!!6:30 a.m. to 6:59 a.m.,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS,int,S0802,0,"S0802_C01_075M,S0802_C01_075EA",NA
S2405_C06_012E,"Production, transportation, and material moving occupations!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services",INDUSTRY BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,int,S2405,0,"S2405_C06_012M,S2405_C06_012EA",NA
S0503_C02_078E,Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Retail trade,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C02_078M,S0503_C02_078EA",NA
S2002_C01_043E,Median earnings (dollars)!!Total!!Estimate!!INDUSTRY!!Construction,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) OF WORKERS BY SEX AND WOMEN'S EARNINGS AS A PERCENTAGE OF MEN'S EARNINGS BY SELECTED CHARACTERISTICS,int,S2002,0,"S2002_C01_043M,S2002_C01_043EA",NA
S1602_C04_001E,Percent limited English-speaking households!!Estimate!!All households,LIMITED ENGLISH SPEAKING HOUSEHOLDS,int,S1602,0,"S1602_C04_001M,S1602_C04_001EA",NA
S1501_C04_055E,Percent Males!!Estimate!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate,EDUCATIONAL ATTAINMENT,int,S1501,0,"S1501_C04_055M,S1501_C04_055EA",NA
S2405_C06_015E,"Production, transportation, and material moving occupations!!Estimate!!PERCENT IMPUTED!!Industry",INDUSTRY BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,int,S2405,0,"S2405_C06_015M,S2405_C06_015EA",NA
S2413_C02_023E,"Median earnings (dollars) for male!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services",INDUSTRY BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,int,S2413,0,"S2413_C02_023M,S2413_C02_023EA",NA
S0503_C02_075E,Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Construction,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C02_075M,S0503_C02_075EA",NA
S0103PR_C01_090E,Total!!Estimate!!Occupied housing units!!HOUSING TENURE!!Renter-occupied housing units,POPULATION 65 YEARS AND OVER IN PUERTO RICO,int,S0103PR,0,"S0103PR_C01_090M,S0103PR_C01_090EA",NA
S0802_C01_072E,Total!!Estimate!!Workers 16 years and over who did not work at home!!TIME LEAVING HOME TO GO TO WORK!!5:00 a.m. to 5:29 a.m.,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS,int,S0802,0,"S0802_C01_072M,S0802_C01_072EA",NA
S2002_C01_042E,"Median earnings (dollars)!!Total!!Estimate!!INDUSTRY!!Mining, quarrying, and oil and gas extraction",MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) OF WORKERS BY SEX AND WOMEN'S EARNINGS AS A PERCENTAGE OF MEN'S EARNINGS BY SELECTED CHARACTERISTICS,int,S2002,0,"S2002_C01_042M,S2002_C01_042EA",NA
S1602_C04_002E,Percent limited English-speaking households!!Estimate!!Households speaking!!Spanish,LIMITED ENGLISH SPEAKING HOUSEHOLDS,int,S1602,0,"S1602_C04_002M,S1602_C04_002EA",NA
S1501_C04_056E,Percent Males!!Estimate!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency),EDUCATIONAL ATTAINMENT,int,S1501,0,"S1501_C04_056M,S1501_C04_056EA",NA
S2405_C06_014E,"Production, transportation, and material moving occupations!!Estimate!!Public administration",INDUSTRY BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,int,S2405,0,"S2405_C06_014M,S2405_C06_014EA",NA
S0103PR_C01_091E,Total!!Estimate!!Average household size of owner-occupied unit,POPULATION 65 YEARS AND OVER IN PUERTO RICO,int,S0103PR,0,"S0103PR_C01_091M,S0103PR_C01_091EA",NA
S0802_C01_073E,Total!!Estimate!!Workers 16 years and over who did not work at home!!TIME LEAVING HOME TO GO TO WORK!!5:30 a.m. to 5:59 a.m.,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS,int,S0802,0,"S0802_C01_073M,S0802_C01_073EA",NA
S0503_C02_076E,Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Manufacturing,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C02_076M,S0503_C02_076EA",NA
S2413_C02_022E,"Median earnings (dollars) for male!!Estimate!!Educational services, and health care and social assistance!!Health care and social assistance",INDUSTRY BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,int,S2413,0,"S2413_C02_022M,S2413_C02_022EA",NA
S2701_C04_009E,Uninsured!!Estimate!!AGE!!18 to 64 years!!45 to 54 years,SELECTED CHARACTERISTICS OF HEALTH INSURANCE COVERAGE IN THE UNITED STATES,int,S2701,0,"S2701_C04_009M,S2701_C04_009EA",NA
S2413_C02_025E,"Median earnings (dollars) for male!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services!!Accommodation and food services",INDUSTRY BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,int,S2413,0,"S2413_C02_025M,S2413_C02_025EA",NA
S0504_C01_077E,Total!!Estimate!!INDUSTRY!!Wholesale trade,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",int,S0504,0,"S0504_C01_077M,S0504_C01_077EA",NA
S2302_C01_002E,Total!!Estimate!!EMPLOYMENT STATUS CHARACTERISTICS!!Married-couple families,EMPLOYMENT CHARACTERISTICS OF FAMILIES,int,S2302,0,"S2302_C01_002M,S2302_C01_002EA",NA
S1502_C05_017E,Females!!Estimate!!DETAILED AGE!!40 to 64 years!!Education,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR,int,S1502,0,"S1502_C05_017M,S1502_C05_017EA",NA
S0503_C03_120E,Foreign born; Born in Northern and Western Europe!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Married-couple family!!With related children of the householder under 5 years only,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C03_120M,S0503_C03_120EA",NA
S1602_C04_003E,Percent limited English-speaking households!!Estimate!!Households speaking!!Other Indo-European languages,LIMITED ENGLISH SPEAKING HOUSEHOLDS,int,S1602,0,"S1602_C04_003M,S1602_C04_003EA",NA
S0601_C02_015E,Native; born in state of residence!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American,SELECTED CHARACTERISTICS OF THE TOTAL AND NATIVE POPULATIONS IN THE UNITED STATES,int,S0601,0,"S0601_C02_015M,S0601_C02_015EA",NA
S0901_C01_015E,"Total!!Estimate!!RELATIONSHIP TO HOUSEHOLDER!!Own child (biological, step or adopted)",CHILDREN CHARACTERISTICS,int,S0901,0,"S0901_C01_015M,S0901_C01_015EA",NA
S1502_C05_018E,"Females!!Estimate!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others",FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR,int,S1502,0,"S1502_C05_018M,S1502_C05_018EA",NA
S0504_C01_078E,Total!!Estimate!!INDUSTRY!!Retail trade,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",int,S0504,0,"S0504_C01_078M,S0504_C01_078EA",NA
S2413_C02_024E,"Median earnings (dollars) for male!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services!!Arts, entertainment, and recreation",INDUSTRY BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,int,S2413,0,"S2413_C02_024M,S2413_C02_024EA",NA
S1602_C04_004E,Percent limited English-speaking households!!Estimate!!Households speaking!!Asian and Pacific Island languages,LIMITED ENGLISH SPEAKING HOUSEHOLDS,int,S1602,0,"S1602_C04_004M,S1602_C04_004EA",NA
S0601_C02_014E,Native; born in state of residence!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White,SELECTED CHARACTERISTICS OF THE TOTAL AND NATIVE POPULATIONS IN THE UNITED STATES,int,S0601,0,"S0601_C02_014M,S0601_C02_014EA",NA
S2302_C01_001E,Total!!Estimate!!Families,EMPLOYMENT CHARACTERISTICS OF FAMILIES,int,S2302,0,"S2302_C01_001M,S2302_C01_001EA",NA
S2301_C04_029E,Unemployment rate!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,EMPLOYMENT STATUS,int,S2301,0,"S2301_C04_029M,S2301_C04_029EA",NA
S0901_C01_014E,"Total!!Estimate!!White alone, not Hispanic or Latino",CHILDREN CHARACTERISTICS,int,S0901,0,"S0901_C01_014M,S0901_C01_014EA",NA
S2413_C02_027E,Median earnings (dollars) for male!!Estimate!!Public administration,INDUSTRY BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,int,S2413,0,"S2413_C02_027M,S2413_C02_027EA",NA
S0504_C01_075E,Total!!Estimate!!INDUSTRY!!Construction,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",int,S0504,0,"S0504_C01_075M,S0504_C01_075EA",NA
S1502_C05_019E,Females!!Estimate!!DETAILED AGE!!65 years and over,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR,int,S1502,0,"S1502_C05_019M,S1502_C05_019EA",NA
S0503_C03_122E,"Foreign born; Born in Northern and Western Europe!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Female householder, no husband present, family!!With related children of the householder under 18 years",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C03_122M,S0503_C03_122EA",NA
S1602_C04_005E,Percent limited English-speaking households!!Estimate!!Households speaking!!Other languages,LIMITED ENGLISH SPEAKING HOUSEHOLDS,int,S1602,0,"S1602_C04_005M,S1602_C04_005EA",NA
S0601_C02_017E,Native; born in state of residence!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian,SELECTED CHARACTERISTICS OF THE TOTAL AND NATIVE POPULATIONS IN THE UNITED STATES,int,S0601,0,"S0601_C02_017M,S0601_C02_017EA",NA
S0901_C01_017E,Total!!Estimate!!RELATIONSHIP TO HOUSEHOLDER!!Other relatives,CHILDREN CHARACTERISTICS,int,S0901,0,"S0901_C01_017M,S0901_C01_017EA",NA
S2405_C06_011E,"Production, transportation, and material moving occupations!!Estimate!!Educational services, and health care and social assistance",INDUSTRY BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,int,S2405,0,"S2405_C06_011M,S2405_C06_011EA",NA
S0504_C01_076E,Total!!Estimate!!INDUSTRY!!Manufacturing,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",int,S0504,0,"S0504_C01_076M,S0504_C01_076EA",NA
S2413_C02_026E,"Median earnings (dollars) for male!!Estimate!!Other services, except public administration",INDUSTRY BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,int,S2413,0,"S2413_C02_026M,S2413_C02_026EA",NA
S0505_C04_010E,Foreign born; Born in South Central Asia!!Estimate!!SEX AND AGE!!Male,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,int,S0505,0,"S0505_C04_010M,S0505_C04_010EA",NA
S0503_C03_121E,"Foreign born; Born in Northern and Western Europe!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Female householder, no husband present, family",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C03_121M,S0503_C03_121EA",NA
S0601_C02_016E,Native; born in state of residence!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native,SELECTED CHARACTERISTICS OF THE TOTAL AND NATIVE POPULATIONS IN THE UNITED STATES,int,S0601,0,"S0601_C02_016M,S0601_C02_016EA",NA
S2405_C06_010E,"Production, transportation, and material moving occupations!!Estimate!!Professional, scientific, and management, and administrative and waste management services",INDUSTRY BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,int,S2405,0,"S2405_C06_010M,S2405_C06_010EA",NA
S0901_C01_016E,Total!!Estimate!!RELATIONSHIP TO HOUSEHOLDER!!Grandchild,CHILDREN CHARACTERISTICS,int,S0901,0,"S0901_C01_016M,S0901_C01_016EA",NA
S0501_C04_082E,"Foreign born; Naturalized citizen!!Estimate!!EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$15,000 to $24,999",SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,int,S0501,0,"S0501_C04_082M,S0501_C04_082EA",NA
S2302_C01_006E,Total!!Estimate!!EMPLOYMENT STATUS CHARACTERISTICS!!Married-couple families!!Both husband and wife not in labor force,EMPLOYMENT CHARACTERISTICS OF FAMILIES,int,S2302,0,"S2302_C01_006M,S2302_C01_006EA",NA
S0901_C01_011E,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race,CHILDREN CHARACTERISTICS,int,S0901,0,"S0901_C01_011M,S0901_C01_011EA",NA
S0103PR_C01_096E,Total!!Estimate!!Owner-occupied housing units!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than 30 percent,POPULATION 65 YEARS AND OVER IN PUERTO RICO,int,S0103PR,0,"S0103PR_C01_096M,S0103PR_C01_096EA",NA
S1502_C05_013E,Females!!Estimate!!DETAILED AGE!!40 to 64 years,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR,int,S1502,0,"S1502_C05_013M,S1502_C05_013EA",NA
S0601_C02_019E,Native; born in state of residence!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race,SELECTED CHARACTERISTICS OF THE TOTAL AND NATIVE POPULATIONS IN THE UNITED STATES,int,S0601,0,"S0601_C02_019M,S0601_C02_019EA",NA
S2301_C04_026E,Unemployment rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,EMPLOYMENT STATUS,int,S2301,0,"S2301_C04_026M,S2301_C04_026EA",NA
S0503_C03_124E,Foreign born; Born in Northern and Western Europe!!Estimate!!Occupied housing units,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C03_124M,S0503_C03_124EA",NA
S2002_C01_049E,Median earnings (dollars)!!Total!!Estimate!!INDUSTRY!!Information,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) OF WORKERS BY SEX AND WOMEN'S EARNINGS AS A PERCENTAGE OF MEN'S EARNINGS BY SELECTED CHARACTERISTICS,int,S2002,0,"S2002_C01_049M,S2002_C01_049EA",NA
