name,label,concept
S0101_C01_032E,Total!!Estimate!!SUMMARY INDICATORS!!Age dependency ratio,AGE AND SEX
S0101_C01_033E,Total!!Estimate!!SUMMARY INDICATORS!!Old-age dependency ratio,AGE AND SEX
S0101_C01_034E,Total!!Estimate!!SUMMARY INDICATORS!!Child dependency ratio,AGE AND SEX
S0101_C01_035E,Total!!Estimate!!PERCENT IMPUTED!!Sex,AGE AND SEX
S0101_C01_036E,Total!!Estimate!!PERCENT IMPUTED!!Age,AGE AND SEX
S0101_C02_001E,Male!!Estimate!!Total population,AGE AND SEX
S0101_C02_002E,Male!!Estimate!!AGE!!Under 5 years,AGE AND SEX
S0101_C02_003E,Male!!Estimate!!AGE!!5 to 9 years,AGE AND SEX
S0101_C02_004E,Male!!Estimate!!AGE!!10 to 14 years,AGE AND SEX
S0101_C02_005E,Male!!Estimate!!AGE!!15 to 19 years,AGE AND SEX
S0101_C02_006E,Male!!Estimate!!AGE!!20 to 24 years,AGE AND SEX
S0101_C02_007E,Male!!Estimate!!AGE!!25 to 29 years,AGE AND SEX
S0101_C02_008E,Male!!Estimate!!AGE!!30 to 34 years,AGE AND SEX
S0101_C02_009E,Male!!Estimate!!AGE!!35 to 39 years,AGE AND SEX
S0101_C02_010E,Male!!Estimate!!AGE!!40 to 44 years,AGE AND SEX
S0101_C02_011E,Male!!Estimate!!AGE!!45 to 49 years,AGE AND SEX
S0101_C02_012E,Male!!Estimate!!AGE!!50 to 54 years,AGE AND SEX
S0101_C02_013E,Male!!Estimate!!AGE!!55 to 59 years,AGE AND SEX
S0101_C02_014E,Male!!Estimate!!AGE!!60 to 64 years,AGE AND SEX
S0101_C02_015E,Male!!Estimate!!AGE!!65 to 69 years,AGE AND SEX
S0101_C02_016E,Male!!Estimate!!AGE!!70 to 74 years,AGE AND SEX
S0101_C02_017E,Male!!Estimate!!AGE!!75 to 79 years,AGE AND SEX
S0101_C02_018E,Male!!Estimate!!AGE!!80 to 84 years,AGE AND SEX
S0101_C02_019E,Male!!Estimate!!AGE!!85 years and over,AGE AND SEX
S0101_C02_020E,Male!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,AGE AND SEX
S0101_C02_021E,Male!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,AGE AND SEX
S0101_C02_022E,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,AGE AND SEX
S0101_C02_023E,Male!!Estimate!!SELECTED AGE CATEGORIES!!15 to 44 years,AGE AND SEX
S0101_C02_024E,Male!!Estimate!!SELECTED AGE CATEGORIES!!16 years and over,AGE AND SEX
S0101_C02_025E,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 years and over,AGE AND SEX
S0101_C02_026E,Male!!Estimate!!SELECTED AGE CATEGORIES!!60 years and over,AGE AND SEX
S0101_C02_027E,Male!!Estimate!!SELECTED AGE CATEGORIES!!62 years and over,AGE AND SEX
S0101_C02_028E,Male!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,AGE AND SEX
S0101_C02_029E,Male!!Estimate!!SELECTED AGE CATEGORIES!!75 years and over,AGE AND SEX
S0101_C02_030E,Male!!Estimate!!SUMMARY INDICATORS!!Median age (years),AGE AND SEX
S0101_C02_031E,Male!!Estimate!!SUMMARY INDICATORS!!Sex ratio (males per 100 females),AGE AND SEX
S0101_C02_032E,Male!!Estimate!!SUMMARY INDICATORS!!Age dependency ratio,AGE AND SEX
S0101_C02_033E,Male!!Estimate!!SUMMARY INDICATORS!!Old-age dependency ratio,AGE AND SEX
S0101_C02_034E,Male!!Estimate!!SUMMARY INDICATORS!!Child dependency ratio,AGE AND SEX
S0101_C02_035E,Male!!Estimate!!PERCENT IMPUTED!!Sex,AGE AND SEX
S0101_C02_036E,Male!!Estimate!!PERCENT IMPUTED!!Age,AGE AND SEX
S0101_C03_001E,Female!!Estimate!!Total population,AGE AND SEX
S0101_C03_002E,Female!!Estimate!!AGE!!Under 5 years,AGE AND SEX
S0101_C03_003E,Female!!Estimate!!AGE!!5 to 9 years,AGE AND SEX
S0101_C03_004E,Female!!Estimate!!AGE!!10 to 14 years,AGE AND SEX
S0101_C03_005E,Female!!Estimate!!AGE!!15 to 19 years,AGE AND SEX
S0101_C03_006E,Female!!Estimate!!AGE!!20 to 24 years,AGE AND SEX
S0101_C03_007E,Female!!Estimate!!AGE!!25 to 29 years,AGE AND SEX
S0101_C03_008E,Female!!Estimate!!AGE!!30 to 34 years,AGE AND SEX
S0101_C03_009E,Female!!Estimate!!AGE!!35 to 39 years,AGE AND SEX
S0101_C03_010E,Female!!Estimate!!AGE!!40 to 44 years,AGE AND SEX
S0101_C03_011E,Female!!Estimate!!AGE!!45 to 49 years,AGE AND SEX
S0101_C03_012E,Female!!Estimate!!AGE!!50 to 54 years,AGE AND SEX
S0101_C03_013E,Female!!Estimate!!AGE!!55 to 59 years,AGE AND SEX
S0101_C03_014E,Female!!Estimate!!AGE!!60 to 64 years,AGE AND SEX
S0101_C03_015E,Female!!Estimate!!AGE!!65 to 69 years,AGE AND SEX
S0101_C03_016E,Female!!Estimate!!AGE!!70 to 74 years,AGE AND SEX
S0101_C03_017E,Female!!Estimate!!AGE!!75 to 79 years,AGE AND SEX
S0101_C03_018E,Female!!Estimate!!AGE!!80 to 84 years,AGE AND SEX
S0101_C03_019E,Female!!Estimate!!AGE!!85 years and over,AGE AND SEX
S0101_C03_020E,Female!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,AGE AND SEX
S0101_C03_021E,Female!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,AGE AND SEX
S0101_C03_022E,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,AGE AND SEX
S0101_C03_023E,Female!!Estimate!!SELECTED AGE CATEGORIES!!15 to 44 years,AGE AND SEX
S0101_C03_024E,Female!!Estimate!!SELECTED AGE CATEGORIES!!16 years and over,AGE AND SEX
S0101_C03_025E,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 years and over,AGE AND SEX
S0101_C03_026E,Female!!Estimate!!SELECTED AGE CATEGORIES!!60 years and over,AGE AND SEX
S0101_C03_027E,Female!!Estimate!!SELECTED AGE CATEGORIES!!62 years and over,AGE AND SEX
S0101_C03_028E,Female!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,AGE AND SEX
S0101_C03_029E,Female!!Estimate!!SELECTED AGE CATEGORIES!!75 years and over,AGE AND SEX
S0101_C03_030E,Female!!Estimate!!SUMMARY INDICATORS!!Median age (years),AGE AND SEX
S0101_C03_031E,Female!!Estimate!!SUMMARY INDICATORS!!Sex ratio (males per 100 females),AGE AND SEX
S0101_C03_032E,Female!!Estimate!!SUMMARY INDICATORS!!Age dependency ratio,AGE AND SEX
S0101_C03_033E,Female!!Estimate!!SUMMARY INDICATORS!!Old-age dependency ratio,AGE AND SEX
S0101_C03_034E,Female!!Estimate!!SUMMARY INDICATORS!!Child dependency ratio,AGE AND SEX
S0101_C03_035E,Female!!Estimate!!PERCENT IMPUTED!!Sex,AGE AND SEX
S0101_C03_036E,Female!!Estimate!!PERCENT IMPUTED!!Age,AGE AND SEX
S0102_C01_001E,Total!!Estimate!!Total population,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_002E,Total!!Estimate!!SEX AND AGE!!Male,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_003E,Total!!Estimate!!SEX AND AGE!!Female,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_004E,Total!!Estimate!!Median age (years),POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_005E,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_006E,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_007E,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_008E,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_009E,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_010E,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_011E,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_012E,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_013E,Total!!Estimate!!Hispanic or Latino origin (of any race),POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_014E,"Total!!Estimate!!White alone, not Hispanic or Latino",POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_015E,Total!!Estimate!!RELATIONSHIP!!Population in households,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_016E,Total!!Estimate!!RELATIONSHIP!!Population in households!!Householder or spouse,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_017E,Total!!Estimate!!RELATIONSHIP!!Population in households!!Parent,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_018E,Total!!Estimate!!RELATIONSHIP!!Population in households!!Other relatives,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_019E,Total!!Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_020E,Total!!Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_021E,Total!!Estimate!!HOUSEHOLDS BY TYPE!!Households,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_022E,Total!!Estimate!!HOUSEHOLDS BY TYPE!!Households!!Family households,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_023E,Total!!Estimate!!HOUSEHOLDS BY TYPE!!Households!!Family households!!Married-couple family,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_024E,"Total!!Estimate!!HOUSEHOLDS BY TYPE!!Households!!Family households!!Female householder, no husband present, family",POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_025E,Total!!Estimate!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_026E,Total!!Estimate!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Householder living alone,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_027E,Total!!Estimate!!MARITAL STATUS!!Population 15 years and over,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_028E,"Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_029E,Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Widowed,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_030E,Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Divorced,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_031E,Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Separated,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_032E,Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Never married,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_033E,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_034E,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_035E,"Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate, GED, or alternative",POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_036E,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_037E,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_038E,Total!!Estimate!!RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS!!Population 30 years and over,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_039E,Total!!Estimate!!RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS!!Population 30 years and over!!Living with grandchild(ren),POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_040E,Total!!Estimate!!RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS!!Population 30 years and over!!Living with grandchild(ren)!!Responsible for grandchild(ren),POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_041E,Total!!Estimate!!VETERAN STATUS!!Civilian population 18 years and over,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_042E,Total!!Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veteran,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_043E,Total!!Estimate!!DISABILITY STATUS!!Civilian noninstitutionalized population,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_044E,Total!!Estimate!!DISABILITY STATUS!!Civilian noninstitutionalized population!!With any disability,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_045E,Total!!Estimate!!DISABILITY STATUS!!Civilian noninstitutionalized population!!No disability,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_046E,Total!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_047E,Total!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_048E,Total!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the United States,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_049E,Total!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the United States!!Same county,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_050E,Total!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the United States!!Different county,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_051E,Total!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the United States!!Different county!!Same state,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_052E,Total!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the United States!!Different county!!Different state,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_053E,Total!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Abroad,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_054E,"Total!!Estimate!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population",POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_055E,"Total!!Estimate!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Native",POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_056E,"Total!!Estimate!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born",POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_057E,"Total!!Estimate!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Entered 2010 or later",POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_058E,"Total!!Estimate!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Entered 2000 to 2009",POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_059E,"Total!!Estimate!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Entered before 2000",POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_060E,"Total!!Estimate!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Naturalized U.S. citizen",POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_061E,"Total!!Estimate!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Not a U.S. citizen",POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_062E,Total!!Estimate!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_063E,Total!!Estimate!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!English only,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_064E,Total!!Estimate!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Language other than English,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_065E,"Total!!Estimate!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Language other than English!!Speak English less than ""very well""",POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_066E,Total!!Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_067E,Total!!Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_068E,Total!!Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_069E,Total!!Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_070E,Total!!Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_071E,Total!!Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed!!Percent of civilian labor force,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_072E,Total!!Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed forces,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_073E,Total!!Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_074E,Total!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Households,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_075E,Total!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_076E,Total!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings!!Mean earnings (dollars),POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_077E,Total!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Households!!With Social Security income,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_078E,Total!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Households!!With Social Security income!!Mean Social Security income (dollars),POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_079E,Total!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Households!!With Supplemental Security Income,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_080E,Total!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Households!!With Supplemental Security Income!!Mean Supplemental Security Income (dollars),POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_081E,Total!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Households!!With cash public assistance income,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_082E,Total!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Households!!With cash public assistance income!!Mean cash public assistance income (dollars),POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_083E,Total!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Households!!With retirement income,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_084E,Total!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Households!!With retirement income!!Mean retirement income (dollars),POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_085E,Total!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Households!!With Food Stamp/SNAP benefits,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_086E,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_087E,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_088E,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_089E,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_090E,Total!!Estimate!!Occupied housing units,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_091E,Total!!Estimate!!Occupied housing units!!HOUSING TENURE!!Owner-occupied housing units,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_092E,Total!!Estimate!!Occupied housing units!!HOUSING TENURE!!Renter-occupied housing units,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_093E,Total!!Estimate!!Average household size of owner-occupied unit,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_094E,Total!!Estimate!!Average household size of renter-occupied unit,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_095E,Total!!Estimate!!SELECTED CHARACTERISTICS!!No telephone service available,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S0102_C01_096E,Total!!Estimate!!SELECTED CHARACTERISTICS!!1.01 or more occupants per room,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
