geo_description,label,year,description,estimate,moe,se,cv,file
"Forsyth County, NC",HD01_VD01,2007,Estimate; Total:,87533,3349.28,1708.82,1.95,African American
"Forsyth County, NC",HD01_VD33,2007,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years",189,189.45,96.66,51.14,African American
"Forsyth County, NC",HD01_VD34,2007,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only",1172,652.94,333.13,28.42,African American
"Forsyth County, NC",HD01_VD35,2007,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years",1936,1027.06,524.01,27.07,African American
"Forsyth County, NC",HD01_VD36,2007,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present:",13602,1846.81,942.25,6.93,African American
"Forsyth County, NC",HD01_VD37,2007,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",7493,1466.72,748.33,9.99,African American
"Forsyth County, NC",HD01_VD38,2007,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",1029,630.3,321.58,31.25,African American
"Forsyth County, NC",HD01_VD39,2007,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years",1424,856.68,437.08,30.69,African American
"Forsyth County, NC",HD01_VD40,2007,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only",5040,1152.17,587.84,11.66,African American
"Forsyth County, NC",HD01_VD41,2007,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",6109,1435.74,732.52,11.99,African American
"Forsyth County, NC",HD01_VD01,2008,Estimate; Total:,21112,1912.34,975.68,4.62,African American
"Forsyth County, NC",HD01_VD02,2008,Estimate; Income in the past 12 months below poverty level:,4363,1342.81,685.11,15.7,African American
"Forsyth County, NC",HD01_VD03,2008,Estimate; Income in the past 12 months below poverty level: - Married-couple family:,410,396.77,202.43,49.37,African American
"Forsyth County, NC",HD01_VD04,2008,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years:,230,293.11,149.55,65.02,African American
"Forsyth County, NC",HD01_VD05,2008,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,127,246.64,125.84,99.09,African American
"Forsyth County, NC",HD01_VD06,2008,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,55,114.38,58.36,106.11,African American
"Forsyth County, NC",HD01_VD07,2008,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,48,101.28,51.67,107.65,African American
"Forsyth County, NC",HD01_VD08,2008,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - No related children under 18 years,180,175.15,89.36,49.64,African American
"Forsyth County, NC",HD01_VD09,2008,Estimate; Income in the past 12 months below poverty level: - Other family:,3953,1249.87,637.69,16.13,African American
"Forsyth County, NC",HD01_VD10,2008,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present:",379,515.91,263.22,69.45,African American
"Forsyth County, NC",HD01_VD11,2008,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:",379,515.91,263.22,69.45,African American
"Forsyth County, NC",HD01_VD12,2008,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only",0,341.96,174.47,Inf,African American
"Forsyth County, NC",HD01_VD13,2008,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years",0,341.96,174.47,Inf,African American
"Forsyth County, NC",HD01_VD14,2008,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only",379,515.91,263.22,69.45,African American
"Forsyth County, NC",HD01_VD15,2008,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years",0,341.96,174.47,Inf,African American
"Forsyth County, NC",HD01_VD16,2008,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:",3574,1117.62,570.21,15.95,African American
"Forsyth County, NC",HD01_VD17,2008,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",3329,1139.06,581.15,17.46,African American
"Forsyth County, NC",HD01_VD18,2008,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",608,523.06,266.87,43.89,African American
"Forsyth County, NC",HD01_VD19,2008,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years",1090,670.81,342.25,31.4,African American
"Forsyth County, NC",HD01_VD20,2008,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only",1631,811.4,413.98,25.38,African American
"Forsyth County, NC",HD01_VD21,2008,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",245,238.3,121.58,49.62,African American
"Forsyth County, NC",HD01_VD22,2008,Estimate; Income in the past 12 months at or above poverty level:,16749,2192.34,1118.54,6.68,African American
"Forsyth County, NC",HD01_VD23,2008,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:,9217,1438.13,733.74,7.96,African American
"Forsyth County, NC",HD01_VD24,2008,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years:,3478,1145.02,584.19,16.8,African American
"Forsyth County, NC",HD01_VD25,2008,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,446,474.21,241.94,54.25,African American
"Forsyth County, NC",HD01_VD26,2008,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,1579,943.66,481.46,30.49,African American
"Forsyth County, NC",HD01_VD27,2008,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,1453,773.28,394.53,27.15,African American
"Forsyth County, NC",HD01_VD28,2008,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - No related children under 18 years,5739,1094.98,558.66,9.73,African American
"Forsyth County, NC",HD01_VD29,2008,Estimate; Income in the past 12 months at or above poverty level: - Other family:,7532,1843.23,940.42,12.49,African American
"Forsyth County, NC",HD01_VD30,2008,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present:",1394,1258.21,641.94,46.05,African American
"Forsyth County, NC",HD01_VD31,2008,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:",736,872.17,444.98,60.46,African American
"Forsyth County, NC",HD01_VD32,2008,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only",367,756.6,386.02,105.18,African American
"Forsyth County, NC",HD01_VD33,2008,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years",0,341.96,174.47,Inf,African American
"Forsyth County, NC",HD01_VD34,2008,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only",369,320.51,163.53,44.32,African American
"Forsyth County, NC",HD01_VD35,2008,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years",658,880.51,449.24,68.27,African American
"Forsyth County, NC",HD01_VD36,2008,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present:",6138,1390.47,709.42,11.56,African American
"Forsyth County, NC",HD01_VD37,2008,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",3726,1093.79,558.06,14.98,African American
"Forsyth County, NC",HD01_VD38,2008,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",451,443.23,226.14,50.14,African American
"Forsyth County, NC",HD01_VD39,2008,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years",957,730.38,372.64,38.94,African American
"Forsyth County, NC",HD01_VD40,2008,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only",2318,794.72,405.47,17.49,African American
"Forsyth County, NC",HD01_VD41,2008,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",2412,837.62,427.36,17.72,African American
"Forsyth County, NC",HD01_VD01,2009,Estimate; Total:,86747,3792.51,1934.95,2.23,African American
"Forsyth County, NC",HD01_VD02,2009,Estimate; Income in the past 12 months below poverty level:,10353,2300.77,1173.86,11.34,African American
"Forsyth County, NC",HD01_VD03,2009,Estimate; Income in the past 12 months below poverty level: - Married-couple family:,2379,1037.79,529.48,22.26,African American
"Forsyth County, NC",HD01_VD04,2009,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years:,1658,992.51,506.38,30.54,African American
"Forsyth County, NC",HD01_VD05,2009,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,129,309.79,158.06,122.53,African American
"Forsyth County, NC",HD01_VD06,2009,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,993,838.81,427.96,43.1,African American
"Forsyth County, NC",HD01_VD07,2009,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,536,495.66,252.89,47.18,African American
"Forsyth County, NC",HD01_VD08,2009,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - No related children under 18 years,721,355.06,181.15,25.12,African American
"Forsyth County, NC",HD01_VD09,2009,Estimate; Income in the past 12 months below poverty level: - Other family:,7974,1955.23,997.57,12.51,African American
"Forsyth County, NC",HD01_VD10,2009,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present:",872,708.94,361.7,41.48,African American
"Forsyth County, NC",HD01_VD11,2009,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:",346,501.62,255.93,73.97,African American
"Forsyth County, NC",HD01_VD12,2009,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only",43,81.02,41.34,96.14,African American
"Forsyth County, NC",HD01_VD13,2009,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years",0,344.34,175.68,Inf,African American
"Forsyth County, NC",HD01_VD14,2009,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only",303,495.66,252.89,83.46,African American
"Forsyth County, NC",HD01_VD15,2009,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years",526,484.94,247.42,47.04,African American
"Forsyth County, NC",HD01_VD16,2009,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:",7102,1776.51,906.38,12.76,African American
"Forsyth County, NC",HD01_VD17,2009,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",6100,1703.83,869.3,14.25,African American
"Forsyth County, NC",HD01_VD18,2009,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",1607,926.98,472.95,29.43,African American
"Forsyth County, NC",HD01_VD19,2009,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years",1674,924.6,471.73,28.18,African American
"Forsyth County, NC",HD01_VD20,2009,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only",2819,1296.34,661.4,23.46,African American
"Forsyth County, NC",HD01_VD21,2009,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",1002,608.85,310.64,31,African American
"Forsyth County, NC",HD01_VD22,2009,Estimate; Income in the past 12 months at or above poverty level:,76394,3985.53,2033.43,2.66,African American
"Forsyth County, NC",HD01_VD23,2009,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:,61587,3389.79,1729.48,2.81,African American
"Forsyth County, NC",HD01_VD24,2009,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years:,26083,2431.83,1240.73,4.76,African American
"Forsyth County, NC",HD01_VD25,2009,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,4780,1158.13,590.88,12.36,African American
"Forsyth County, NC",HD01_VD26,2009,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,3939,1121.19,572.04,14.52,African American
"Forsyth County, NC",HD01_VD27,2009,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,17364,2072,1057.14,6.09,African American
"Forsyth County, NC",HD01_VD28,2009,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - No related children under 18 years,35504,2605.79,1329.48,3.74,African American
"Forsyth County, NC",HD01_VD29,2009,Estimate; Income in the past 12 months at or above poverty level: - Other family:,14807,2237.62,1141.64,7.71,African American
"Forsyth County, NC",HD01_VD30,2009,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present:",4117,1485.79,758.06,18.41,African American
"Forsyth County, NC",HD01_VD31,2009,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:",2318,1153.36,588.45,25.39,African American
"Forsyth County, NC",HD01_VD32,2009,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only",944,708.94,361.7,38.32,African American
"Forsyth County, NC",HD01_VD33,2009,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years",302,383.66,195.74,64.81,African American
"Forsyth County, NC",HD01_VD34,2009,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only",1072,813.79,415.2,38.73,African American
"Forsyth County, NC",HD01_VD35,2009,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years",1799,891.23,454.71,25.28,African American
"Forsyth County, NC",HD01_VD36,2009,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present:",10690,1783.66,910.03,8.51,African American
"Forsyth County, NC",HD01_VD37,2009,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",6074,1392.85,710.64,11.7,African American
"Forsyth County, NC",HD01_VD38,2009,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",1524,829.28,423.1,27.76,African American
"Forsyth County, NC",HD01_VD39,2009,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years",1132,706.55,360.48,31.84,African American
"Forsyth County, NC",HD01_VD40,2009,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only",3418,1023.49,522.19,15.28,African American
"Forsyth County, NC",HD01_VD41,2009,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",4616,1176,600,13,African American
"Forsyth County, NC",HD01_VD01,2010,Estimate; Total:,21370,2276.94,1161.7,5.44,African American
"Forsyth County, NC",HD01_VD02,2010,Estimate; Income in the past 12 months below poverty level:,4545,1372.6,700.31,15.41,African American
"Forsyth County, NC",HD01_VD03,2010,Estimate; Income in the past 12 months below poverty level: - Married-couple family:,246,322.89,164.74,66.97,African American
"Forsyth County, NC",HD01_VD04,2010,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years:,147,281.19,143.46,97.59,African American
"Forsyth County, NC",HD01_VD05,2010,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,0,344.34,175.68,Inf,African American
"Forsyth County, NC",HD01_VD06,2010,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,0,344.34,175.68,Inf,African American
"Forsyth County, NC",HD01_VD07,2010,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,147,281.19,143.46,97.59,African American
"Forsyth County, NC",HD01_VD08,2010,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - No related children under 18 years,99,142.98,72.95,73.69,African American
"Forsyth County, NC",HD01_VD09,2010,Estimate; Income in the past 12 months below poverty level: - Other family:,4299,1352.34,689.97,16.05,African American
"Forsyth County, NC",HD01_VD10,2010,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present:",240,368.17,187.84,78.27,African American
"Forsyth County, NC",HD01_VD11,2010,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:",57,109.62,55.93,98.12,African American
"Forsyth County, NC",HD01_VD12,2010,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only",0,344.34,175.68,Inf,African American
"Forsyth County, NC",HD01_VD13,2010,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years",0,344.34,175.68,Inf,African American
"Forsyth County, NC",HD01_VD14,2010,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only",57,109.62,55.93,98.12,African American
"Forsyth County, NC",HD01_VD15,2010,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years",183,350.3,178.72,97.66,African American
"Forsyth County, NC",HD01_VD16,2010,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:",4059,1253.45,639.52,15.76,African American
"Forsyth County, NC",HD01_VD17,2010,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",3299,1148.6,586.02,17.76,African American
"Forsyth County, NC",HD01_VD18,2010,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",1126,781.62,398.79,35.42,African American
"Forsyth County, NC",HD01_VD19,2010,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years",902,657.7,335.56,37.2,African American
"Forsyth County, NC",HD01_VD20,2010,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only",1271,704.17,359.27,28.27,African American
"Forsyth County, NC",HD01_VD21,2010,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",760,536.17,273.56,35.99,African American
"Forsyth County, NC",HD01_VD22,2010,Estimate; Income in the past 12 months at or above poverty level:,16825,2182.81,1113.68,6.62,African American
"Forsyth County, NC",HD01_VD23,2010,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:,10114,1622.81,827.96,8.19,African American
"Forsyth County, NC",HD01_VD24,2010,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years:,5344,1416.68,722.8,13.53,African American
"Forsyth County, NC",HD01_VD25,2010,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,723,580.26,296.05,40.95,African American
"Forsyth County, NC",HD01_VD26,2010,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,829,624.34,318.54,38.42,African American
"Forsyth County, NC",HD01_VD27,2010,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,3792,1344,685.71,18.08,African American
"Forsyth County, NC",HD01_VD28,2010,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - No related children under 18 years,4770,1108.09,565.35,11.85,African American
"Forsyth County, NC",HD01_VD29,2010,Estimate; Income in the past 12 months at or above poverty level: - Other family:,6711,1565.62,798.79,11.9,African American
"Forsyth County, NC",HD01_VD30,2010,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present:",1235,780.43,398.18,32.24,African American
"Forsyth County, NC",HD01_VD31,2010,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:",653,587.4,299.69,45.89,African American
"Forsyth County, NC",HD01_VD32,2010,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only",240,355.06,181.15,75.48,African American
"Forsyth County, NC",HD01_VD33,2010,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years",0,344.34,175.68,Inf,African American
"Forsyth County, NC",HD01_VD34,2010,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only",413,463.49,236.47,57.26,African American
"Forsyth County, NC",HD01_VD35,2010,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years",582,523.06,266.87,45.85,African American
"Forsyth County, NC",HD01_VD36,2010,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present:",5476,1328.51,677.81,12.38,African American
"Forsyth County, NC",HD01_VD37,2010,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",3853,1102.13,562.31,14.59,African American
"Forsyth County, NC",HD01_VD38,2010,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",969,604.09,308.21,31.81,African American
