notes,county,gender,ethnicity,race,age,population,year
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,1-4 years,12,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,5-9 years,20,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,10-14 years,16,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,15-19 years,16,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,20-24 years,12,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,25-29 years,28,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,30-34 years,18,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,35-39 years,13,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,40-44 years,13,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,45-49 years,4,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,50-54 years,5,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,55-59 years,7,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,60-64 years,3,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,65-69 years,1,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,75-79 years,2,2008
Total,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,NA,173,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,< 1 year,26,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,1-4 years,273,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,5-9 years,341,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,10-14 years,185,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,15-19 years,188,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,20-24 years,241,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,25-29 years,260,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,30-34 years,194,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,35-39 years,189,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,40-44 years,108,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,45-49 years,96,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,50-54 years,51,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,55-59 years,32,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,60-64 years,23,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,65-69 years,11,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,70-74 years,13,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,75-79 years,4,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,80-84 years,3,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,85+ years,4,2008
Total,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,NA,2242,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,< 1 year,539,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,1-4 years,1912,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,5-9 years,1700,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,10-14 years,1328,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,15-19 years,1066,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,20-24 years,1132,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,25-29 years,1571,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,30-34 years,1549,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,35-39 years,1200,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,40-44 years,763,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,45-49 years,648,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,50-54 years,388,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,55-59 years,259,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,60-64 years,163,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,65-69 years,106,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,70-74 years,60,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,75-79 years,64,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,80-84 years,29,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,85+ years,29,2008
Total,"Forsyth County, NC",Female,Hispanic or Latino,White,NA,14506,2008
Total,"Forsyth County, NC",Female,Hispanic or Latino,NA,NA,17716,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,< 1 year,7,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,1-4 years,24,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,5-9 years,35,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,10-14 years,39,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,15-19 years,40,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,20-24 years,33,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,25-29 years,52,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,30-34 years,41,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,35-39 years,61,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,40-44 years,33,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,45-49 years,39,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,50-54 years,48,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,55-59 years,37,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,60-64 years,24,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,65-69 years,19,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,70-74 years,5,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,75-79 years,8,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,80-84 years,3,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,85+ years,5,2008
Total,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,NA,553,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,< 1 year,46,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,1-4 years,220,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,5-9 years,301,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,10-14 years,235,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,15-19 years,217,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,20-24 years,252,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,25-29 years,310,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,30-34 years,375,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,35-39 years,330,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,40-44 years,266,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,45-49 years,238,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,50-54 years,161,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,55-59 years,173,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,60-64 years,92,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,65-69 years,69,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,70-74 years,37,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,75-79 years,33,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,80-84 years,23,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,85+ years,13,2008
Total,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,NA,3391,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,< 1 year,665,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,1-4 years,2528,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,5-9 years,3225,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,10-14 years,3447,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,15-19 years,4532,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,20-24 years,4262,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,25-29 years,3180,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,30-34 years,3183,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,35-39 years,3547,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,40-44 years,3631,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,45-49 years,3809,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,50-54 years,3340,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,55-59 years,2977,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,60-64 years,2111,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,65-69 years,1499,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,70-74 years,1131,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,75-79 years,889,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,80-84 years,707,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,85+ years,573,2008
Total,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,NA,49236,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,< 1 year,1071,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,1-4 years,4202,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,5-9 years,5682,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,10-14 years,5591,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,15-19 years,6415,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,20-24 years,6394,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,25-29 years,6296,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,30-34 years,5912,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,35-39 years,7136,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,40-44 years,7637,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,45-49 years,9042,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,50-54 years,8772,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,55-59 years,8068,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,60-64 years,6936,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,65-69 years,5343,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,70-74 years,4325,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,75-79 years,4069,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,80-84 years,3531,2008
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,85+ years,3318,2008
Total,"Forsyth County, NC",Female,Not Hispanic or Latino,White,NA,109740,2008
Total,"Forsyth County, NC",Female,Not Hispanic or Latino,NA,NA,162920,2008
Total,"Forsyth County, NC",Female,NA,NA,NA,180636,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,< 1 year,19,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,1-4 years,84,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,5-9 years,93,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,10-14 years,98,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,15-19 years,63,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,20-24 years,96,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,25-29 years,86,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,30-34 years,104,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,35-39 years,82,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,40-44 years,65,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,45-49 years,37,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,50-54 years,16,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,55-59 years,10,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,60-64 years,5,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,65-69 years,7,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,70-74 years,1,2008
Total,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,NA,866,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,< 1 year,4,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,1-4 years,22,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,5-9 years,20,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,10-14 years,10,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,15-19 years,12,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,20-24 years,30,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,25-29 years,22,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,30-34 years,30,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,35-39 years,14,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,40-44 years,14,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,45-49 years,11,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,50-54 years,7,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,55-59 years,6,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,60-64 years,1,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,65-69 years,1,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,70-74 years,1,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,80-84 years,1,2008
Total,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,NA,206,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,< 1 year,32,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,1-4 years,282,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,5-9 years,364,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,10-14 years,237,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,15-19 years,206,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,20-24 years,213,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,25-29 years,279,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,30-34 years,291,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,35-39 years,196,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,40-44 years,119,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,45-49 years,90,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,50-54 years,65,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,55-59 years,13,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,60-64 years,14,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,65-69 years,9,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,70-74 years,6,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,75-79 years,1,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,80-84 years,3,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,85+ years,1,2008
Total,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,NA,2421,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,< 1 year,599,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,1-4 years,1914,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,5-9 years,1873,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,10-14 years,1353,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,15-19 years,1177,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,20-24 years,1401,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,25-29 years,1806,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,30-34 years,1883,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,35-39 years,1450,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,40-44 years,1069,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,45-49 years,717,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,50-54 years,397,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,55-59 years,298,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,60-64 years,165,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,65-69 years,97,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,70-74 years,50,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,75-79 years,37,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,80-84 years,24,2008
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,85+ years,18,2008
Total,"Forsyth County, NC",Male,Hispanic or Latino,White,NA,16328,2008
Total,"Forsyth County, NC",Male,Hispanic or Latino,NA,NA,19821,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,< 1 year,9,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,1-4 years,21,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,5-9 years,24,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,10-14 years,34,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,15-19 years,40,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,20-24 years,27,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,25-29 years,46,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,30-34 years,39,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,35-39 years,58,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,40-44 years,37,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,45-49 years,37,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,50-54 years,31,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,55-59 years,45,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,60-64 years,25,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,65-69 years,16,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,70-74 years,3,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,75-79 years,4,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,80-84 years,6,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,85+ years,2,2008
Total,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,NA,504,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,< 1 year,57,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,1-4 years,287,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,5-9 years,237,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,10-14 years,221,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,15-19 years,215,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,20-24 years,206,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,25-29 years,263,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,30-34 years,304,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,35-39 years,325,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,40-44 years,250,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,45-49 years,230,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,50-54 years,159,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,55-59 years,107,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,60-64 years,77,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,65-69 years,67,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,70-74 years,31,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,75-79 years,17,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,80-84 years,12,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,85+ years,7,2008
Total,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,NA,3072,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,< 1 year,713,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,1-4 years,2712,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,5-9 years,3295,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,10-14 years,3565,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,15-19 years,4292,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,20-24 years,3309,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,25-29 years,2338,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,30-34 years,2320,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,35-39 years,2764,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,40-44 years,2939,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,45-49 years,2903,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,50-54 years,2758,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,55-59 years,2328,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,60-64 years,1668,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,65-69 years,1177,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,70-74 years,789,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,75-79 years,492,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,80-84 years,315,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,85+ years,204,2008
Total,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,NA,40881,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,White,< 1 year,1100,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,White,1-4 years,4563,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,White,5-9 years,5810,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,White,10-14 years,6176,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,White,15-19 years,6518,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,White,20-24 years,5728,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,White,25-29 years,5427,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,White,30-34 years,5913,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,White,35-39 years,6810,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,White,40-44 years,7309,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,White,45-49 years,8352,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,White,50-54 years,8044,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,White,55-59 years,7242,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,White,60-64 years,6003,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,White,65-69 years,4477,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,White,70-74 years,3463,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,White,75-79 years,2908,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,White,80-84 years,2148,2008
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,White,85+ years,1425,2008
Total,"Forsyth County, NC",Male,Not Hispanic or Latino,White,NA,99416,2008
Total,"Forsyth County, NC",Male,Not Hispanic or Latino,NA,NA,143873,2008
Total,"Forsyth County, NC",Male,NA,NA,NA,163694,2008
Total,"Forsyth County, NC",NA,NA,NA,NA,344330,2008
Total,NA,NA,NA,NA,NA,344330,2008
NA,"Forsyth County, NC",Female,Hispanic or Latino,American Indian or Alaska Native,< 1 year,27,2009
