year,geo_description,subtype,success,estimate,trials,se,type
2013,"Forsyth County, NC",African American,15,11.3,1327,2.9181241200134154,Race / Ethnicity
2012,"Forsyth County, NC",African American,20,14.8,1351,3.309810910089539,Race / Ethnicity
2011,"Forsyth County, NC",African American,22,17,1294,3.6245769352870036,Race / Ethnicity
2010,"Forsyth County, NC",African American,23,17.1,1345,3.5656352374913713,Race / Ethnicity
2017,North Carolina,Hispanic/Latino,106,5.7,18596,0.553640253821697,Race / Ethnicity
2017,"Durham County, NC",Hispanic/Latino,5,5.4,926,2.414856823358647,Race / Ethnicity
2017,"Forsyth County, NC",Hispanic/Latino,8,8.7,920,3.075145807783825,Race / Ethnicity
2017,"Guilford County, NC",Hispanic/Latino,9,11,818,3.6670741419878854,Race / Ethnicity
2016,"Forsyth County, NC",Hispanic/Latino,12,13,923,3.752933125204008,Race / Ethnicity
2015,"Forsyth County, NC",Hispanic/Latino,7,8.1,864,3.0618621784789726,Race / Ethnicity
2014,"Forsyth County, NC",Hispanic/Latino,3,3.1,968,1.7895472440935933,Race / Ethnicity
2013,"Forsyth County, NC",Hispanic/Latino,9,9.4,957,3.1340647004328863,Race / Ethnicity
2012,"Forsyth County, NC",Hispanic/Latino,8,7.9,1013,2.792600574095108,Race / Ethnicity
2011,"Forsyth County, NC",Hispanic/Latino,7,6.9,1014,2.60858845504818,Race / Ethnicity
2010,"Forsyth County, NC",Hispanic/Latino,2,1.8,1111,1.272855850519461,Race / Ethnicity
