subtype,geo_description,type,year,estimate,se,moe,cv
45 to 64,"Guilford County, NC",Age,2009,22.57,0.8,1.57,3.54
Male,"Durham County, NC",Gender,2009,21.28,0.61,1.2,2.87
Male,"Forsyth County, NC",Gender,2009,19.6,0.35,0.69,1.79
Male,"Guilford County, NC",Gender,2009,20.16,0.71,1.39,3.52
Female,"Durham County, NC",Gender,2009,19.98,0.46,0.9,2.3
Female,"Forsyth County, NC",Gender,2009,17.03,0.28,0.55,1.64
Female,"Guilford County, NC",Gender,2009,17.17,0.48,0.94,2.8
"White, non-Hispanic","Durham County, NC",Race / Ethnicity,2009,25.2,0.67,1.31,2.66
"White, non-Hispanic","Forsyth County, NC",Race / Ethnicity,2009,20.44,0.45,0.88,2.2
"White, non-Hispanic","Guilford County, NC",Race / Ethnicity,2009,21.51,0.68,1.33,3.16
African American,"Durham County, NC",Race / Ethnicity,2009,16.8,0.45,0.88,2.68
African American,"Forsyth County, NC",Race / Ethnicity,2009,16.8,0.7,1.37,4.17
African American,"Guilford County, NC",Race / Ethnicity,2009,16.29,0.59,1.16,3.62
Hispanic / Latino,"Durham County, NC",Race / Ethnicity,2009,12.32,0.69,1.35,5.6
Hispanic / Latino,"Forsyth County, NC",Race / Ethnicity,2009,11.2,0.5,0.98,4.46
Hispanic / Latino,"Guilford County, NC",Race / Ethnicity,2009,12.69,0.85,1.67,6.7
Total,"Durham County, NC",Comparison Community,2009,20.4,0.39,0.76,1.91
Total,"Forsyth County, NC",Comparison Community,2009,18.67,0.3,0.59,1.61
Total,"Guilford County, NC",Comparison Community,2009,18.38,0.44,0.86,2.39
16 to 21,North Carolina,Age,2010,9.04,0.72,1.41,7.96
22 to 29,North Carolina,Age,2010,13.71,0.36,0.71,2.63
30 to 44,North Carolina,Age,2010,19.29,0.35,0.69,1.81
45 to 64,North Carolina,Age,2010,22.04,0,0,0
Male,North Carolina,Gender,2010,19.29,0.32,0.63,1.66
Female,North Carolina,Gender,2010,18.18,0.24,0.47,1.32
"White, non-Hispanic",North Carolina,Race / Ethnicity,2010,22.04,0,0,0
African American,North Carolina,Race / Ethnicity,2010,16.53,0.36,0.71,2.18
Hispanic / Latino,North Carolina,Race / Ethnicity,2010,12.12,0.47,0.92,3.88
Total,North Carolina,Comparison Community,2010,18.73,0.27,0.53,1.44
16 to 21,"Durham County, NC",Age,2010,8.43,1.41,2.76,16.73
16 to 21,"Forsyth County, NC",Age,2010,9.64,2.98,5.84,30.91
16 to 21,"Guilford County, NC",Age,2010,9.22,0.77,1.51,8.35
22 to 29,"Durham County, NC",Age,2010,14.33,0.7,1.37,4.88
22 to 29,"Forsyth County, NC",Age,2010,12.67,0.68,1.33,5.37
22 to 29,"Guilford County, NC",Age,2010,13.22,0.74,1.45,5.6
30 to 44,"Durham County, NC",Age,2010,20.94,0.76,1.49,3.63
30 to 44,"Forsyth County, NC",Age,2010,18.37,0.91,1.78,4.95
30 to 44,"Guilford County, NC",Age,2010,18.89,0.61,1.2,3.23
45 to 64,"Durham County, NC",Age,2010,25.02,0.97,1.9,3.88
45 to 64,"Forsyth County, NC",Age,2010,22.04,0.78,1.53,3.54
45 to 64,"Guilford County, NC",Age,2010,20.07,0.5,0.98,2.49
Male,"Durham County, NC",Gender,2010,20.94,0.72,1.41,3.44
Male,"Forsyth County, NC",Gender,2010,18.03,0.67,1.31,3.72
Male,"Guilford County, NC",Gender,2010,18.73,0.67,1.31,3.58
Female,"Durham County, NC",Gender,2010,19.84,0.55,1.08,2.77
Female,"Forsyth County, NC",Gender,2010,18.18,0.55,1.08,3.03
Female,"Guilford County, NC",Gender,2010,17.25,0.39,0.76,2.26
"White, non-Hispanic","Durham County, NC",Race / Ethnicity,2010,24.25,0.65,1.27,2.68
"White, non-Hispanic","Forsyth County, NC",Race / Ethnicity,2010,20.84,0.72,1.41,3.45
"White, non-Hispanic","Guilford County, NC",Race / Ethnicity,2010,20.1,0.63,1.23,3.13
African American,"Durham County, NC",Race / Ethnicity,2010,17.08,0.71,1.39,4.16
African American,"Forsyth County, NC",Race / Ethnicity,2010,16.15,0.49,0.96,3.03
African American,"Guilford County, NC",Race / Ethnicity,2010,16.03,0.52,1.02,3.24
Hispanic / Latino,"Durham County, NC",Race / Ethnicity,2010,11.02,0.74,1.45,6.72
Hispanic / Latino,"Forsyth County, NC",Race / Ethnicity,2010,12.27,0.63,1.23,5.13
Hispanic / Latino,"Guilford County, NC",Race / Ethnicity,2010,13.11,1.01,1.98,7.7
Total,"Durham County, NC",Comparison Community,2010,20.39,0.38,0.74,1.86
Total,"Forsyth County, NC",Comparison Community,2010,18.07,0.46,0.9,2.55
Total,"Guilford County, NC",Comparison Community,2010,17.84,0.36,0.71,2.02
16 to 21,North Carolina,Age,2011,7.43,0.41,0.8,5.52
22 to 29,North Carolina,Age,2011,12.82,0.38,0.74,2.96
30 to 44,North Carolina,Age,2011,18.16,0.53,1.04,2.92
45 to 64,North Carolina,Age,2011,22.27,0.34,0.67,1.53
Male,North Carolina,Gender,2011,18.59,0.52,1.02,2.8
Female,North Carolina,Gender,2011,17.1,0.54,1.06,3.16
"White, non-Hispanic",North Carolina,Race / Ethnicity,2011,21.86,0.49,0.96,2.24
African American,North Carolina,Race / Ethnicity,2011,15.55,0.4,0.78,2.57
Hispanic / Latino,North Carolina,Race / Ethnicity,2011,10.26,0.28,0.55,2.73
Total,North Carolina,Comparison Community,2011,17.83,0.38,0.74,2.13
16 to 21,"Durham County, NC",Age,2011,7.12,0.39,0.76,5.48
16 to 21,"Forsyth County, NC",Age,2011,7.12,0.7,1.37,9.83
16 to 21,"Guilford County, NC",Age,2011,7.87,0.9,1.76,11.44
22 to 29,"Durham County, NC",Age,2011,13.36,0.42,0.82,3.14
22 to 29,"Forsyth County, NC",Age,2011,11.27,0.77,1.51,6.83
22 to 29,"Guilford County, NC",Age,2011,12.47,0.86,1.69,6.9
30 to 44,"Durham County, NC",Age,2011,19.48,1.26,2.47,6.47
30 to 44,"Forsyth County, NC",Age,2011,17.1,0.74,1.45,4.33
30 to 44,"Guilford County, NC",Age,2011,17.81,0.56,1.1,3.14
45 to 64,"Durham County, NC",Age,2011,23.38,0.58,1.14,2.48
45 to 64,"Forsyth County, NC",Age,2011,22.26,0.77,1.51,3.46
45 to 64,"Guilford County, NC",Age,2011,21.37,0.7,1.37,3.28
Male,"Durham County, NC",Gender,2011,19.77,1.41,2.76,7.13
Male,"Forsyth County, NC",Gender,2011,18.91,0.53,1.04,2.8
Male,"Guilford County, NC",Gender,2011,17.63,0.66,1.29,3.74
Female,"Durham County, NC",Gender,2011,19.23,0.7,1.37,3.64
Female,"Forsyth County, NC",Gender,2011,16.03,0.46,0.9,2.87
Female,"Guilford County, NC",Gender,2011,16.67,0.54,1.06,3.24
"White, non-Hispanic","Durham County, NC",Race / Ethnicity,2011,23.42,0.67,1.31,2.86
"White, non-Hispanic","Forsyth County, NC",Race / Ethnicity,2011,21.37,0.25,0.49,1.17
"White, non-Hispanic","Guilford County, NC",Race / Ethnicity,2011,20.74,0.83,1.63,4
African American,"Durham County, NC",Race / Ethnicity,2011,16.03,0.39,0.76,2.43
African American,"Forsyth County, NC",Race / Ethnicity,2011,12.82,0.72,1.41,5.62
African American,"Guilford County, NC",Race / Ethnicity,2011,16.03,0.56,1.1,3.49
Hispanic / Latino,"Durham County, NC",Race / Ethnicity,2011,10.69,0.79,1.55,7.39
Hispanic / Latino,"Forsyth County, NC",Race / Ethnicity,2011,10.15,0.6,1.18,5.91
Hispanic / Latino,"Guilford County, NC",Race / Ethnicity,2011,10.69,1.21,2.37,11.32
Total,"Durham County, NC",Comparison Community,2011,19.5,0.86,1.69,4.41
Total,"Forsyth County, NC",Comparison Community,2011,17.1,0.36,0.71,2.11
Total,"Guilford County, NC",Comparison Community,2011,17.1,0.33,0.65,1.93
16 to 21,North Carolina,Age,2012,8.37,0.52,1.02,6.21
22 to 29,North Carolina,Age,2012,12.56,0.39,0.76,3.11
30 to 44,North Carolina,Age,2012,17.8,0.52,1.02,2.92
45 to 64,North Carolina,Age,2012,20.94,0.51,1,2.44
Male,North Carolina,Gender,2012,18.84,0.41,0.8,2.18
Female,North Carolina,Gender,2012,17.08,0.36,0.71,2.11
"White, non-Hispanic",North Carolina,Race / Ethnicity,2012,20.94,0.07,0.14,0.33
African American,North Carolina,Race / Ethnicity,2012,15.18,0.61,1.2,4.02
Hispanic / Latino,North Carolina,Race / Ethnicity,2012,10.47,0.39,0.76,3.72
Total,North Carolina,Comparison Community,2012,17.8,0.38,0.74,2.13
16 to 21,"Durham County, NC",Age,2012,9.71,3.03,5.94,31.2
16 to 21,"Forsyth County, NC",Age,2012,7.61,0.67,1.31,8.8
16 to 21,"Guilford County, NC",Age,2012,8.39,0.95,1.86,11.32
22 to 29,"Durham County, NC",Age,2012,15.7,1.04,2.04,6.62
22 to 29,"Forsyth County, NC",Age,2012,11.12,0.73,1.43,6.56
22 to 29,"Guilford County, NC",Age,2012,12.21,0.49,0.96,4.01
30 to 44,"Durham County, NC",Age,2012,18.84,0.84,1.65,4.46
30 to 44,"Forsyth County, NC",Age,2012,17.27,0.89,1.74,5.15
30 to 44,"Guilford County, NC",Age,2012,17.69,0.59,1.16,3.34
45 to 64,"Durham County, NC",Age,2012,24.13,0.64,1.25,2.65
45 to 64,"Forsyth County, NC",Age,2012,20.2,0.85,1.67,4.21
45 to 64,"Guilford County, NC",Age,2012,20.41,0.83,1.63,4.07
Male,"Durham County, NC",Gender,2012,18.84,0.79,1.55,4.19
Male,"Forsyth County, NC",Gender,2012,18.84,0.63,1.23,3.34
Male,"Guilford County, NC",Gender,2012,18.68,0.6,1.18,3.21
Female,"Durham County, NC",Gender,2012,20.94,0.63,1.23,3.01
Female,"Forsyth County, NC",Gender,2012,15.7,0.49,0.96,3.12
Female,"Guilford County, NC",Gender,2012,16.18,0.56,1.1,3.46
"White, non-Hispanic","Durham County, NC",Race / Ethnicity,2012,23.03,0.64,1.25,2.78
"White, non-Hispanic","Forsyth County, NC",Race / Ethnicity,2012,20.01,0.41,0.8,2.05
"White, non-Hispanic","Guilford County, NC",Race / Ethnicity,2012,20.26,0.7,1.37,3.46
African American,"Durham County, NC",Race / Ethnicity,2012,17.18,1.03,2.02,6
African American,"Forsyth County, NC",Race / Ethnicity,2012,13.09,0.73,1.43,5.58
African American,"Guilford County, NC",Race / Ethnicity,2012,15.18,0.7,1.37,4.61
Hispanic / Latino,"Durham County, NC",Race / Ethnicity,2012,11.65,1.46,2.86,12.53
Hispanic / Latino,"Forsyth County, NC",Race / Ethnicity,2012,9.71,0.48,0.94,4.94
Hispanic / Latino,"Guilford County, NC",Race / Ethnicity,2012,10.47,0.61,1.2,5.83
Total,"Durham County, NC",Comparison Community,2012,19.89,0.67,1.31,3.37
Total,"Forsyth County, NC",Comparison Community,2012,16.77,0.52,1.02,3.1
Total,"Guilford County, NC",Comparison Community,2012,17.27,0.42,0.82,2.43
16 to 21,North Carolina,Age,2013,7.86,0.66,1.29,8.4
22 to 29,North Carolina,Age,2013,12.9,0.36,0.71,2.79
30 to 44,North Carolina,Age,2013,18.57,0.27,0.53,1.45
45 to 64,North Carolina,Age,2013,22.26,0.36,0.71,1.62
Male,North Carolina,Gender,2013,19.77,0.42,0.82,2.12
Female,North Carolina,Gender,2013,17.02,0.34,0.67,2
"White, non-Hispanic",North Carolina,Race / Ethnicity,2013,22.35,0.32,0.63,1.43
African American,North Carolina,Race / Ethnicity,2013,15.48,0.27,0.53,1.74
Hispanic / Latino,North Carolina,Race / Ethnicity,2013,11.79,0.76,1.49,6.45
Total,North Carolina,Comparison Community,2013,18.23,0.32,0.63,1.76
16 to 21,"Durham County, NC",Age,2013,4.81,2.68,5.25,55.72
16 to 21,"Forsyth County, NC",Age,2013,7.73,1,1.96,12.94
16 to 21,"Guilford County, NC",Age,2013,9.57,1.05,2.06,10.97
22 to 29,"Durham County, NC",Age,2013,13.55,1.6,3.14,11.81
22 to 29,"Forsyth County, NC",Age,2013,12.28,0.68,1.33,5.54
22 to 29,"Guilford County, NC",Age,2013,12.9,0.43,0.84,3.33
30 to 44,"Durham County, NC",Age,2013,19.91,0.56,1.1,2.81
30 to 44,"Forsyth County, NC",Age,2013,18.57,0.69,1.35,3.72
30 to 44,"Guilford County, NC",Age,2013,18.05,0.04,0.08,0.22
45 to 64,"Durham County, NC",Age,2013,25.17,1.28,2.51,5.09
45 to 64,"Forsyth County, NC",Age,2013,22.01,0.73,1.43,3.32
45 to 64,"Guilford County, NC",Age,2013,21.46,0.72,1.41,3.36
Male,"Durham County, NC",Gender,2013,19.72,0.77,1.51,3.9
Male,"Forsyth County, NC",Gender,2013,19.05,0.71,1.39,3.73
Male,"Guilford County, NC",Gender,2013,20.63,0.47,0.92,2.28
Female,"Durham County, NC",Gender,2013,19.19,0.87,1.71,4.53
Female,"Forsyth County, NC",Gender,2013,16.51,0.55,1.08,3.33
Female,"Guilford County, NC",Gender,2013,16.51,0.56,1.1,3.39
"White, non-Hispanic","Durham County, NC",Race / Ethnicity,2013,25.79,0.9,1.76,3.49
"White, non-Hispanic","Forsyth County, NC",Race / Ethnicity,2013,20.63,0.59,1.16,2.86
"White, non-Hispanic","Guilford County, NC",Race / Ethnicity,2013,21.78,0.51,1,2.34
African American,"Durham County, NC",Race / Ethnicity,2013,16.15,1.04,2.04,6.44
African American,"Forsyth County, NC",Race / Ethnicity,2013,15.31,0.58,1.14,3.79
African American,"Guilford County, NC",Race / Ethnicity,2013,14.96,0.6,1.18,4.01
Hispanic / Latino,"Durham County, NC",Race / Ethnicity,2013,11.14,0.85,1.67,7.63
Hispanic / Latino,"Forsyth County, NC",Race / Ethnicity,2013,10.73,1.27,2.49,11.84
Hispanic / Latino,"Guilford County, NC",Race / Ethnicity,2013,12.84,0.59,1.16,4.6
Total,"Durham County, NC",Comparison Community,2013,19.5,0.55,1.08,2.82
Total,"Forsyth County, NC",Comparison Community,2013,18,0.82,1.61,4.56
Total,"Guilford County, NC",Comparison Community,2013,18.05,0.16,0.31,0.89
16 to 21,North Carolina,Age,2014,8.93,1.16,2.27,12.99
22 to 29,North Carolina,Age,2014,12.69,0.41,0.8,3.23
30 to 44,North Carolina,Age,2014,17.87,0.28,0.55,1.57
45 to 64,North Carolina,Age,2014,21.32,0.52,1.02,2.44
Male,North Carolina,Gender,2014,18.19,0.42,0.82,2.31
Female,North Carolina,Gender,2014,17.6,0.35,0.69,1.99
"White, non-Hispanic",North Carolina,Race / Ethnicity,2014,20.76,0.46,0.9,2.22
African American,North Carolina,Race / Ethnicity,2014,15.23,0.37,0.73,2.43
Hispanic / Latino,North Carolina,Race / Ethnicity,2014,12.18,0.45,0.88,3.69
Total,North Carolina,Comparison Community,2014,17.77,0.08,0.16,0.45
16 to 21,"Durham County, NC",Age,2014,12.21,2.47,4.84,20.23
16 to 21,"Forsyth County, NC",Age,2014,6.77,1.57,3.08,23.19
16 to 21,"Guilford County, NC",Age,2014,9.14,1.82,3.57,19.91
22 to 29,"Durham County, NC",Age,2014,14.41,0.92,1.8,6.38
22 to 29,"Forsyth County, NC",Age,2014,12.45,0.53,1.04,4.26
22 to 29,"Guilford County, NC",Age,2014,11.88,0.48,0.94,4.04
30 to 44,"Durham County, NC",Age,2014,19.29,0.68,1.33,3.53
30 to 44,"Forsyth County, NC",Age,2014,17.77,0.4,0.78,2.25
30 to 44,"Guilford County, NC",Age,2014,17.77,0.48,0.94,2.7
45 to 64,"Durham County, NC",Age,2014,23.86,0.92,1.8,3.86
45 to 64,"Forsyth County, NC",Age,2014,20.31,0.4,0.78,1.97
45 to 64,"Guilford County, NC",Age,2014,20.77,0.92,1.8,4.43
Male,"Durham County, NC",Gender,2014,18.42,0.93,1.82,5.05
Male,"Forsyth County, NC",Gender,2014,18.05,0.39,0.76,2.16
Male,"Guilford County, NC",Gender,2014,18.28,0.89,1.74,4.87
Female,"Durham County, NC",Gender,2014,20.31,0.65,1.27,3.2
Female,"Forsyth County, NC",Gender,2014,16.75,0.53,1.04,3.16
Female,"Guilford County, NC",Gender,2014,16.5,0.59,1.16,3.58
"White, non-Hispanic","Durham County, NC",Race / Ethnicity,2014,22.56,0.66,1.29,2.93
"White, non-Hispanic","Forsyth County, NC",Race / Ethnicity,2014,20.31,0.02,0.04,0.1
"White, non-Hispanic","Guilford County, NC",Race / Ethnicity,2014,20.31,0.32,0.63,1.58
African American,"Durham County, NC",Race / Ethnicity,2014,17.77,0.98,1.92,5.51
African American,"Forsyth County, NC",Race / Ethnicity,2014,14.72,0.54,1.06,3.67
African American,"Guilford County, NC",Race / Ethnicity,2014,14.65,0.57,1.12,3.89
Hispanic / Latino,"Durham County, NC",Race / Ethnicity,2014,12.69,1.09,2.14,8.59
Hispanic / Latino,"Forsyth County, NC",Race / Ethnicity,2014,12.18,0.75,1.47,6.16
Hispanic / Latino,"Guilford County, NC",Race / Ethnicity,2014,12.18,0.95,1.86,7.8
Total,"Durham County, NC",Comparison Community,2014,19.42,0.4,0.78,2.06
Total,"Forsyth County, NC",Comparison Community,2014,17.51,0.38,0.74,2.17
Total,"Guilford County, NC",Comparison Community,2014,17.26,0.42,0.82,2.43
16 to 21,North Carolina,Age,2015,8.27,1.61,3.16,19.47
22 to 29,North Carolina,Age,2015,12.17,0.36,0.71,2.96
30 to 44,North Carolina,Age,2015,17.24,0.4,0.78,2.32
45 to 64,North Carolina,Age,2015,20.7,0.64,1.25,3.09
Male,North Carolina,Gender,2015,17.83,0.34,0.67,1.91
Female,North Carolina,Gender,2015,16.73,0.25,0.49,1.49
"White, non-Hispanic",North Carolina,Race / Ethnicity,2015,20.69,0.59,1.16,2.85
African American,North Carolina,Race / Ethnicity,2015,15.21,0.12,0.24,0.79
Hispanic / Latino,North Carolina,Race / Ethnicity,2015,10.55,0.66,1.29,6.26
Total,North Carolina,Comparison Community,2015,17.24,0.28,0.55,1.62
16 to 21,"Durham County, NC",Age,2015,7.61,1.31,2.57,17.21
16 to 21,"Forsyth County, NC",Age,2015,9.62,1.16,2.27,12.06
16 to 21,"Guilford County, NC",Age,2015,10.14,1.76,3.45,17.36
22 to 29,"Durham County, NC",Age,2015,11.16,0.84,1.65,7.53
22 to 29,"Forsyth County, NC",Age,2015,13.18,0.93,1.82,7.06
22 to 29,"Guilford County, NC",Age,2015,12.07,0.35,0.69,2.9
30 to 44,"Durham County, NC",Age,2015,18.25,0.99,1.94,5.42
30 to 44,"Forsyth County, NC",Age,2015,17.03,0.57,1.12,3.35
30 to 44,"Guilford County, NC",Age,2015,16.9,0.64,1.25,3.79
45 to 64,"Durham County, NC",Age,2015,22.82,1.16,2.27,5.08
45 to 64,"Forsyth County, NC",Age,2015,20.28,0.5,0.98,2.47
45 to 64,"Guilford County, NC",Age,2015,20.28,0.29,0.57,1.43
Male,"Durham County, NC",Gender,2015,17.75,0.68,1.33,3.83
Male,"Forsyth County, NC",Gender,2015,18.41,0.86,1.69,4.67
Male,"Guilford County, NC",Gender,2015,17.75,0.51,1,2.87
Female,"Durham County, NC",Gender,2015,18.66,0.95,1.86,5.09
Female,"Forsyth County, NC",Gender,2015,16.73,0.47,0.92,2.81
Female,"Guilford County, NC",Gender,2015,15.82,0.51,1,3.22
"White, non-Hispanic","Durham County, NC",Race / Ethnicity,2015,23.44,1.24,2.43,5.29
"White, non-Hispanic","Forsyth County, NC",Race / Ethnicity,2015,20.28,0.76,1.49,3.75
"White, non-Hispanic","Guilford County, NC",Race / Ethnicity,2015,20.28,0.25,0.49,1.23
African American,"Durham County, NC",Race / Ethnicity,2015,16.23,1.18,2.31,7.27
African American,"Forsyth County, NC",Race / Ethnicity,2015,14.2,0.94,1.84,6.62
African American,"Guilford County, NC",Race / Ethnicity,2015,15.21,0.19,0.37,1.25
Hispanic / Latino,"Durham County, NC",Race / Ethnicity,2015,9.27,1.6,3.14,17.26
Hispanic / Latino,"Forsyth County, NC",Race / Ethnicity,2015,10.55,0.6,1.18,5.69
Hispanic / Latino,"Guilford County, NC",Race / Ethnicity,2015,11.66,0.66,1.29,5.66
Total,"Durham County, NC",Comparison Community,2015,17.83,0.69,1.35,3.87
Total,"Forsyth County, NC",Comparison Community,2015,17.28,0.55,1.08,3.18
Total,"Guilford County, NC",Comparison Community,2015,16.73,0.36,0.71,2.15
16 to 21,North Carolina,Age,2016,8.01,0.64,1.25,7.99
22 to 29,North Carolina,Age,2016,13.77,0.51,1,3.7
30 to 44,North Carolina,Age,2016,17.8,0.33,0.65,1.85
45 to 64,North Carolina,Age,2016,20.83,0.49,0.96,2.35
Male,North Carolina,Gender,2016,18.53,0.55,1.08,2.97
Female,North Carolina,Gender,2016,16.52,0.35,0.69,2.12
"White, non-Hispanic",North Carolina,Race / Ethnicity,2016,21.63,0.58,1.14,2.68
African American,North Carolina,Race / Ethnicity,2016,15.02,0.18,0.35,1.2
Hispanic / Latino,North Carolina,Race / Ethnicity,2016,11.77,0.49,0.96,4.16
Total,North Carolina,Comparison Community,2016,17.52,0.04,0.08,0.23
16 to 21,"Durham County, NC",Age,2016,7.49,0.68,1.33,9.08
16 to 21,"Forsyth County, NC",Age,2016,8.01,1.13,2.21,14.11
16 to 21,"Guilford County, NC",Age,2016,8.01,0.89,1.74,11.11
22 to 29,"Durham County, NC",Age,2016,15.02,0.6,1.18,3.99
22 to 29,"Forsyth County, NC",Age,2016,13.02,0.64,1.25,4.92
22 to 29,"Guilford County, NC",Age,2016,13.16,0.68,1.33,5.17
30 to 44,"Durham County, NC",Age,2016,20.03,0.81,1.59,4.04
30 to 44,"Forsyth County, NC",Age,2016,16.91,0.71,1.39,4.2
30 to 44,"Guilford County, NC",Age,2016,17.52,0.57,1.12,3.25
45 to 64,"Durham County, NC",Age,2016,22.03,1.35,2.65,6.13
45 to 64,"Forsyth County, NC",Age,2016,20.03,1.06,2.08,5.29
45 to 64,"Guilford County, NC",Age,2016,20.63,0.54,1.06,2.62
Male,"Durham County, NC",Gender,2016,19.63,0.73,1.43,3.72
Male,"Forsyth County, NC",Gender,2016,17.52,0.7,1.37,4
Male,"Guilford County, NC",Gender,2016,18.53,0.72,1.41,3.89
Female,"Durham County, NC",Gender,2016,17.8,0.58,1.14,3.26
Female,"Forsyth County, NC",Gender,2016,16.27,0.53,1.04,3.26
Female,"Guilford County, NC",Gender,2016,15.48,0.48,0.94,3.1
"White, non-Hispanic","Durham County, NC",Race / Ethnicity,2016,24.03,0.58,1.14,2.41
"White, non-Hispanic","Forsyth County, NC",Race / Ethnicity,2016,20.03,0.41,0.8,2.05
"White, non-Hispanic","Guilford County, NC",Race / Ethnicity,2016,21.06,0.85,1.67,4.04
African American,"Durham County, NC",Race / Ethnicity,2016,16.52,1.03,2.02,6.23
African American,"Forsyth County, NC",Race / Ethnicity,2016,13.02,1.04,2.04,7.99
African American,"Guilford County, NC",Race / Ethnicity,2016,14.77,0.47,0.92,3.18
Hispanic / Latino,"Durham County, NC",Race / Ethnicity,2016,12.15,1.03,2.02,8.48
Hispanic / Latino,"Forsyth County, NC",Race / Ethnicity,2016,11.01,1.48,2.9,13.44
